heads,layers,majority_baseline,max_seed_correct_accuracy,mean_correct_accuracy,mean_selectivity,min_seed_selectivity,passing_seeds,seeds,split,uniform_baseline,variant,width
1,1,0.11820652173913043,0.13994565217391305,0.11911231884057971,0.0,-0.0027173913043478243,0,3,seen_parameter,0.12106154714850367,sa_ff,32
1,1,0.16666666666666666,0.2604166666666667,0.23958333333333337,-0.03125,-0.09375,0,3,unseen_family,0.14458874458874454,sa_ff,32
1,1,0.09583333333333334,0.12083333333333333,0.09999999999999999,-0.004166666666666675,-0.008333333333333345,0,3,unseen_parameter,0.11930735930735929,sa_ff,32
1,1,0.11820652173913043,0.11820652173913043,0.11458333333333333,0.0,0.0,0,3,seen_parameter,0.12106154714850367,sa_only,32
1,1,0.16666666666666666,0.25,0.25,0.0,0.0,0,3,unseen_family,0.14458874458874454,sa_only,32
1,1,0.09583333333333334,0.15833333333333333,0.15277777777777776,0.0,0.0,0,3,unseen_parameter,0.11930735930735929,sa_only,32
4,2,0.11820652173913043,0.13994565217391305,0.1177536231884058,-0.010869565217391302,-0.033967391304347824,0,3,seen_parameter,0.12106154714850367,sa_ff,64
4,2,0.16666666666666666,0.17708333333333334,0.12152777777777779,-0.05555555555555555,-0.07291666666666667,0,3,unseen_family,0.14458874458874454,sa_ff,64
4,2,0.09583333333333334,0.12083333333333333,0.09861111111111111,-0.030555555555555555,-0.04166666666666667,0,3,unseen_parameter,0.11930735930735929,sa_ff,64
4,2,0.11820652173913043,0.15081521739130435,0.12998188405797104,-0.003623188405797099,-0.010869565217391297,0,3,seen_parameter,0.12106154714850367,sa_only,64
4,2,0.16666666666666666,0.3020833333333333,0.18402777777777776,-4.625929269271485e-18,-0.020833333333333343,0,3,unseen_family,0.14458874458874454,sa_only,64
4,2,0.09583333333333334,0.10416666666666667,0.08750000000000001,-0.011111111111111113,-0.029166666666666674,0,3,unseen_parameter,0.11930735930735929,sa_only,64
