condition,episode_id,family,heads,layers,modulus,parameters,seed,split,target,target_margin,target_rank,top1,variant,width
correct,b7d5a1f7cd841ea7,affine,1,1,11,8;10,37,unseen_parameter,2,-0.9189834594726562,2,0,sa_only,32
none,b7d5a1f7cd841ea7,affine,1,1,11,8;10,37,unseen_parameter,2,-0.9190201759338379,2,0,sa_only,32
shuffled,b7d5a1f7cd841ea7,affine,1,1,11,8;10,37,unseen_parameter,2,-0.918982982635498,2,0,sa_only,32
wrong_rule,b7d5a1f7cd841ea7,affine,1,1,11,8;10,37,unseen_parameter,2,-0.918982982635498,2,0,sa_only,32
correct,78c047805701a6a6,affine,1,1,11,8;10,37,unseen_parameter,10,-0.9780178070068359,5,0,sa_only,32
none,78c047805701a6a6,affine,1,1,11,8;10,37,unseen_parameter,10,-0.9780302047729492,5,0,sa_only,32
shuffled,78c047805701a6a6,affine,1,1,11,8;10,37,unseen_parameter,10,-0.9780178070068359,5,0,sa_only,32
wrong_rule,78c047805701a6a6,affine,1,1,11,8;10,37,unseen_parameter,10,-0.9780178070068359,5,0,sa_only,32
correct,c6ba92977faecba5,affine,1,1,11,0;2,37,unseen_parameter,2,0.8679628372192383,1,1,sa_only,32
none,c6ba92977faecba5,affine,1,1,11,0;2,37,unseen_parameter,2,0.8679814338684082,1,1,sa_only,32
shuffled,c6ba92977faecba5,affine,1,1,11,0;2,37,unseen_parameter,2,0.8679628372192383,1,1,sa_only,32
wrong_rule,c6ba92977faecba5,affine,1,1,11,0;2,37,unseen_parameter,2,0.8679628372192383,1,1,sa_only,32
correct,3954d5a282dd51f1,affine,1,1,11,0;2,37,unseen_parameter,2,-0.8846073150634766,6,0,sa_only,32
none,3954d5a282dd51f1,affine,1,1,11,0;2,37,unseen_parameter,2,-0.8847136497497559,6,0,sa_only,32
shuffled,3954d5a282dd51f1,affine,1,1,11,0;2,37,unseen_parameter,2,-0.8846073150634766,6,0,sa_only,32
wrong_rule,3954d5a282dd51f1,affine,1,1,11,0;2,37,unseen_parameter,2,-0.8846073150634766,6,0,sa_only,32
correct,a99f64fc0e5e9475,affine,1,1,11,0;2,37,unseen_parameter,2,-1.1058459281921387,4,0,sa_only,32
none,a99f64fc0e5e9475,affine,1,1,11,0;2,37,unseen_parameter,2,-1.1058931350708008,4,0,sa_only,32
shuffled,a99f64fc0e5e9475,affine,1,1,11,0;2,37,unseen_parameter,2,-1.1058459281921387,4,0,sa_only,32
wrong_rule,a99f64fc0e5e9475,affine,1,1,11,0;2,37,unseen_parameter,2,-1.1058459281921387,4,0,sa_only,32
correct,0d9df564a0552828,affine,1,1,11,0;2,37,unseen_parameter,2,-1.1058459281921387,4,0,sa_only,32
none,0d9df564a0552828,affine,1,1,11,0;2,37,unseen_parameter,2,-1.1058931350708008,4,0,sa_only,32
shuffled,0d9df564a0552828,affine,1,1,11,0;2,37,unseen_parameter,2,-1.1058459281921387,4,0,sa_only,32
wrong_rule,0d9df564a0552828,affine,1,1,11,0;2,37,unseen_parameter,2,-1.1058459281921387,4,0,sa_only,32
correct,c6074912b090eeba,affine,1,1,11,2;6,37,unseen_parameter,7,-1.4240798950195312,17,0,sa_only,32
none,c6074912b090eeba,affine,1,1,11,2;6,37,unseen_parameter,7,-1.4241042137145996,17,0,sa_only,32
shuffled,c6074912b090eeba,affine,1,1,11,2;6,37,unseen_parameter,7,-1.4240789413452148,17,0,sa_only,32
wrong_rule,c6074912b090eeba,affine,1,1,11,2;6,37,unseen_parameter,7,-1.4240798950195312,17,0,sa_only,32
correct,79728ed24b062fa0,affine,1,1,11,2;6,37,unseen_parameter,4,-1.381908893585205,6,0,sa_only,32
none,79728ed24b062fa0,affine,1,1,11,2;6,37,unseen_parameter,4,-1.381927490234375,6,0,sa_only,32
shuffled,79728ed24b062fa0,affine,1,1,11,2;6,37,unseen_parameter,4,-1.381908893585205,6,0,sa_only,32
wrong_rule,79728ed24b062fa0,affine,1,1,11,2;6,37,unseen_parameter,4,-1.381908893585205,6,0,sa_only,32
correct,3fef8da6ed3c12da,affine,1,1,11,2;6,37,unseen_parameter,5,0.30076026916503906,1,1,sa_only,32
none,3fef8da6ed3c12da,affine,1,1,11,2;6,37,unseen_parameter,5,0.3007993698120117,1,1,sa_only,32
shuffled,3fef8da6ed3c12da,affine,1,1,11,2;6,37,unseen_parameter,5,0.30075883865356445,1,1,sa_only,32
wrong_rule,3fef8da6ed3c12da,affine,1,1,11,2;6,37,unseen_parameter,5,0.30075883865356445,1,1,sa_only,32
correct,8ce54f22c76cf9ab,affine,1,1,11,2;6,37,unseen_parameter,2,-0.673954963684082,3,0,sa_only,32
none,8ce54f22c76cf9ab,affine,1,1,11,2;6,37,unseen_parameter,2,-0.6739907264709473,3,0,sa_only,32
shuffled,8ce54f22c76cf9ab,affine,1,1,11,2;6,37,unseen_parameter,2,-0.673954963684082,3,0,sa_only,32
wrong_rule,8ce54f22c76cf9ab,affine,1,1,11,2;6,37,unseen_parameter,2,-0.6739563941955566,3,0,sa_only,32
correct,2f14320881839f5e,affine,1,1,11,6;8,37,unseen_parameter,3,-1.2377161979675293,14,0,sa_only,32
none,2f14320881839f5e,affine,1,1,11,6;8,37,unseen_parameter,3,-1.23773193359375,14,0,sa_only,32
shuffled,2f14320881839f5e,affine,1,1,11,6;8,37,unseen_parameter,3,-1.2377161979675293,14,0,sa_only,32
wrong_rule,2f14320881839f5e,affine,1,1,11,6;8,37,unseen_parameter,3,-1.2377161979675293,14,0,sa_only,32
correct,8c12341b3096c0d1,affine,1,1,11,6;8,37,unseen_parameter,3,-1.2377161979675293,14,0,sa_only,32
none,8c12341b3096c0d1,affine,1,1,11,6;8,37,unseen_parameter,3,-1.23773193359375,14,0,sa_only,32
shuffled,8c12341b3096c0d1,affine,1,1,11,6;8,37,unseen_parameter,3,-1.2377161979675293,14,0,sa_only,32
wrong_rule,8c12341b3096c0d1,affine,1,1,11,6;8,37,unseen_parameter,3,-1.2377161979675293,14,0,sa_only,32
correct,52a13815341fe679,affine,1,1,11,6;8,37,unseen_parameter,10,-0.8449602127075195,5,0,sa_only,32
none,52a13815341fe679,affine,1,1,11,6;8,37,unseen_parameter,10,-0.8449921607971191,5,0,sa_only,32
shuffled,52a13815341fe679,affine,1,1,11,6;8,37,unseen_parameter,10,-0.8449606895446777,5,0,sa_only,32
wrong_rule,52a13815341fe679,affine,1,1,11,6;8,37,unseen_parameter,10,-0.8449602127075195,5,0,sa_only,32
correct,77cdb61c9fd4ec76,affine,1,1,11,6;8,37,unseen_parameter,6,-1.4267630577087402,15,0,sa_only,32
none,77cdb61c9fd4ec76,affine,1,1,11,6;8,37,unseen_parameter,6,-1.426893711090088,15,0,sa_only,32
shuffled,77cdb61c9fd4ec76,affine,1,1,11,6;8,37,unseen_parameter,6,-1.4267630577087402,15,0,sa_only,32
wrong_rule,77cdb61c9fd4ec76,affine,1,1,11,6;8,37,unseen_parameter,6,-1.4267630577087402,15,0,sa_only,32
correct,51fcc18ffe197cc7,affine,1,1,11,2;4,37,unseen_parameter,9,-1.5989246368408203,16,0,sa_only,32
none,51fcc18ffe197cc7,affine,1,1,11,2;4,37,unseen_parameter,9,-1.598996639251709,16,0,sa_only,32
shuffled,51fcc18ffe197cc7,affine,1,1,11,2;4,37,unseen_parameter,9,-1.5989246368408203,16,0,sa_only,32
wrong_rule,51fcc18ffe197cc7,affine,1,1,11,2;4,37,unseen_parameter,9,-1.5989246368408203,16,0,sa_only,32
correct,ec4d73ef0983c4ae,affine,1,1,11,2;4,37,unseen_parameter,3,-0.7948288917541504,7,0,sa_only,32
none,ec4d73ef0983c4ae,affine,1,1,11,2;4,37,unseen_parameter,3,-0.7948460578918457,7,0,sa_only,32
shuffled,ec4d73ef0983c4ae,affine,1,1,11,2;4,37,unseen_parameter,3,-0.7948288917541504,7,0,sa_only,32
wrong_rule,ec4d73ef0983c4ae,affine,1,1,11,2;4,37,unseen_parameter,3,-0.794827938079834,7,0,sa_only,32
correct,49debc0deb23271a,affine,1,1,11,2;4,37,unseen_parameter,6,-1.1061592102050781,11,0,sa_only,32
none,49debc0deb23271a,affine,1,1,11,2;4,37,unseen_parameter,6,-1.1062097549438477,11,0,sa_only,32
shuffled,49debc0deb23271a,affine,1,1,11,2;4,37,unseen_parameter,6,-1.1061592102050781,11,0,sa_only,32
wrong_rule,49debc0deb23271a,affine,1,1,11,2;4,37,unseen_parameter,6,-1.1061592102050781,11,0,sa_only,32
correct,9086e430f6d525db,affine,1,1,11,2;4,37,unseen_parameter,2,-0.9189834594726562,2,0,sa_only,32
none,9086e430f6d525db,affine,1,1,11,2;4,37,unseen_parameter,2,-0.9190201759338379,2,0,sa_only,32
shuffled,9086e430f6d525db,affine,1,1,11,2;4,37,unseen_parameter,2,-0.9189834594726562,2,0,sa_only,32
wrong_rule,9086e430f6d525db,affine,1,1,11,2;4,37,unseen_parameter,2,-0.9189834594726562,2,0,sa_only,32
correct,8745f83480274e45,affine,1,1,11,8;7,37,unseen_parameter,3,-0.7948288917541504,7,0,sa_only,32
none,8745f83480274e45,affine,1,1,11,8;7,37,unseen_parameter,3,-0.7948460578918457,7,0,sa_only,32
shuffled,8745f83480274e45,affine,1,1,11,8;7,37,unseen_parameter,3,-0.794827938079834,7,0,sa_only,32
wrong_rule,8745f83480274e45,affine,1,1,11,8;7,37,unseen_parameter,3,-0.794827938079834,7,0,sa_only,32
correct,2953bd12a9414096,affine,1,1,11,8;7,37,unseen_parameter,9,-0.8557982444763184,8,0,sa_only,32
none,2953bd12a9414096,affine,1,1,11,8;7,37,unseen_parameter,9,-0.8558964729309082,8,0,sa_only,32
shuffled,2953bd12a9414096,affine,1,1,11,8;7,37,unseen_parameter,9,-0.8557982444763184,8,0,sa_only,32
wrong_rule,2953bd12a9414096,affine,1,1,11,8;7,37,unseen_parameter,9,-0.8557977676391602,8,0,sa_only,32
correct,1eff5a8b8f6ce757,affine,1,1,11,8;7,37,unseen_parameter,6,-1.3177995681762695,11,0,sa_only,32
none,1eff5a8b8f6ce757,affine,1,1,11,8;7,37,unseen_parameter,6,-1.3178353309631348,11,0,sa_only,32
shuffled,1eff5a8b8f6ce757,affine,1,1,11,8;7,37,unseen_parameter,6,-1.3177995681762695,11,0,sa_only,32
wrong_rule,1eff5a8b8f6ce757,affine,1,1,11,8;7,37,unseen_parameter,6,-1.3177995681762695,11,0,sa_only,32
correct,93ad212ed7e5758f,affine,1,1,11,8;7,37,unseen_parameter,4,-0.8806061744689941,8,0,sa_only,32
none,93ad212ed7e5758f,affine,1,1,11,8;7,37,unseen_parameter,4,-0.8806247711181641,8,0,sa_only,32
shuffled,93ad212ed7e5758f,affine,1,1,11,8;7,37,unseen_parameter,4,-0.8806066513061523,8,0,sa_only,32
wrong_rule,93ad212ed7e5758f,affine,1,1,11,8;7,37,unseen_parameter,4,-0.8806061744689941,8,0,sa_only,32
correct,b0b108551363ce91,affine,1,1,11,5;2,37,unseen_parameter,3,-1.2865562438964844,13,0,sa_only,32
none,b0b108551363ce91,affine,1,1,11,5;2,37,unseen_parameter,3,-1.2865257263183594,13,0,sa_only,32
shuffled,b0b108551363ce91,affine,1,1,11,5;2,37,unseen_parameter,3,-1.2865562438964844,13,0,sa_only,32
wrong_rule,b0b108551363ce91,affine,1,1,11,5;2,37,unseen_parameter,3,-1.2865557670593262,13,0,sa_only,32
correct,d74174ffdd629344,affine,1,1,11,5;2,37,unseen_parameter,5,0.30075836181640625,1,1,sa_only,32
none,d74174ffdd629344,affine,1,1,11,5;2,37,unseen_parameter,5,0.3007993698120117,1,1,sa_only,32
shuffled,d74174ffdd629344,affine,1,1,11,5;2,37,unseen_parameter,5,0.30075836181640625,1,1,sa_only,32
wrong_rule,d74174ffdd629344,affine,1,1,11,5;2,37,unseen_parameter,5,0.30075883865356445,1,1,sa_only,32
correct,9925a469147760e1,affine,1,1,11,5;2,37,unseen_parameter,9,-1.5989246368408203,16,0,sa_only,32
none,9925a469147760e1,affine,1,1,11,5;2,37,unseen_parameter,9,-1.598996639251709,16,0,sa_only,32
shuffled,9925a469147760e1,affine,1,1,11,5;2,37,unseen_parameter,9,-1.5989246368408203,16,0,sa_only,32
wrong_rule,9925a469147760e1,affine,1,1,11,5;2,37,unseen_parameter,9,-1.5989246368408203,16,0,sa_only,32
correct,dc0ae8d775146243,affine,1,1,11,5;2,37,unseen_parameter,5,0.30075883865356445,1,1,sa_only,32
none,dc0ae8d775146243,affine,1,1,11,5;2,37,unseen_parameter,5,0.3007993698120117,1,1,sa_only,32
shuffled,dc0ae8d775146243,affine,1,1,11,5;2,37,unseen_parameter,5,0.30075883865356445,1,1,sa_only,32
wrong_rule,dc0ae8d775146243,affine,1,1,11,5;2,37,unseen_parameter,5,0.30075836181640625,1,1,sa_only,32
correct,e1fa20f04b128c90,affine,1,1,11,5;8,37,unseen_parameter,6,-1.3177995681762695,11,0,sa_only,32
none,e1fa20f04b128c90,affine,1,1,11,5;8,37,unseen_parameter,6,-1.3178353309631348,11,0,sa_only,32
shuffled,e1fa20f04b128c90,affine,1,1,11,5;8,37,unseen_parameter,6,-1.3177995681762695,11,0,sa_only,32
wrong_rule,e1fa20f04b128c90,affine,1,1,11,5;8,37,unseen_parameter,6,-1.3177995681762695,11,0,sa_only,32
correct,2b8c4d716f006026,affine,1,1,11,5;8,37,unseen_parameter,2,-0.6200637817382812,5,0,sa_only,32
none,2b8c4d716f006026,affine,1,1,11,5;8,37,unseen_parameter,2,-0.6201057434082031,5,0,sa_only,32
shuffled,2b8c4d716f006026,affine,1,1,11,5;8,37,unseen_parameter,2,-0.6200637817382812,5,0,sa_only,32
wrong_rule,2b8c4d716f006026,affine,1,1,11,5;8,37,unseen_parameter,2,-0.6200637817382812,5,0,sa_only,32
correct,42cf59807f2f0d31,affine,1,1,11,5;8,37,unseen_parameter,1,-0.9095501899719238,9,0,sa_only,32
none,42cf59807f2f0d31,affine,1,1,11,5;8,37,unseen_parameter,1,-0.9096217155456543,9,0,sa_only,32
shuffled,42cf59807f2f0d31,affine,1,1,11,5;8,37,unseen_parameter,1,-0.9095501899719238,9,0,sa_only,32
wrong_rule,42cf59807f2f0d31,affine,1,1,11,5;8,37,unseen_parameter,1,-0.9095501899719238,9,0,sa_only,32
correct,576d797722ef2cc4,affine,1,1,11,5;8,37,unseen_parameter,1,-0.9095501899719238,9,0,sa_only,32
none,576d797722ef2cc4,affine,1,1,11,5;8,37,unseen_parameter,1,-0.9096217155456543,9,0,sa_only,32
shuffled,576d797722ef2cc4,affine,1,1,11,5;8,37,unseen_parameter,1,-0.9095501899719238,9,0,sa_only,32
wrong_rule,576d797722ef2cc4,affine,1,1,11,5;8,37,unseen_parameter,1,-0.9095501899719238,9,0,sa_only,32
correct,8c7b7427c683c53e,affine,1,1,11,3;1,37,unseen_parameter,10,-0.3746495246887207,2,0,sa_only,32
none,8c7b7427c683c53e,affine,1,1,11,3;1,37,unseen_parameter,10,-0.37471771240234375,2,0,sa_only,32
shuffled,8c7b7427c683c53e,affine,1,1,11,3;1,37,unseen_parameter,10,-0.3746495246887207,2,0,sa_only,32
wrong_rule,8c7b7427c683c53e,affine,1,1,11,3;1,37,unseen_parameter,10,-0.3746495246887207,2,0,sa_only,32
correct,3f8088788a39e231,affine,1,1,11,3;1,37,unseen_parameter,10,-0.3746495246887207,2,0,sa_only,32
none,3f8088788a39e231,affine,1,1,11,3;1,37,unseen_parameter,10,-0.37471771240234375,2,0,sa_only,32
shuffled,3f8088788a39e231,affine,1,1,11,3;1,37,unseen_parameter,10,-0.3746495246887207,2,0,sa_only,32
wrong_rule,3f8088788a39e231,affine,1,1,11,3;1,37,unseen_parameter,10,-0.3746495246887207,2,0,sa_only,32
correct,c62d20accca65d23,affine,1,1,11,3;1,37,unseen_parameter,0,-0.9334149360656738,4,0,sa_only,32
none,c62d20accca65d23,affine,1,1,11,3;1,37,unseen_parameter,0,-0.9335403442382812,4,0,sa_only,32
shuffled,c62d20accca65d23,affine,1,1,11,3;1,37,unseen_parameter,0,-0.9334149360656738,4,0,sa_only,32
wrong_rule,c62d20accca65d23,affine,1,1,11,3;1,37,unseen_parameter,0,-0.9334149360656738,4,0,sa_only,32
correct,e84eb5f8258c8d97,affine,1,1,11,3;1,37,unseen_parameter,0,-0.9334149360656738,4,0,sa_only,32
none,e84eb5f8258c8d97,affine,1,1,11,3;1,37,unseen_parameter,0,-0.9335403442382812,4,0,sa_only,32
shuffled,e84eb5f8258c8d97,affine,1,1,11,3;1,37,unseen_parameter,0,-0.9334149360656738,4,0,sa_only,32
wrong_rule,e84eb5f8258c8d97,affine,1,1,11,3;1,37,unseen_parameter,0,-0.9334149360656738,4,0,sa_only,32
correct,bcf831803a7e1b7f,affine,1,1,11,1;2,37,unseen_parameter,6,-1.3178000450134277,11,0,sa_only,32
none,bcf831803a7e1b7f,affine,1,1,11,1;2,37,unseen_parameter,6,-1.3178353309631348,11,0,sa_only,32
shuffled,bcf831803a7e1b7f,affine,1,1,11,1;2,37,unseen_parameter,6,-1.3177995681762695,11,0,sa_only,32
wrong_rule,bcf831803a7e1b7f,affine,1,1,11,1;2,37,unseen_parameter,6,-1.3177995681762695,11,0,sa_only,32
correct,e881aea9deda8394,affine,1,1,11,1;2,37,unseen_parameter,0,-0.4027843475341797,2,0,sa_only,32
none,e881aea9deda8394,affine,1,1,11,1;2,37,unseen_parameter,0,-0.40280675888061523,2,0,sa_only,32
shuffled,e881aea9deda8394,affine,1,1,11,1;2,37,unseen_parameter,0,-0.4027838706970215,2,0,sa_only,32
wrong_rule,e881aea9deda8394,affine,1,1,11,1;2,37,unseen_parameter,0,-0.4027843475341797,2,0,sa_only,32
correct,88fe3e2c32407a45,affine,1,1,11,1;2,37,unseen_parameter,9,-1.4767327308654785,16,0,sa_only,32
none,88fe3e2c32407a45,affine,1,1,11,1;2,37,unseen_parameter,9,-1.4768943786621094,16,0,sa_only,32
shuffled,88fe3e2c32407a45,affine,1,1,11,1;2,37,unseen_parameter,9,-1.4767327308654785,16,0,sa_only,32
wrong_rule,88fe3e2c32407a45,affine,1,1,11,1;2,37,unseen_parameter,9,-1.476733684539795,16,0,sa_only,32
correct,884e0d2a521d6204,affine,1,1,11,1;2,37,unseen_parameter,1,-1.2925395965576172,4,0,sa_only,32
none,884e0d2a521d6204,affine,1,1,11,1;2,37,unseen_parameter,1,-1.2925715446472168,4,0,sa_only,32
shuffled,884e0d2a521d6204,affine,1,1,11,1;2,37,unseen_parameter,1,-1.292539119720459,4,0,sa_only,32
wrong_rule,884e0d2a521d6204,affine,1,1,11,1;2,37,unseen_parameter,1,-1.292539119720459,4,0,sa_only,32
correct,7d33cda3bb34739a,square,1,1,5,,37,unseen_family,0,0.036391258239746094,1,1,sa_only,32
none,7d33cda3bb34739a,square,1,1,5,,37,unseen_family,0,0.036590576171875,1,1,sa_only,32
shuffled,7d33cda3bb34739a,square,1,1,5,,37,unseen_family,0,0.036391258239746094,1,1,sa_only,32
wrong_rule,7d33cda3bb34739a,square,1,1,5,,37,unseen_family,0,0.036391258239746094,1,1,sa_only,32
correct,7f72857288c03fac,square,1,1,5,,37,unseen_family,4,-0.9859099388122559,5,0,sa_only,32
none,7f72857288c03fac,square,1,1,5,,37,unseen_family,4,-0.9862017631530762,5,0,sa_only,32
shuffled,7f72857288c03fac,square,1,1,5,,37,unseen_family,4,-0.9859108924865723,5,0,sa_only,32
wrong_rule,7f72857288c03fac,square,1,1,5,,37,unseen_family,4,-0.9859118461608887,5,0,sa_only,32
correct,d6ee4229ccd88727,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
none,d6ee4229ccd88727,square,1,1,5,,37,unseen_family,1,-1.5273137092590332,9,0,sa_only,32
shuffled,d6ee4229ccd88727,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
wrong_rule,d6ee4229ccd88727,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
correct,3165aa55ad97f0a0,square,1,1,5,,37,unseen_family,0,0.036391258239746094,1,1,sa_only,32
none,3165aa55ad97f0a0,square,1,1,5,,37,unseen_family,0,0.036590576171875,1,1,sa_only,32
shuffled,3165aa55ad97f0a0,square,1,1,5,,37,unseen_family,0,0.036391258239746094,1,1,sa_only,32
wrong_rule,3165aa55ad97f0a0,square,1,1,5,,37,unseen_family,0,0.0363917350769043,1,1,sa_only,32
correct,aa5512bdbc0fdf8c,square,1,1,5,,37,unseen_family,1,0.6156492233276367,1,1,sa_only,32
none,aa5512bdbc0fdf8c,square,1,1,5,,37,unseen_family,1,0.6157693862915039,1,1,sa_only,32
shuffled,aa5512bdbc0fdf8c,square,1,1,5,,37,unseen_family,1,0.6156487464904785,1,1,sa_only,32
wrong_rule,aa5512bdbc0fdf8c,square,1,1,5,,37,unseen_family,1,0.6156487464904785,1,1,sa_only,32
correct,6d21467d725c15b7,square,1,1,5,,37,unseen_family,1,0.6156482696533203,1,1,sa_only,32
none,6d21467d725c15b7,square,1,1,5,,37,unseen_family,1,0.6157693862915039,1,1,sa_only,32
shuffled,6d21467d725c15b7,square,1,1,5,,37,unseen_family,1,0.6156487464904785,1,1,sa_only,32
wrong_rule,6d21467d725c15b7,square,1,1,5,,37,unseen_family,1,0.6156487464904785,1,1,sa_only,32
correct,143b5f78f68fc38b,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
none,143b5f78f68fc38b,square,1,1,5,,37,unseen_family,1,-1.5273137092590332,9,0,sa_only,32
shuffled,143b5f78f68fc38b,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
wrong_rule,143b5f78f68fc38b,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
correct,828b8dfa21777fa3,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
none,828b8dfa21777fa3,square,1,1,5,,37,unseen_family,1,-1.5273137092590332,9,0,sa_only,32
shuffled,828b8dfa21777fa3,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
wrong_rule,828b8dfa21777fa3,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
correct,0d698ea2028e831f,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
none,0d698ea2028e831f,square,1,1,5,,37,unseen_family,1,-1.5273137092590332,9,0,sa_only,32
shuffled,0d698ea2028e831f,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
wrong_rule,0d698ea2028e831f,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
correct,e7fe44af85b8fb82,square,1,1,5,,37,unseen_family,4,-0.972099781036377,2,0,sa_only,32
none,e7fe44af85b8fb82,square,1,1,5,,37,unseen_family,4,-0.9722113609313965,2,0,sa_only,32
shuffled,e7fe44af85b8fb82,square,1,1,5,,37,unseen_family,4,-0.972099781036377,2,0,sa_only,32
wrong_rule,e7fe44af85b8fb82,square,1,1,5,,37,unseen_family,4,-0.972099781036377,2,0,sa_only,32
correct,5682cda0be9e8c4f,square,1,1,5,,37,unseen_family,4,-0.9859094619750977,5,0,sa_only,32
none,5682cda0be9e8c4f,square,1,1,5,,37,unseen_family,4,-0.9862017631530762,5,0,sa_only,32
shuffled,5682cda0be9e8c4f,square,1,1,5,,37,unseen_family,4,-0.9859113693237305,5,0,sa_only,32
wrong_rule,5682cda0be9e8c4f,square,1,1,5,,37,unseen_family,4,-0.9859108924865723,5,0,sa_only,32
correct,98e8bf2c57b6ecec,square,1,1,5,,37,unseen_family,1,0.6156487464904785,1,1,sa_only,32
none,98e8bf2c57b6ecec,square,1,1,5,,37,unseen_family,1,0.6157693862915039,1,1,sa_only,32
shuffled,98e8bf2c57b6ecec,square,1,1,5,,37,unseen_family,1,0.6156487464904785,1,1,sa_only,32
wrong_rule,98e8bf2c57b6ecec,square,1,1,5,,37,unseen_family,1,0.6156482696533203,1,1,sa_only,32
correct,04ba9f941b0beeb8,square,1,1,5,,37,unseen_family,1,0.6156487464904785,1,1,sa_only,32
none,04ba9f941b0beeb8,square,1,1,5,,37,unseen_family,1,0.6157693862915039,1,1,sa_only,32
shuffled,04ba9f941b0beeb8,square,1,1,5,,37,unseen_family,1,0.6156482696533203,1,1,sa_only,32
wrong_rule,04ba9f941b0beeb8,square,1,1,5,,37,unseen_family,1,0.6156482696533203,1,1,sa_only,32
correct,805b3eb4766be013,square,1,1,5,,37,unseen_family,1,0.6156487464904785,1,1,sa_only,32
none,805b3eb4766be013,square,1,1,5,,37,unseen_family,1,0.6157693862915039,1,1,sa_only,32
shuffled,805b3eb4766be013,square,1,1,5,,37,unseen_family,1,0.6156492233276367,1,1,sa_only,32
wrong_rule,805b3eb4766be013,square,1,1,5,,37,unseen_family,1,0.6156482696533203,1,1,sa_only,32
correct,72b44121154408f8,square,1,1,5,,37,unseen_family,4,-0.972099781036377,2,0,sa_only,32
none,72b44121154408f8,square,1,1,5,,37,unseen_family,4,-0.9722113609313965,2,0,sa_only,32
shuffled,72b44121154408f8,square,1,1,5,,37,unseen_family,4,-0.972099781036377,2,0,sa_only,32
wrong_rule,72b44121154408f8,square,1,1,5,,37,unseen_family,4,-0.972099781036377,2,0,sa_only,32
correct,3df9df7821ceb318,square,1,1,5,,37,unseen_family,4,-0.9859094619750977,5,0,sa_only,32
none,3df9df7821ceb318,square,1,1,5,,37,unseen_family,4,-0.9862017631530762,5,0,sa_only,32
shuffled,3df9df7821ceb318,square,1,1,5,,37,unseen_family,4,-0.9859099388122559,5,0,sa_only,32
wrong_rule,3df9df7821ceb318,square,1,1,5,,37,unseen_family,4,-0.9859108924865723,5,0,sa_only,32
correct,f173de04a0c9418e,square,1,1,5,,37,unseen_family,4,-0.9859118461608887,5,0,sa_only,32
none,f173de04a0c9418e,square,1,1,5,,37,unseen_family,4,-0.9862017631530762,5,0,sa_only,32
shuffled,f173de04a0c9418e,square,1,1,5,,37,unseen_family,4,-0.9859118461608887,5,0,sa_only,32
wrong_rule,f173de04a0c9418e,square,1,1,5,,37,unseen_family,4,-0.9859108924865723,5,0,sa_only,32
correct,2e1b44935a82d1a8,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
none,2e1b44935a82d1a8,square,1,1,5,,37,unseen_family,1,-1.5273137092590332,9,0,sa_only,32
shuffled,2e1b44935a82d1a8,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
wrong_rule,2e1b44935a82d1a8,square,1,1,5,,37,unseen_family,1,-1.5272865295410156,9,0,sa_only,32
correct,b88fa18c27c1e510,square,1,1,5,,37,unseen_family,1,0.6156487464904785,1,1,sa_only,32
none,b88fa18c27c1e510,square,1,1,5,,37,unseen_family,1,0.6157693862915039,1,1,sa_only,32
shuffled,b88fa18c27c1e510,square,1,1,5,,37,unseen_family,1,0.6156482696533203,1,1,sa_only,32
wrong_rule,b88fa18c27c1e510,square,1,1,5,,37,unseen_family,1,0.6156487464904785,1,1,sa_only,32
correct,c0a917ec4322987d,square,1,1,5,,37,unseen_family,0,0.036391258239746094,1,1,sa_only,32
none,c0a917ec4322987d,square,1,1,5,,37,unseen_family,0,0.036590576171875,1,1,sa_only,32
shuffled,c0a917ec4322987d,square,1,1,5,,37,unseen_family,0,0.036391258239746094,1,1,sa_only,32
wrong_rule,c0a917ec4322987d,square,1,1,5,,37,unseen_family,0,0.03639078140258789,1,1,sa_only,32
correct,0c80920ceef766ae,square,1,1,5,,37,unseen_family,4,-0.972099781036377,2,0,sa_only,32
none,0c80920ceef766ae,square,1,1,5,,37,unseen_family,4,-0.9722113609313965,2,0,sa_only,32
shuffled,0c80920ceef766ae,square,1,1,5,,37,unseen_family,4,-0.972099781036377,2,0,sa_only,32
