condition,episode_id,family,heads,layers,modulus,parameters,seed,split,target,target_margin,target_rank,top1,variant,width
shuffled,381b5361318d4455,add_n,1,1,5,1,11,seen_parameter,3,-2.4582135677337646,19,0,sa_only,32
wrong_rule,381b5361318d4455,add_n,1,1,5,1,11,seen_parameter,3,-2.5198264122009277,19,0,sa_only,32
correct,0b732fef0b56b64b,add_n,1,1,5,2,11,seen_parameter,3,-2.7343857288360596,15,0,sa_only,32
none,0b732fef0b56b64b,add_n,1,1,5,2,11,seen_parameter,3,-2.2136831283569336,16,0,sa_only,32
shuffled,0b732fef0b56b64b,add_n,1,1,5,2,11,seen_parameter,3,-2.674018383026123,15,0,sa_only,32
wrong_rule,0b732fef0b56b64b,add_n,1,1,5,2,11,seen_parameter,3,-2.673499584197998,14,0,sa_only,32
correct,0fffaa3cf2363df2,add_n,1,1,5,2,11,seen_parameter,3,-2.6260461807250977,15,0,sa_only,32
none,0fffaa3cf2363df2,add_n,1,1,5,2,11,seen_parameter,3,-2.2136831283569336,16,0,sa_only,32
shuffled,0fffaa3cf2363df2,add_n,1,1,5,2,11,seen_parameter,3,-2.6151843070983887,15,0,sa_only,32
wrong_rule,0fffaa3cf2363df2,add_n,1,1,5,2,11,seen_parameter,3,-2.829007863998413,14,0,sa_only,32
correct,9ea9c929d5712e7e,add_n,1,1,5,2,11,seen_parameter,4,-2.371042251586914,15,0,sa_only,32
none,9ea9c929d5712e7e,add_n,1,1,5,2,11,seen_parameter,4,-1.6034882068634033,17,0,sa_only,32
shuffled,9ea9c929d5712e7e,add_n,1,1,5,2,11,seen_parameter,4,-2.4005913734436035,15,0,sa_only,32
wrong_rule,9ea9c929d5712e7e,add_n,1,1,5,2,11,seen_parameter,4,-2.340043067932129,15,0,sa_only,32
correct,ea091f74b301fb4f,add_n,1,1,5,2,11,seen_parameter,3,-2.6458845138549805,15,0,sa_only,32
none,ea091f74b301fb4f,add_n,1,1,5,2,11,seen_parameter,3,-2.2136831283569336,16,0,sa_only,32
shuffled,ea091f74b301fb4f,add_n,1,1,5,2,11,seen_parameter,3,-2.7192189693450928,15,0,sa_only,32
wrong_rule,ea091f74b301fb4f,add_n,1,1,5,2,11,seen_parameter,3,-2.5433640480041504,15,0,sa_only,32
correct,d47aa2765abc559b,add_n,1,1,5,3,11,seen_parameter,1,-1.3662071228027344,2,0,sa_only,32
none,d47aa2765abc559b,add_n,1,1,5,3,11,seen_parameter,1,-1.0092971324920654,4,0,sa_only,32
shuffled,d47aa2765abc559b,add_n,1,1,5,3,11,seen_parameter,1,-1.3727765083312988,2,0,sa_only,32
wrong_rule,d47aa2765abc559b,add_n,1,1,5,3,11,seen_parameter,1,-1.2030014991760254,2,0,sa_only,32
correct,693300f899efe56d,add_n,1,1,5,3,11,seen_parameter,4,-3.041320562362671,17,0,sa_only,32
none,693300f899efe56d,add_n,1,1,5,3,11,seen_parameter,4,-2.310424327850342,18,0,sa_only,32
shuffled,693300f899efe56d,add_n,1,1,5,3,11,seen_parameter,4,-2.9879112243652344,17,0,sa_only,32
wrong_rule,693300f899efe56d,add_n,1,1,5,3,11,seen_parameter,4,-2.903700113296509,17,0,sa_only,32
correct,762eb8df39a74a6c,add_n,1,1,5,3,11,seen_parameter,2,-1.5329337120056152,3,0,sa_only,32
none,762eb8df39a74a6c,add_n,1,1,5,3,11,seen_parameter,2,-1.4755620956420898,3,0,sa_only,32
shuffled,762eb8df39a74a6c,add_n,1,1,5,3,11,seen_parameter,2,-1.541163444519043,3,0,sa_only,32
wrong_rule,762eb8df39a74a6c,add_n,1,1,5,3,11,seen_parameter,2,-1.5243134498596191,3,0,sa_only,32
correct,20920d4c89da6d3a,add_n,1,1,5,3,11,seen_parameter,0,-2.08183217048645,8,0,sa_only,32
none,20920d4c89da6d3a,add_n,1,1,5,3,11,seen_parameter,0,-1.4763929843902588,15,0,sa_only,32
shuffled,20920d4c89da6d3a,add_n,1,1,5,3,11,seen_parameter,0,-2.0002598762512207,8,0,sa_only,32
wrong_rule,20920d4c89da6d3a,add_n,1,1,5,3,11,seen_parameter,0,-2.085806131362915,8,0,sa_only,32
correct,4c50eea7dfa685ad,multiply_a,1,1,5,1,11,seen_parameter,4,0.9365639686584473,1,1,sa_only,32
none,4c50eea7dfa685ad,multiply_a,1,1,5,1,11,seen_parameter,4,0.9699883460998535,1,1,sa_only,32
shuffled,4c50eea7dfa685ad,multiply_a,1,1,5,1,11,seen_parameter,4,0.9066505432128906,1,1,sa_only,32
wrong_rule,4c50eea7dfa685ad,multiply_a,1,1,5,1,11,seen_parameter,4,1.0010056495666504,1,1,sa_only,32
correct,dcd715802bb3b6f1,multiply_a,1,1,5,1,11,seen_parameter,2,1.4362940788269043,1,1,sa_only,32
