accuracy_delta,component,example_id,js_damage,layer,margin_delta,mode,model_depth,model_seed,predicate,stage,status
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1.3343365026230458e-06,5,0.9026355743408203,zero,6,11,isAncestor,s1,
-1,sa,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.5903640985488892,0,-6.152034521102905,zero,6,11,isAncestor,s1,
-1,ff,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.41888177394866943,0,-4.437442302703857,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.004421359859406948,1,0.5732212066650391,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0013778656721115112,1,0.18347835540771484,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0020812780130654573,2,0.1797313690185547,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0012032566592097282,2,0.03431510925292969,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.00549625139683485,3,0.6872529983520508,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0009882112499326468,3,0.17443084716796875,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.006492304615676403,4,0.7954769134521484,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0013183245901018381,4,0.24236583709716797,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0035790572874248028,5,0.4123525619506836,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0008126443717628717,5,0.23036766052246094,zero,6,11,isAncestor,s1,
-1,sa,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.6629858016967773,0,-9.155428409576416,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.30225908756256104,0,-6.000240325927734,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,7.412515697069466e-05,1,0.03845787048339844,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,5.265442450763658e-05,1,0.2443389892578125,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.00018413081124890596,2,0.918243408203125,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,7.589880260638893e-05,2,0.39739131927490234,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.00021026197646278888,3,0.8267402648925781,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,4.56685884273611e-05,3,0.2803945541381836,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.00021839844703208655,4,0.9332284927368164,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,5.97762264078483e-05,4,0.4473552703857422,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.0001350506499875337,5,0.6946077346801758,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3.466681664576754e-05,5,0.2963132858276367,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0.5775609016418457,0,-11.719371318817139,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0.00010898346226895228,0,-2.809915542602539,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1.5770031041029142e-06,1,0.6862401962280273,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1.4323637742563733e-06,1,0.5155134201049805,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3.60617445949174e-06,2,1.1005792617797852,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2.1833966457052156e-06,2,0.8362035751342773,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3.4668639727897244e-06,3,1.3908672332763672,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,9.956395388144301e-07,3,0.4405679702758789,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3.6305586945672985e-06,4,1.360433578491211,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1.033065700539737e-06,4,0.5830307006835938,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3.253856448282022e-06,5,1.1607379913330078,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1.6875653727765894e-06,5,0.8412408828735352,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0.5398331880569458,0,-9.716716289520264,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0.000395044160541147,0,-2.793436050415039,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1.4083751011639833e-05,1,0.9036626815795898,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,7.868749889894389e-06,1,0.550837516784668,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1.656829408602789e-05,2,0.9497385025024414,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,9.452524864173029e-06,2,0.6954593658447266,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1.7070828107534908e-05,3,1.319533348083496,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3.678448592836503e-06,3,0.3384695053100586,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1.536440322524868e-05,4,1.1222162246704102,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,4.531267222773749e-06,4,0.49294567108154297,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1.3032688002567738e-05,5,0.9187192916870117,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,6.984771971474402e-06,5,0.7163658142089844,zero,6,11,isAncestor,s1,
