boundary,example_id,model_depth,model_seed,path_probabilities,required_path,target_margin,top_path_hop,total_depth
1,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6,11,5.057265e-10;3.307947e-09;2.613836e-08;5.527132e-10;7.21944e-05;2.000282e-11;2.158702e-10;4.862769e-13;2.166639e-14;9.236995e-09;1.04467e-05;3.825538e-07;7.993801e-09;2.410254e-08;6.624552e-11;3.902701e-06;7.393358e-07;2.092136e-07;3.739761e-12;6.060253e-11;2.896297e-12;0.0001307518;7.718323e-12;5.080976e-13;6.579078e-11,4,3.8467845916748047,21,24
2,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6,11,6.155337e-14;8.438098e-13;1.645575e-15;2.903008e-18;1.930056e-14;5.769104e-16;2.093552e-14;2.692645e-16;5.374941e-17;2.248452e-13;2.531343e-11;5.603989e-12;5.254311e-12;4.57107e-12;4.111649e-17;2.103156e-10;1.313956e-12;4.031196e-14;1.096574e-14;1.238196e-14;2.323349e-16;3.207654e-14;8.415783e-14;3.598808e-18;4.455108e-16,4,15.727018356323242,15,24
3,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6,11,6.780244e-14;5.496427e-11;9.890932e-14;4.391501e-17;3.829334e-13;2.176991e-15;2.889013e-13;3.743328e-15;4.196424e-16;5.716638e-12;3.496737e-11;3.474139e-11;3.387806e-11;4.641386e-11;9.155708e-16;1.776261e-09;4.644007e-12;2.529777e-13;1.381835e-13;9.944402e-14;6.448241e-15;3.820374e-13;1.859382e-13;3.009399e-17;2.680635e-15,4,14.998165130615234,15,24
4,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6,11,1.089301e-13;2.18472e-10;4.799918e-13;2.039373e-16;1.24304e-12;1.36109e-14;1.097435e-12;1.616462e-14;1.841639e-15;2.920355e-11;1.429635e-10;7.613479e-11;1.436323e-10;1.711725e-10;6.08614e-15;6.021797e-09;1.637003e-11;1.290327e-12;3.162266e-13;4.353405e-13;3.57057e-14;1.209525e-12;6.714383e-13;1.446308e-16;1.30084e-14,4,14.424407958984375,15,24
5,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6,11,2.355989e-13;1.601737e-09;1.072652e-11;5.930613e-15;2.129288e-11;2.431834e-13;6.362783e-12;3.781728e-13;3.380426e-14;3.563227e-10;1.427856e-09;7.967738e-10;1.017802e-09;2.036443e-09;6.86002e-14;2.287117e-08;2.455602e-10;2.417409e-11;4.279759e-12;5.110516e-12;4.062668e-13;1.242105e-11;9.330149e-12;3.393838e-15;2.193956e-13,4,12.763367652893066,15,24
6,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6,11,5.406229e-13;6.317251e-09;7.048112e-11;5.256301e-14;9.907574e-11;2.312906e-12;2.769209e-11;2.398816e-12;2.634276e-13;1.945752e-09;5.5681e-09;2.863753e-09;5.323994e-09;6.656329e-09;3.95784e-13;8.719893e-08;1.053741e-09;1.427688e-10;2.222652e-11;2.739567e-11;2.982653e-12;6.786895e-11;4.310171e-11;2.121449e-14;1.450622e-12,4,12.047738075256348,15,24
7,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6,11,2.536077e-12;8.594689e-08;2.054358e-09;2.372222e-12;1.749812e-09;7.960575e-11;6.04467e-10;9.244956e-11;8.255772e-12;1.837069e-08;6.555692e-08;3.305148e-08;6.793455e-08;8.276732e-08;1.759769e-11;8.39507e-07;1.085777e-08;2.214388e-09;3.876633e-10;4.383254e-10;7.035059e-11;9.719388e-10;7.353679e-10;8.25072e-13;5.101684e-11,4,10.633561134338379,15,24
8,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6,11,4.665958e-12;2.579395e-07;7.824157e-09;1.106942e-11;5.831322e-09;3.257729e-10;1.96454e-09;3.232618e-10;3.928659e-11;6.07552e-08;1.474126e-07;9.069328e-08;1.746739e-07;2.142991e-07;7.999956e-11;2.401692e-06;3.057948e-08;7.012471e-09;1.413748e-09;1.32538e-09;2.552845e-10;2.829455e-09;2.21408e-09;3.507849e-12;2.089456e-10,4,10.15622615814209,15,24
9,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6,11,1.333101e-11;2.2103e-06;1.030987e-07;2.967302e-10;6.507397e-08;7.720657e-09;2.862049e-08;7.726059e-09;1.068016e-09;3.541243e-07;1.014945e-06;1.07528e-06;1.532429e-06;1.917153e-06;2.266983e-09;1.521524e-05;2.287873e-07;4.922078e-08;2.189348e-08;1.150053e-08;3.088116e-09;2.510411e-08;2.705463e-08;1.052263e-10;5.831635e-09,4,8.835474014282227,15,24
10,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6,11,2.413028e-11;5.071673e-06;2.767288e-07;1.081845e-09;1.711141e-07;2.904845e-08;7.860361e-08;1.768706e-08;3.953464e-09;9.875771e-07;2.140066e-06;2.368432e-06;3.651699e-06;4.389356e-06;8.933969e-09;3.354713e-05;6.329893e-07;1.428109e-07;7.406879e-08;3.306063e-08;8.553931e-09;6.859975e-08;6.590115e-08;3.554406e-10;1.74005e-08,4,8.269993782043457,15,24
