accuracy_delta,component,donor,donor_type,js_damage,layer,margin_damage,model_depth,model_seed,predicate,recipient,stage,status
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,3.398787384867319e-07,0,0.5458869934082031,6,11,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,3.8000064250809373e-07,1,-0.04371356964111328,6,11,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,4.990847912722529e-08,1,-0.201141357421875,6,11,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,1.68582090509517e-07,2,0.19389820098876953,6,11,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,1.1962704604684404e-08,2,0.06455516815185547,6,11,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,2.7831333682115655e-08,3,-0.0020399093627929688,6,11,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,2.577127844460847e-09,3,0.06010723114013672,6,11,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,2.5215484811269562e-08,4,0.0774831771850586,6,11,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,1.439346419829235e-09,4,-0.0052738189697265625,6,11,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,2.885434113863994e-09,5,0.075103759765625,6,11,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,3.7777603267841187e-10,5,-0.0006513595581054688,6,11,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,2.7728829081752338e-06,0,0.1570606231689453,6,11,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,3.8899483456589223e-07,0,-0.4991950988769531,6,11,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,1.3882612392990268e-06,1,0.5486488342285156,6,11,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,8.909148974112213e-10,1,0.000148773193359375,6,11,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,1.854977966786464e-07,2,0.04768943786621094,6,11,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,2.80600964686073e-09,2,-0.023949623107910156,6,11,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,5.970198913018976e-08,3,-0.18710994720458984,6,11,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,2.0933413225066033e-08,3,-0.0875997543334961,6,11,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,2.2648194430985313e-08,4,-0.07230949401855469,6,11,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,3.091638944852093e-09,4,-0.040162086486816406,6,11,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,3.7040464917481586e-08,5,-0.12171459197998047,6,11,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,3.981430296562394e-09,5,-0.03993701934814453,6,11,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
