accuracy_delta,example_id,head,js_damage,layer,margin_delta,mode,model_seed,predictive_order
0,test:l1:t0:paligned:c0:i0,3,7.440015536985811e-08,5,1.3387107849121094,,11,1
0,test:l1:t0:prandomized:c20:i4,0,4.0664668631507084e-05,0,-2.329183578491211,,11,1
0,test:l1:t0:prandomized:c20:i4,1,3.981445843237452e-06,0,2.3416709899902344,,11,1
0,test:l1:t0:prandomized:c20:i4,2,0.0007066599209792912,0,-4.775907516479492,,11,1
0,test:l1:t0:prandomized:c20:i4,3,5.616847829514882e-06,0,-1.165365219116211,,11,1
0,test:l1:t0:prandomized:c20:i4,0,6.432702548408997e-08,1,0.17480850219726562,,11,1
0,test:l1:t0:prandomized:c20:i4,1,1.532970054540783e-05,1,-1.6868362426757812,,11,1
0,test:l1:t0:prandomized:c20:i4,2,0.00027902491274289787,1,-3.912078857421875,,11,1
0,test:l1:t0:prandomized:c20:i4,3,7.967073543113656e-06,1,-1.3336372375488281,,11,1
0,test:l1:t0:prandomized:c20:i4,0,3.017936478499905e-08,2,0.11803245544433594,,11,1
0,test:l1:t0:prandomized:c20:i4,1,2.4035853130044416e-07,2,-0.29924964904785156,,11,1
0,test:l1:t0:prandomized:c20:i4,2,2.9106636247888673e-06,2,1.7301464080810547,,11,1
0,test:l1:t0:prandomized:c20:i4,3,2.3301254259422421e-07,2,-0.2944355010986328,,11,1
0,test:l1:t0:prandomized:c20:i4,0,1.0466790172358742e-06,3,-0.5837287902832031,,11,1
0,test:l1:t0:prandomized:c20:i4,1,8.729582532396307e-07,3,0.7426624298095703,,11,1
0,test:l1:t0:prandomized:c20:i4,2,2.6750308279588353e-07,3,0.3749275207519531,,11,1
0,test:l1:t0:prandomized:c20:i4,3,1.462321961298585e-06,3,1.03314208984375,,11,1
0,test:l1:t0:prandomized:c20:i4,0,4.932888941766578e-08,4,0.15211868286132812,,11,1
0,test:l1:t0:prandomized:c20:i4,1,6.1561127040477e-07,4,-0.4615650177001953,,11,1
0,test:l1:t0:prandomized:c20:i4,2,1.7088154891098384e-08,4,0.08798980712890625,,11,1
0,test:l1:t0:prandomized:c20:i4,3,4.747159891849151e-07,4,0.5177688598632812,,11,1
0,test:l1:t0:prandomized:c20:i4,0,8.285395551865804e-07,5,0.7192764282226562,,11,1
0,test:l1:t0:prandomized:c20:i4,1,2.7842122563015437e-07,5,0.3834228515625,,11,1
0,test:l1:t0:prandomized:c20:i4,2,6.533321084134514e-08,5,0.17624664306640625,,11,1
0,test:l1:t0:prandomized:c20:i4,3,3.370496415300295e-08,5,0.12484550476074219,,11,1
0,test:l1:t1:paligned:c40:i8,0,0.004129445180296898,0,-3.498868942260742,,11,1
0,test:l1:t1:paligned:c40:i8,1,3.876263690472115e-06,0,0.2490386962890625,,11,1
0,test:l1:t1:paligned:c40:i8,2,0.00013236083032097667,0,1.7398319244384766,,11,1
0,test:l1:t1:paligned:c40:i8,3,0.01667347177863121,0,-4.962686538696289,,11,1
0,test:l1:t1:paligned:c40:i8,0,3.3117306884378195e-05,1,0.34337806701660156,,11,1
0,test:l1:t1:paligned:c40:i8,1,0.00011871304013766348,1,3.690317153930664,,11,1
0,test:l1:t1:paligned:c40:i8,2,0.0001442428183509037,1,-1.1835975646972656,,11,1
0,test:l1:t1:paligned:c40:i8,3,7.578415534226224e-05,1,1.3986129760742188,,11,1
0,test:l1:t1:paligned:c40:i8,0,5.533126568479929e-06,2,0.36202430725097656,,11,1
0,test:l1:t1:paligned:c40:i8,1,8.849836012814194e-05,2,2.649059295654297,,11,1
0,test:l1:t1:paligned:c40:i8,2,6.542625487782061e-05,2,1.4423809051513672,,11,1
0,test:l1:t1:paligned:c40:i8,3,0.00012629858974833041,2,2.604513168334961,,11,1
0,test:l1:t1:paligned:c40:i8,0,2.5019911845447496e-05,3,-0.6297225952148438,,11,1
0,test:l1:t1:paligned:c40:i8,1,6.330947144306265e-06,3,0.402099609375,,11,1
0,test:l1:t1:paligned:c40:i8,2,2.7078556286141975e-07,3,0.0005130767822265625,,11,1
0,test:l1:t1:paligned:c40:i8,3,6.561315785802435e-06,3,0.3382835388183594,,11,1
0,test:l1:t1:paligned:c40:i8,0,6.584843504242599e-06,4,0.41712379455566406,,11,1
0,test:l1:t1:paligned:c40:i8,1,4.4143087052361807e-07,4,0.08190155029296875,,11,1
0,test:l1:t1:paligned:c40:i8,2,1.6124937474160106e-06,4,0.17462539672851562,,11,1
0,test:l1:t1:paligned:c40:i8,3,5.802784016850637e-06,4,0.33533668518066406,,11,1
0,test:l1:t1:paligned:c40:i8,0,3.534901793500467e-07,5,0.07448387145996094,,11,1
0,test:l1:t1:paligned:c40:i8,1,1.3216058505349793e-06,5,0.15097808837890625,,11,1
0,test:l1:t1:paligned:c40:i8,2,4.692074980994221e-06,5,0.3301677703857422,,11,1
0,test:l1:t1:paligned:c40:i8,3,8.224866405726061e-07,5,0.1365070343017578,,11,1
0,test:l1:t1:prandomized:c0:i13,0,6.348277459267138e-10,0,-0.002803802490234375,,11,1
0,test:l1:t1:prandomized:c0:i13,1,4.3850877773365937e-07,0,-0.6016273498535156,,11,1
0,test:l1:t1:prandomized:c0:i13,2,3.6216208627593005e-06,0,-1.4088268280029297,,11,1
0,test:l1:t1:prandomized:c0:i13,3,4.534838353720261e-07,0,-0.43813323974609375,,11,1
0,test:l1:t1:prandomized:c0:i13,0,6.227121502888622e-06,1,-1.712118148803711,,11,1
0,test:l1:t1:prandomized:c0:i13,1,7.040408718239632e-07,1,-0.7270164489746094,,11,1
0,test:l1:t1:prandomized:c0:i13,2,0.00015796250954736024,1,-4.2504425048828125,,11,1
0,test:l1:t1:prandomized:c0:i13,3,2.0303550627431832e-06,1,-1.1328773498535156,,11,1
0,test:l1:t1:prandomized:c0:i13,0,1.368615585306543e-07,2,-0.35718345642089844,,11,1
0,test:l1:t1:prandomized:c0:i13,1,1.632768089621095e-07,2,-0.38646507263183594,,11,1
0,test:l1:t1:prandomized:c0:i13,2,4.8396605052403174e-06,2,-1.5666522979736328,,11,1
0,test:l1:t1:prandomized:c0:i13,3,2.296084858244285e-06,2,-1.1871318817138672,,11,1
0,test:l1:t1:prandomized:c0:i13,0,1.534020270810288e-07,3,0.4642524719238281,,11,1
0,test:l1:t1:prandomized:c0:i13,1,2.7262524326943094e-07,3,0.6480712890625,,11,1
0,test:l1:t1:prandomized:c0:i13,2,4.411388658809301e-07,3,0.8718204498291016,,11,1
0,test:l1:t1:prandomized:c0:i13,3,6.054355594642402e-07,3,1.0738964080810547,,11,1
0,test:l1:t1:prandomized:c0:i13,0,3.199721732016769e-08,4,0.19806671142578125,,11,1
0,test:l1:t1:prandomized:c0:i13,1,8.334387757713557e-08,4,-0.28380393981933594,,11,1
0,test:l1:t1:prandomized:c0:i13,2,5.311733275448205e-09,4,-0.07465171813964844,,11,1
0,test:l1:t1:prandomized:c0:i13,3,3.886315198542434e-07,4,0.8047695159912109,,11,1
0,test:l1:t1:prandomized:c0:i13,0,1.453097866033204e-06,5,2.175058364868164,,11,1
0,test:l1:t1:prandomized:c0:i13,1,1.1523002285684925e-07,5,0.39571380615234375,,11,1
0,test:l1:t1:prandomized:c0:i13,2,2.7612384201347595e-07,5,0.6532649993896484,,11,1
0,test:l1:t1:prandomized:c0:i13,3,8.140102636389202e-07,5,1.3252582550048828,,11,1
0,test:l1:t2:paligned:c20:i17,0,1.1466084970379598e-06,0,-0.9883174896240234,,11,1
0,test:l1:t2:paligned:c20:i17,1,5.832956162521441e-08,0,0.308380126953125,,11,1
0,test:l1:t2:paligned:c20:i17,2,8.211143722292036e-06,0,-2.0269412994384766,,11,1
0,test:l1:t2:paligned:c20:i17,3,4.831179012398934e-07,0,-0.6880092620849609,,11,1
0,test:l1:t2:paligned:c20:i17,0,6.285318931986694e-08,1,0.32114410400390625,,11,1
0,test:l1:t2:paligned:c20:i17,1,1.800436848498066e-06,1,-1.179250717163086,,11,1
0,test:l1:t2:paligned:c20:i17,2,0.00045043902355246246,1,-5.461973190307617,,11,1
0,test:l1:t2:paligned:c20:i17,3,5.751256821895367e-07,1,-0.7441539764404297,,11,1
0,test:l1:t2:paligned:c20:i17,0,1.8521824074468896e-09,2,-0.050212860107421875,,11,1
0,test:l1:t2:paligned:c20:i17,1,5.067931851954199e-09,2,-0.08143234252929688,,11,1
0,test:l1:t2:paligned:c20:i17,2,7.613235197823087e-07,2,1.4964752197265625,,11,1
0,test:l1:t2:paligned:c20:i17,3,1.5982999457264668e-07,2,-0.42438697814941406,,11,1
0,test:l1:t2:paligned:c20:i17,0,5.493158141689491e-07,3,-0.7299232482910156,,11,1
0,test:l1:t2:paligned:c20:i17,1,2.606884663691744e-07,3,0.7230777740478516,,11,1
0,test:l1:t2:paligned:c20:i17,2,6.998627100074373e-08,3,0.3404979705810547,,11,1
0,test:l1:t2:paligned:c20:i17,3,5.184227802601526e-07,3,1.1275463104248047,,11,1
0,test:l1:t2:paligned:c20:i17,0,1.7788991613088e-08,4,0.16420936584472656,,11,1
0,test:l1:t2:paligned:c20:i17,1,2.5615338472562144e-07,4,-0.5247249603271484,,11,1
0,test:l1:t2:paligned:c20:i17,2,1.3862546666132403e-09,4,0.04442405700683594,,11,1
0,test:l1:t2:paligned:c20:i17,3,2.0401131450853427e-07,4,0.6240501403808594,,11,1
0,test:l1:t2:paligned:c20:i17,0,3.2172533792618196e-07,5,0.8236598968505859,,11,1
0,test:l1:t2:paligned:c20:i17,1,9.32304544676299e-08,5,0.3987884521484375,,11,1
0,test:l1:t2:paligned:c20:i17,2,2.8108331662224373e-08,5,0.2087993621826172,,11,1
0,test:l1:t2:paligned:c20:i17,3,5.5946372867765604e-08,5,0.30149269104003906,,11,1
0,test:l1:t2:prandomized:c45:i22,0,0.11043789237737656,0,-14.068595886230469,,11,1
0,test:l1:t2:prandomized:c45:i22,1,6.89637076334293e-08,0,-1.03125,,11,1
0,test:l1:t2:prandomized:c45:i22,2,0.00020087428856641054,0,-6.915351867675781,,11,1
0,test:l1:t2:prandomized:c45:i22,3,1.1201985472553133e-07,0,2.6266937255859375,,11,1
0,test:l1:t2:prandomized:c45:i22,0,2.1871329636269365e-08,1,-0.6411724090576172,,11,1
0,test:l1:t2:prandomized:c45:i22,1,0.006736897863447666,1,-11.0625,,11,1
0,test:l1:t2:prandomized:c45:i22,2,1.2755575653500273e-06,1,-2.799894332885742,,11,1
0,test:l1:t2:prandomized:c45:i22,3,2.537881016451138e-10,1,0.08182525634765625,,11,1
