accuracy_delta,baseline_correct,changed_correct,condition,example_id,js_damage,margin_delta,model_depth,model_seed,required_path,total_depth
0,1,1,intermediate_candidate,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,5.8957957662642e-06,0.054660797119140625,6,11,3,8
0,1,1,root,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,6.906820635776967e-05,0.0019702911376953125,6,11,3,8
0,1,1,off_path_distractors,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.0007093074964359403,1.3200149536132812,6,11,3,8
0,1,1,sibling_branch,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.0007351276581175625,0.3243417739868164,6,11,3,8
0,1,1,parent,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,9.054610927705653e-08,-0.05817604064941406,4,23,1,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,9.054610927705653e-08,-0.05817604064941406,4,23,1,8
0,1,1,root,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,9.474229045736138e-08,0.045001983642578125,4,23,1,8
0,1,1,off_path_distractors,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0.0010882967617362738,-3.070964813232422,4,23,1,8
0,1,1,sibling_branch,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0.001149792573414743,-3.1178150177001953,4,23,1,8
0,1,1,parent,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.0003831883368548006,1.3972034454345703,4,23,8,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.0005257434095256031,0.9763908386230469,4,23,8,8
0,1,1,root,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.0005257434095256031,0.9763908386230469,4,23,8,8
0,1,1,off_path_distractors,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,5.158559361007065e-06,0.1154165267944336,4,23,8,8
0,1,1,sibling_branch,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2.665183274075389e-07,0.02043914794921875,4,23,8,8
0,1,1,parent,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2.2548601918970235e-07,0.0854644775390625,4,23,8,12
0,1,1,intermediate_candidate,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3.779331336772884e-08,0.04178619384765625,4,23,8,12
0,1,1,root,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,7.373100379481912e-05,-1.0651435852050781,4,23,8,12
0,1,1,off_path_distractors,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,7.903884124971228e-08,0.08028507232666016,4,23,8,12
0,1,1,sibling_branch,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1.4606229115088354e-08,0.03228187561035156,4,23,8,12
0,1,1,parent,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1.2615055311471224e-07,0.008763313293457031,4,23,6,16
0,1,1,intermediate_candidate,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.00030887703178450465,0.8897228240966797,4,23,6,16
0,1,1,root,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3.4092481655534357e-06,0.04413318634033203,4,23,6,16
0,1,1,off_path_distractors,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.01860198751091957,-3.1279001235961914,4,23,6,16
0,1,1,sibling_branch,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.00017148445476777852,-0.23497486114501953,4,23,6,16
0,1,1,parent,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,4.867826646659523e-06,-0.10590171813964844,4,23,4,24
0,1,1,intermediate_candidate,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,4.54552355222404e-05,0.30083274841308594,4,23,4,24
0,1,1,root,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3.730747266672552e-09,0.0061740875244140625,4,23,4,24
0,1,1,off_path_distractors,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.0008428010623902082,2.0981550216674805,4,23,4,24
0,1,1,sibling_branch,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.0003198840713594109,1.055485725402832,4,23,4,24
0,1,1,parent,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,4.0404074752586894e-08,0.02061939239501953,4,23,3,32
0,1,1,intermediate_candidate,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3.3426249501644634e-07,0.04915046691894531,4,23,3,32
0,1,1,root,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2.811930244206451e-08,0.03953742980957031,4,23,3,32
0,1,1,off_path_distractors,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2.570477590779774e-07,0.1566629409790039,4,23,3,32
0,1,1,sibling_branch,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1.5352043192251585e-08,0.03869438171386719,4,23,3,32
0,1,1,parent,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0.08101753890514374,-3.296994209289551,4,23,3,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1.3894386938773096e-06,-0.02650165557861328,4,23,3,8
0,1,1,root,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0.06417074054479599,-3.1040496826171875,4,23,3,8
0,1,1,off_path_distractors,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,8.548886398784816e-07,0.021605491638183594,4,23,3,8
0,1,1,sibling_branch,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3.6689380067400634e-07,0.012338638305664062,4,23,3,8
0,1,1,parent,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,4.040070052724332e-06,-0.1093606948852539,4,23,3,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.00032579051912762225,1.4573516845703125,4,23,3,8
0,1,1,root,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,1.449632691219449e-05,0.20149612426757812,4,23,3,8
0,1,1,off_path_distractors,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.0004622745036613196,1.904261589050293,4,23,3,8
0,1,1,sibling_branch,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,3.495231794659048e-05,0.2905244827270508,4,23,3,8
0,1,1,parent,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.4022789400769398e-05,0.6486663818359375,6,37,1,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.4022789400769398e-05,0.6486663818359375,6,37,1,8
0,1,1,root,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2.2718668333254755e-06,-0.21784210205078125,6,37,1,8
0,1,1,off_path_distractors,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,8.596074621891603e-06,-0.37885284423828125,6,37,1,8
0,1,1,sibling_branch,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.1289375834167004e-07,-0.05006980895996094,6,37,1,8
0,1,1,parent,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2.363831299589947e-06,-0.04233360290527344,6,37,8,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2.7832909836433828e-05,-0.6811809539794922,6,37,8,8
0,1,1,root,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2.7832909836433828e-05,-0.6811809539794922,6,37,8,8
0,1,1,off_path_distractors,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2.1504019969142973e-06,-0.2103710174560547,6,37,8,8
0,1,1,sibling_branch,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,5.390320438891649e-07,-0.11017608642578125,6,37,8,8
0,1,1,parent,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,6.3197658164426684e-06,-0.5770626068115234,6,37,8,12
0,1,1,intermediate_candidate,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,4.359939703135751e-05,-1.044015884399414,6,37,8,12
0,1,1,root,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1.8687956071516965e-08,-0.029458999633789062,6,37,8,12
0,1,1,off_path_distractors,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2.4436826606688555e-07,0.07641220092773438,6,37,8,12
0,1,1,sibling_branch,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2.1588311938103288e-07,0.06670570373535156,6,37,8,12
0,1,1,parent,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,2.462049451423809e-06,-0.10793304443359375,6,37,6,16
0,1,1,intermediate_candidate,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1.5764180716359988e-07,0.027257919311523438,6,37,6,16
0,1,1,root,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,5.2488758228719234e-08,0.014406204223632812,6,37,6,16
0,1,1,off_path_distractors,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.004717477131634951,-2.5467395782470703,6,37,6,16
0,1,1,sibling_branch,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0016670101322233677,-1.8322086334228516,6,37,6,16
0,1,1,parent,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,2.0445327209017705e-08,0.02657032012939453,6,37,4,24
0,1,1,intermediate_candidate,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,2.062107284928061e-08,0.0031890869140625,6,37,4,24
0,1,1,root,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3.1938327538227895e-09,0.011632919311523438,6,37,4,24
0,1,1,off_path_distractors,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.012311705388128757,-5.506962776184082,6,37,4,24
0,1,1,sibling_branch,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.014636418782174587,-5.695598602294922,6,37,4,24
0,1,1,parent,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1.1059941584790067e-07,-0.12261962890625,6,37,3,32
0,1,1,intermediate_candidate,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1.3634775086757145e-08,-0.036942481994628906,6,37,3,32
0,1,1,root,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2.3524563630417106e-08,0.09684085845947266,6,37,3,32
0,1,1,off_path_distractors,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,6.224871285098743e-09,0.010900497436523438,6,37,3,32
0,1,1,sibling_branch,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,7.693884640502802e-09,0.04999351501464844,6,37,3,32
0,1,1,parent,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,6.0040861171728466e-09,0.022661209106445312,6,37,3,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,7.685439413762651e-07,-0.32949256896972656,6,37,3,8
0,1,1,root,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,6.045439704394084e-10,0.0066471099853515625,6,37,3,8
0,1,1,off_path_distractors,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2.8769761684088735e-08,-0.06632614135742188,6,37,3,8
0,1,1,sibling_branch,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2.2890702666700236e-09,-0.018491744995117188,6,37,3,8
0,1,1,parent,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,5.756601240136661e-07,-0.16986846923828125,6,37,3,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,1.7733395907271188e-07,0.09979820251464844,6,37,3,8
0,1,1,root,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,5.348930187665246e-10,-0.0022563934326171875,6,37,3,8
0,1,1,off_path_distractors,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.018493397161364555,-5.9607086181640625,6,37,3,8
0,1,1,sibling_branch,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,1.1608426575548947e-07,-0.07660293579101562,6,37,3,8
0,1,1,parent,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.2101896572858095e-05,-0.6991081237792969,8,11,1,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.2101896572858095e-05,-0.6991081237792969,8,11,1,8
0,1,1,root,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,6.519472663057968e-06,0.4102296829223633,8,11,1,8
0,1,1,off_path_distractors,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.5313275980588514e-08,0.03958892822265625,8,11,1,8
0,1,1,sibling_branch,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.0040139386546798e-08,0.03151130676269531,8,11,1,8
0,1,1,parent,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.00010067797848023474,-2.8116979598999023,8,11,8,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.7359127468807856e-07,-0.23579025268554688,8,11,8,8
0,1,1,root,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.7359127468807856e-07,-0.23579025268554688,8,11,8,8
0,1,1,off_path_distractors,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,9.46272393775871e-09,0.03138446807861328,8,11,8,8
