loss,machine,seed,step
40.68155288696289,M3,11,1
6.004047393798828,M3,11,50
3.687628984451294,M3,11,100
3.4625818729400635,M3,11,150
3.3954741954803467,M3,11,200
3.6017372608184814,M3,11,250
3.2296102046966553,M3,11,300
2.2216403484344482,M3,11,350
0.6751536726951599,M3,11,400
0.10396251082420349,M3,11,450
0.026773855090141296,M3,11,500
0.004568016156554222,M3,11,550
0.04035605117678642,M3,11,600
0.0006380642298609018,M3,11,650
0.0011274326825514436,M3,11,700
0.0003016760165337473,M3,11,750
0.00029467124841175973,M3,11,800
0.0007162378169596195,M3,11,850
0.0009238513302989304,M3,11,900
0.001020226627588272,M3,11,950
0.00026729240198619664,M3,11,1000
37.0173225402832,M3,23,1
7.094938278198242,M3,23,50
3.813354253768921,M3,23,100
3.487750291824341,M3,23,150
3.622537612915039,M3,23,200
3.7095680236816406,M3,23,250
3.3686561584472656,M3,23,300
3.113518714904785,M3,23,350
1.1932014226913452,M3,23,400
0.030400678515434265,M3,23,450
0.010684114880859852,M3,23,500
0.0022893312852829695,M3,23,550
0.0006276287022046745,M3,23,600
0.0014766630483791232,M3,23,650
0.0003961026668548584,M3,23,700
0.00032405139063484967,M3,23,750
0.0004933277959935367,M3,23,800
0.0004549535515252501,M3,23,850
0.00026235493714921176,M3,23,900
0.0002774310123641044,M3,23,950
0.000726437836419791,M3,23,1000
32.0675163269043,M3,37,1
7.314857006072998,M3,37,50
3.7413272857666016,M3,37,100
3.6600425243377686,M3,37,150
3.7245981693267822,M3,37,200
3.659581422805786,M3,37,250
3.6541383266448975,M3,37,300
3.454505205154419,M3,37,350
3.5027530193328857,M3,37,400
3.534489870071411,M3,37,450
3.244403123855591,M3,37,500
1.3572053909301758,M3,37,550
0.019750600680708885,M3,37,600
0.0039417981170117855,M3,37,650
0.0015056580305099487,M3,37,700
0.0012570590479299426,M3,37,750
0.003330491716042161,M3,37,800
0.0003356868401169777,M3,37,850
0.0007505849935114384,M3,37,900
0.00022043233911972493,M3,37,950
0.0005104832234792411,M3,37,1000
43.30804443359375,M4,11,1
5.891891002655029,M4,11,50
3.8439857959747314,M4,11,100
3.080634355545044,M4,11,150
2.676096200942993,M4,11,200
2.8881375789642334,M4,11,250
2.471261739730835,M4,11,300
1.0578972101211548,M4,11,350
0.027552008628845215,M4,11,400
0.00396170187741518,M4,11,450
0.006672170478850603,M4,11,500
0.0006878161220811307,M4,11,550
0.0015684933168813586,M4,11,600
0.00430994713678956,M4,11,650
8.991339564090595e-05,M4,11,700
0.00011940626427531242,M4,11,750
0.0022623820696026087,M4,11,800
0.00020808202680200338,M4,11,850
0.000546012248378247,M4,11,900
0.0001283536694245413,M4,11,950
0.0014070774195715785,M4,11,1000
40.5093879699707,M4,23,1
6.681046962738037,M4,23,50
2.9322328567504883,M4,23,100
2.7672441005706787,M4,23,150
2.8386390209198,M4,23,200
2.1382546424865723,M4,23,250
0.9575344920158386,M4,23,300
0.10012180358171463,M4,23,350
0.03452814742922783,M4,23,400
0.0036703357473015785,M4,23,450
0.002159134717658162,M4,23,500
0.0007875704322941601,M4,23,550
0.0020987477619200945,M4,23,600
0.0007316824630834162,M4,23,650
0.0008884089183993638,M4,23,700
0.001259337761439383,M4,23,750
0.00022608228027820587,M4,23,800
0.0007214259821921587,M4,23,850
0.00022363627795130014,M4,23,900
0.00027101824525743723,M4,23,950
0.0002565475588198751,M4,23,1000
41.4088020324707,M4,37,1
5.273265838623047,M4,37,50
3.093790054321289,M4,37,100
2.4561927318573,M4,37,150
2.6014604568481445,M4,37,200
2.405853033065796,M4,37,250
2.4964354038238525,M4,37,300
2.7145168781280518,M4,37,350
1.9585000276565552,M4,37,400
0.12164038419723511,M4,37,450
0.008326594717800617,M4,37,500
0.027089029550552368,M4,37,550
0.002948457607999444,M4,37,600
0.001140805659815669,M4,37,650
0.00045826591667719185,M4,37,700
0.0003891814558301121,M4,37,750
0.0005795620381832123,M4,37,800
0.0015193643048405647,M4,37,850
0.0003930977254640311,M4,37,900
0.00022289471235126257,M4,37,950
0.00011811528383987024,M4,37,1000
