architecture,depth,exact_trajectory_accuracy,final_accuracy,invalid_call_rate,machine,mean_model_forwards,mean_tool_calls,n,nontermination_rate,one_call_coverage,per_transition_accuracy,post_tool_answer_accuracy,seed,seed_pass,selected_edge_validity,termination_accuracy,termination_precision,termination_recall
diversity_48k,1,,1.0,0.0,M3,,,64,,1.0,,1.0,37,1,1.0,,,
diversity_48k,2,,1.0,0.0,M3,,,64,,0.5,,1.0,37,0,1.0,,,
diversity_48k,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,37,0,1.0,,,
diversity_48k,4,,0.0625,0.84375,M3,,,64,,0.0390625,,0.0625,37,0,0.15625,,,
diversity_48k,6,,0.0,0.796875,M3,,,64,,0.033854166666666664,,0.0,37,0,0.203125,,,
diversity_48k,8,,0.015625,0.890625,M3,,,64,,0.013671875,,0.015625,37,0,0.109375,,,
diversity_48k,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
diversity_48k,2,0.921875,0.921875,0.078125,M4,2.921875,2.0,64,0.0,,0.9609375,,11,0,,0.921875,1.0,0.921875
diversity_48k,3,0.921875,0.921875,0.078125,M4,3.875,2.953125,64,0.0,,0.9583333333333333,,11,0,,0.921875,1.0,0.921875
diversity_48k,4,0.0,0.0,0.78125,M4,1.21875,1.0,64,0.0,,0.0546875,,11,0,,0.0,0.0,0.0
diversity_48k,6,0.0,0.0,0.9375,M4,1.234375,1.171875,64,0.0,,0.0390625,,11,0,,0.0,0.0,0.0
diversity_48k,8,0.0,0.0,0.90625,M4,1.15625,1.0625,64,0.0,,0.01953125,,11,0,,0.0,0.0,0.0
diversity_48k,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
diversity_48k,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
diversity_48k,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
diversity_48k,4,0.0,0.0,0.90625,M4,1.0,0.90625,64,0.0,,0.0,,23,0,,0.0,0.0,0.0
diversity_48k,6,0.0,0.0,0.875,M4,1.015625,0.890625,64,0.0,,0.0026041666666666665,,23,0,,0.0,0.0,0.0
diversity_48k,8,0.0,0.0,0.78125,M4,1.34375,1.125,64,0.0,,0.04296875,,23,0,,0.0,0.0,0.0
diversity_48k,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
diversity_48k,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
diversity_48k,3,0.96875,0.96875,0.03125,M4,3.96875,3.0,64,0.0,,0.9895833333333333,,37,1,,0.96875,1.0,0.96875
diversity_48k,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
diversity_48k,6,0.0,0.0,0.84375,M4,1.015625,0.859375,64,0.0,,0.0026041666666666665,,37,0,,0.0,0.0,0.0
diversity_48k,8,0.0,0.0,0.921875,M4,1.03125,0.953125,64,0.0,,0.00390625,,37,0,,0.0,0.0,0.0
diversity_96k,1,,1.0,0.0,M3,,,64,,1.0,,1.0,11,1,1.0,,,
diversity_96k,2,,1.0,0.015625,M3,,,64,,0.4921875,,1.0,11,0,0.984375,,,
diversity_96k,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,11,0,1.0,,,
diversity_96k,4,,0.015625,0.546875,M3,,,64,,0.11328125,,0.015625,11,0,0.453125,,,
diversity_96k,6,,0.0,0.40625,M3,,,64,,0.09895833333333333,,0.0,11,0,0.59375,,,
diversity_96k,8,,0.0,0.59375,M3,,,64,,0.05078125,,0.0,11,0,0.40625,,,
diversity_96k,1,,1.0,0.0,M3,,,64,,1.0,,1.0,23,1,1.0,,,
diversity_96k,2,,1.0,0.0,M3,,,64,,0.5,,1.0,23,0,1.0,,,
diversity_96k,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,23,0,1.0,,,
diversity_96k,4,,0.0,0.796875,M3,,,64,,0.05078125,,0.0,23,0,0.203125,,,
diversity_96k,6,,0.03125,0.890625,M3,,,64,,0.018229166666666668,,0.03125,23,0,0.109375,,,
diversity_96k,8,,0.0,0.5625,M3,,,64,,0.0546875,,0.0,23,0,0.4375,,,
diversity_96k,1,,1.0,0.0,M3,,,64,,1.0,,1.0,37,1,1.0,,,
diversity_96k,2,,1.0,0.0,M3,,,64,,0.5,,1.0,37,0,1.0,,,
diversity_96k,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,37,0,1.0,,,
diversity_96k,4,,0.03125,0.828125,M3,,,64,,0.04296875,,0.03125,37,0,0.171875,,,
diversity_96k,6,,0.0,0.859375,M3,,,64,,0.0234375,,0.0,37,0,0.140625,,,
diversity_96k,8,,0.015625,0.90625,M3,,,64,,0.01171875,,0.015625,37,0,0.09375,,,
diversity_96k,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
diversity_96k,2,0.96875,0.96875,0.03125,M4,2.96875,2.0,64,0.0,,0.984375,,11,1,,0.96875,1.0,0.96875
diversity_96k,3,0.890625,0.890625,0.109375,M4,3.859375,2.96875,64,0.0,,0.953125,,11,0,,0.890625,1.0,0.890625
diversity_96k,4,0.0,0.0,0.796875,M4,1.203125,1.0,64,0.0,,0.05078125,,11,0,,0.0,0.0,0.0
diversity_96k,6,0.0,0.0,0.96875,M4,1.34375,1.3125,64,0.0,,0.057291666666666664,,11,0,,0.0,0.0,0.0
diversity_96k,8,0.0,0.0,0.875,M4,1.125,1.0,64,0.0,,0.015625,,11,0,,0.0,0.0,0.0
diversity_96k,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
diversity_96k,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
diversity_96k,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
diversity_96k,4,0.0,0.0,0.828125,M4,1.0,0.828125,64,0.0,,0.0,,23,0,,0.0,0.0,0.0
diversity_96k,6,0.0,0.0,0.890625,M4,1.03125,0.921875,64,0.0,,0.005208333333333333,,23,0,,0.0,0.0,0.0
diversity_96k,8,0.0,0.0,0.796875,M4,1.3125,1.109375,64,0.0,,0.0390625,,23,0,,0.0,0.0,0.0
diversity_96k,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
diversity_96k,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
diversity_96k,3,0.984375,0.984375,0.015625,M4,3.984375,3.0,64,0.0,,0.9947916666666666,,37,1,,0.984375,1.0,0.984375
diversity_96k,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
diversity_96k,6,0.0,0.0,0.859375,M4,1.0,0.859375,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
diversity_96k,8,0.0,0.0,0.90625,M4,1.046875,0.953125,64,0.0,,0.005859375,,37,0,,0.0,0.0,0.0
