direction,end_layer,error_growth_per_layer,frozen_path_error,horizon,jvp_cosine,model_id,observed_delta_norm,observed_margin_delta,pair_id,pair_type,piecewise_error,predicted_delta_norm,predicted_margin_delta,remaining_to_final,revision,start_layer
nuisance,1,0.9078947901725769,0.9078947901725769,1,0.5373257398605347,EleutherAI/pythia-70m-deduped,14.216337203979492,1.030029296875,pythia-70m-deduped_0,P1,0.9078947901725769,12.417525291442871,0.7368742227554321,0,step143000,0
nuisance,2,0.542218029499054,1.084436058998108,2,0.46508660912513733,EleutherAI/pythia-70m-deduped,16.153465270996094,-0.07244873046875,pythia-70m-deduped_0,P1,0.7281833589076996,17.630386352539062,0.45307692885398865,0,step143000,0
nuisance,4,0.9897093772888184,3.9588375091552734,4,0.8295741677284241,EleutherAI/pythia-70m-deduped,30.537248611450195,0.28533935546875,pythia-70m-deduped_0,P1,0.6054155081510544,145.016357421875,1.7420308589935303,0,step143000,0
nuisance,3,0.6799812912940979,0.6799812912940979,1,0.9404736757278442,EleutherAI/pythia-70m-deduped,32.0408821105957,0.23187255859375,pythia-70m-deduped_0,P1,0.6799812912940979,49.00412368774414,-0.5097876787185669,0,step143000,2
nuisance,4,0.3829943537712097,0.7659887075424194,2,0.9298593997955322,EleutherAI/pythia-70m-deduped,30.537248611450195,0.28533935546875,pythia-70m-deduped_0,P1,0.4826476573944092,48.911651611328125,-0.4111942648887634,0,step143000,2
nuisance,6,0.23210693895816803,0.9284277558326721,4,0.3980139493942261,EleutherAI/pythia-70m-deduped,95.80126953125,0.349609375,pythia-70m-deduped_0,P1,0.5229464992880821,51.811222076416016,0.11437977850437164,1,step143000,2
nuisance,1,0.6251445412635803,0.6251445412635803,1,0.7907150983810425,EleutherAI/pythia-70m-deduped,9.045042991638184,-1.38677978515625,pythia-70m-deduped_1,P1,0.6251445412635803,8.297451972961426,-0.4158865213394165,0,step143000,0
nuisance,2,0.3739384710788727,0.7478769421577454,2,0.7110801935195923,EleutherAI/pythia-70m-deduped,11.829598426818848,0.33709716796875,pythia-70m-deduped_1,P1,0.6453068554401398,11.426713943481445,0.24016916751861572,0,step143000,0
nuisance,4,0.1486416608095169,0.5945666432380676,4,0.8053650856018066,EleutherAI/pythia-70m-deduped,17.728151321411133,1.7607421875,pythia-70m-deduped_1,P1,0.627475019544363,15.094346046447754,1.911574125289917,0,step143000,0
nuisance,3,1.0577099323272705,1.0577099323272705,1,0.35285985469818115,EleutherAI/pythia-70m-deduped,19.095539093017578,-0.17266845703125,pythia-70m-deduped_1,P1,1.0577099323272705,16.156232833862305,-0.4387723505496979,0,step143000,2
nuisance,4,0.5798460841178894,1.1596921682357788,2,0.23546180129051208,EleutherAI/pythia-70m-deduped,17.728151321411133,1.7607421875,pythia-70m-deduped_1,P1,0.6096431836485863,15.391172409057617,1.8300453424453735,0,step143000,2
nuisance,6,0.22186560928821564,0.8874624371528625,4,0.4639909267425537,EleutherAI/pythia-70m-deduped,60.625038146972656,-0.0443115234375,pythia-70m-deduped_1,P1,0.5657222010195255,31.381446838378906,-0.021319329738616943,1,step143000,2
nuisance,1,1.2615469694137573,1.2615469694137573,1,0.3613390326499939,EleutherAI/pythia-70m-deduped,7.197741508483887,1.61016845703125,pythia-70m-deduped_2,P3,1.2615469694137573,8.717069625854492,2.023866891860962,0,step143000,0
nuisance,2,0.5461187362670898,1.0922374725341797,2,0.4323144853115082,EleutherAI/pythia-70m-deduped,8.374591827392578,1.51202392578125,pythia-70m-deduped_2,P3,0.8016456216573715,8.782075881958008,0.4264765977859497,0,step143000,0
nuisance,4,0.2653695046901703,1.0614780187606812,4,0.4211313724517822,EleutherAI/pythia-70m-deduped,8.574437141418457,1.40875244140625,pythia-70m-deduped_2,P3,0.5700217112898827,8.339262962341309,0.6672499179840088,0,step143000,0
nuisance,3,0.4073118269443512,0.4073118269443512,1,0.9184006452560425,EleutherAI/pythia-70m-deduped,8.597211837768555,2.13665771484375,pythia-70m-deduped_2,P3,0.4073118269443512,8.727553367614746,2.5092480182647705,0,step143000,2
nuisance,4,0.21437186002731323,0.42874372005462646,2,0.9100849628448486,EleutherAI/pythia-70m-deduped,8.574437141418457,1.40875244140625,pythia-70m-deduped_2,P3,0.3383978009223938,8.745715141296387,1.6074514389038086,0,step143000,2
nuisance,6,0.21977752447128296,0.8791100978851318,4,0.4786730408668518,EleutherAI/pythia-70m-deduped,52.64033126831055,-0.1405029296875,pythia-70m-deduped_2,P3,0.5758516043424606,22.865427017211914,-0.8018954992294312,1,step143000,2
signal,1,0.679585337638855,0.679585337638855,1,0.7929506301879883,EleutherAI/pythia-70m-deduped,3.875910520553589,0.0950927734375,pythia-70m-deduped_4,P4,0.679585337638855,4.240093231201172,1.5426772832870483,0,step143000,0
signal,2,0.37490853667259216,0.7498170733451843,2,0.7379938960075378,EleutherAI/pythia-70m-deduped,4.550334453582764,-1.063232421875,pythia-70m-deduped_4,P4,0.5180737972259521,4.845602989196777,-0.7788994908332825,0,step143000,0
signal,4,0.1757078319787979,0.7028313279151917,4,0.7895752191543579,EleutherAI/pythia-70m-deduped,4.336287975311279,-0.50384521484375,pythia-70m-deduped_4,P4,0.38370896503329277,4.909603118896484,-0.21919608116149902,0,step143000,0
signal,3,0.2878594696521759,0.2878594696521759,1,0.9580228924751282,EleutherAI/pythia-70m-deduped,4.711834907531738,2.542724609375,pythia-70m-deduped_4,P4,0.2878594696521759,4.636096477508545,2.5427913665771484,0,step143000,2
signal,4,0.15335769951343536,0.3067153990268707,2,0.954301655292511,EleutherAI/pythia-70m-deduped,4.336287975311279,-0.50384521484375,pythia-70m-deduped_4,P4,0.2493441328406334,4.437474250793457,0.6634510159492493,0,step143000,2
signal,6,0.1931273639202118,0.7725094556808472,4,0.7375308871269226,EleutherAI/pythia-70m-deduped,16.947975158691406,-0.65185546875,pythia-70m-deduped_4,P4,0.3640832230448723,6.141960620880127,-0.14532743394374847,1,step143000,2
nuisance,1,0.9886903166770935,0.9886903166770935,1,0.46338456869125366,Qwen/Qwen3-0.6B,18.520214080810547,0.01766204833984375,Qwen3-0.6B_0,P1,0.9886903166770935,16.70207405090332,-0.5820044279098511,0,c1899de289a04d12100db370d81485cdf75e47ca,0
nuisance,2,0.5272199511528015,1.054439902305603,2,0.4170963764190674,Qwen/Qwen3-0.6B,23.720985412597656,-0.4957714080810547,Qwen3-0.6B_0,P1,0.9761173129081726,22.57552719116211,-1.1333926916122437,0,c1899de289a04d12100db370d81485cdf75e47ca,0
nuisance,4,0.5811777114868164,2.3247108459472656,4,0.8375668525695801,Qwen/Qwen3-0.6B,59.317623138427734,-1.0072212219238281,Qwen3-0.6B_0,P1,13.054101683199406,183.71664428710938,-3.7619471549987793,0,c1899de289a04d12100db370d81485cdf75e47ca,0
nuisance,25,0.32267123460769653,0.32267123460769653,1,0.9512902498245239,Qwen/Qwen3-0.6B,395.2749328613281,2.3993701934814453,Qwen3-0.6B_0,P1,0.32267123460769653,413.66455078125,3.573713541030884,0,c1899de289a04d12100db370d81485cdf75e47ca,24
nuisance,26,0.2095830887556076,0.4191661775112152,2,0.9197044372558594,Qwen/Qwen3-0.6B,437.3885498046875,3.222372055053711,Qwen3-0.6B_0,P1,0.29591794312000275,466.4859313964844,3.8191206455230713,0,c1899de289a04d12100db370d81485cdf75e47ca,24
nuisance,28,1.176253080368042,4.705012321472168,4,0.7782241702079773,Qwen/Qwen3-0.6B,115.32432556152344,0.9377803802490234,Qwen3-0.6B_0,P1,1.3019788041710854,627.4956665039062,8.031129837036133,1,c1899de289a04d12100db370d81485cdf75e47ca,24
nuisance,1,0.9102573990821838,0.9102573990821838,1,0.6202906966209412,Qwen/Qwen3-0.6B,8.963644027709961,-0.010894775390625,Qwen3-0.6B_1,P1,0.9102573990821838,9.700140953063965,0.08610516041517258,0,c1899de289a04d12100db370d81485cdf75e47ca,0
nuisance,2,0.5086379051208496,1.0172758102416992,2,0.6176437735557556,Qwen/Qwen3-0.6B,11.537253379821777,-0.4353799819946289,Qwen3-0.6B_1,P1,0.8668976128101349,14.570197105407715,-0.4481578469276428,0,c1899de289a04d12100db370d81485cdf75e47ca,0
nuisance,4,0.9315008521080017,3.726003408432007,4,0.9849478602409363,Qwen/Qwen3-0.6B,83.85833740234375,-0.016069412231445312,Qwen3-0.6B_1,P1,5.14877774566412,394.71539306640625,-0.2653798460960388,0,c1899de289a04d12100db370d81485cdf75e47ca,0
nuisance,25,0.27079176902770996,0.27079176902770996,1,0.9632985591888428,Qwen/Qwen3-0.6B,215.89979553222656,-0.6651401519775391,Qwen3-0.6B_1,P1,0.27079176902770996,215.67648315429688,-0.7073574066162109,0,c1899de289a04d12100db370d81485cdf75e47ca,24
nuisance,26,0.19518595933914185,0.3903719186782837,2,0.922998309135437,Qwen/Qwen3-0.6B,247.2314453125,-0.9739160537719727,Qwen3-0.6B_1,P1,0.28764933347702026,244.43678283691406,-0.9411013126373291,0,c1899de289a04d12100db370d81485cdf75e47ca,24
nuisance,28,1.1188249588012695,4.475299835205078,4,0.8245057463645935,Qwen/Qwen3-0.6B,55.53380584716797,-1.4818572998046875,Qwen3-0.6B_1,P1,1.2853608950972557,292.3237609863281,-8.478745460510254,1,c1899de289a04d12100db370d81485cdf75e47ca,24
nuisance,1,0.8250415325164795,0.8250415325164795,1,0.6183555722236633,Qwen/Qwen3-0.6B,10.192755699157715,0.42078685760498047,Qwen3-0.6B_2,P3,0.8250415325164795,8.862268447875977,0.5800182819366455,0,c1899de289a04d12100db370d81485cdf75e47ca,0
nuisance,2,0.4539303779602051,0.9078607559204102,2,0.5420503616333008,Qwen/Qwen3-0.6B,11.638392448425293,0.016613483428955078,Qwen3-0.6B_2,P3,0.6997857689857483,10.307022094726562,1.302254319190979,0,c1899de289a04d12100db370d81485cdf75e47ca,0
nuisance,4,0.23714758455753326,0.9485903382301331,4,0.4529857039451599,Qwen/Qwen3-0.6B,17.062591552734375,0.30968570709228516,Qwen3-0.6B_2,P3,0.6513433456420898,13.25854206085205,0.08447533845901489,0,c1899de289a04d12100db370d81485cdf75e47ca,0
nuisance,25,0.22530703246593475,0.22530703246593475,1,0.9750686883926392,Qwen/Qwen3-0.6B,326.2701110839844,-2.0133352279663086,Qwen3-0.6B_2,P3,0.22530703246593475,330.863525390625,-0.02574847638607025,0,c1899de289a04d12100db370d81485cdf75e47ca,24
nuisance,26,0.16098256409168243,0.32196512818336487,2,0.9491736888885498,Qwen/Qwen3-0.6B,359.8079528808594,-1.0232934951782227,Qwen3-0.6B_2,P3,0.23671117424964905,365.9022521972656,-0.7908379435539246,0,c1899de289a04d12100db370d81485cdf75e47ca,24
nuisance,28,1.0024387836456299,4.0097551345825195,4,0.8553159236907959,Qwen/Qwen3-0.6B,88.0998306274414,0.015110015869140625,Qwen3-0.6B_2,P3,1.1435460597276688,425.65057373046875,-1.311711072921753,1,c1899de289a04d12100db370d81485cdf75e47ca,24
signal,1,0.768949031829834,0.768949031829834,1,0.7419824600219727,Qwen/Qwen3-0.6B,8.408761024475098,0.24890708923339844,Qwen3-0.6B_3,P4,0.768949031829834,9.405814170837402,-0.7551647424697876,0,c1899de289a04d12100db370d81485cdf75e47ca,0
signal,2,0.38924703001976013,0.7784940600395203,2,0.725663423538208,Qwen/Qwen3-0.6B,9.204575538635254,0.7363739013671875,Qwen3-0.6B_3,P4,0.5802149325609207,10.031713485717773,0.08784762769937515,0,c1899de289a04d12100db370d81485cdf75e47ca,0
signal,4,0.2013842910528183,0.8055371642112732,4,0.7005927562713623,Qwen/Qwen3-0.6B,11.246735572814941,-0.12919902801513672,Qwen3-0.6B_3,P4,0.5020326152443886,12.083320617675781,-0.049128711223602295,0,c1899de289a04d12100db370d81485cdf75e47ca,0
signal,25,0.23306705057621002,0.23306705057621002,1,0.9734064936637878,Qwen/Qwen3-0.6B,234.454345703125,-8.503910064697266,Qwen3-0.6B_3,P4,0.23306705057621002,238.2779998779297,-1.9926916360855103,0,c1899de289a04d12100db370d81485cdf75e47ca,24
signal,26,0.17627468705177307,0.35254937410354614,2,0.9393362998962402,Qwen/Qwen3-0.6B,262.2987976074219,-8.699660301208496,Qwen3-0.6B_3,P4,0.23968175053596497,267.76605224609375,-0.6766637563705444,0,c1899de289a04d12100db370d81485cdf75e47ca,24
signal,28,0.7438153028488159,2.9752612113952637,4,0.782690167427063,Qwen/Qwen3-0.6B,77.97600555419922,-8.775114059448242,Qwen3-0.6B_3,P4,0.9536696821451187,287.89678955078125,3.3320047855377197,1,c1899de289a04d12100db370d81485cdf75e47ca,24
signal,1,0.7099868655204773,0.7099868655204773,1,0.7332237958908081,Qwen/Qwen3-0.6B,5.103959083557129,-1.4363555908203125,Qwen3-0.6B_4,P4,0.7099868655204773,4.784580230712891,0.4701714515686035,0,c1899de289a04d12100db370d81485cdf75e47ca,0
signal,2,0.35437119007110596,0.7087423801422119,2,0.7311604022979736,Qwen/Qwen3-0.6B,5.822075843811035,-1.5107293128967285,Qwen3-0.6B_4,P4,0.5590390115976334,5.375425815582275,-0.7719818353652954,0,c1899de289a04d12100db370d81485cdf75e47ca,0
signal,4,0.20596864819526672,0.8238745927810669,4,0.602787971496582,Qwen/Qwen3-0.6B,8.55097770690918,0.34508705139160156,Qwen3-0.6B_4,P4,0.4874192178249359,6.909409999847412,-0.27555105090141296,0,c1899de289a04d12100db370d81485cdf75e47ca,0
signal,25,0.17464949190616608,0.17464949190616608,1,0.9846959114074707,Qwen/Qwen3-0.6B,162.73048400878906,-3.4331750869750977,Qwen3-0.6B_4,P4,0.17464949190616608,162.0831756591797,-3.396418809890747,0,c1899de289a04d12100db370d81485cdf75e47ca,24
signal,26,0.11666092276573181,0.23332184553146362,2,0.9730219841003418,Qwen/Qwen3-0.6B,183.12600708007812,-3.9033069610595703,Qwen3-0.6B_4,P4,0.17219717800617218,184.55780029296875,-4.023046970367432,0,c1899de289a04d12100db370d81485cdf75e47ca,24
signal,28,1.2263669967651367,4.905467987060547,4,0.8256984353065491,Qwen/Qwen3-0.6B,37.955257415771484,-4.1569366455078125,Qwen3-0.6B_4,P4,1.2995003089308739,216.29270935058594,-25.104713439941406,1,c1899de289a04d12100db370d81485cdf75e47ca,24
signal,1,0.7128297686576843,0.7128297686576843,1,0.7210165858268738,Qwen/Qwen3-0.6B,8.211066246032715,-0.3260478973388672,Qwen3-0.6B_5,P4,0.7128297686576843,7.294070243835449,0.5039466023445129,0,c1899de289a04d12100db370d81485cdf75e47ca,0
signal,2,0.41094672679901123,0.8218934535980225,2,0.6220210790634155,Qwen/Qwen3-0.6B,9.125408172607422,-1.1465673446655273,Qwen3-0.6B_5,P4,0.5767110586166382,7.956075668334961,-0.19598980247974396,0,c1899de289a04d12100db370d81485cdf75e47ca,0
signal,4,0.21611173450946808,0.8644469380378723,4,0.6078539490699768,Qwen/Qwen3-0.6B,11.851799011230469,-0.0860137939453125,Qwen3-0.6B_5,P4,0.5715546384453773,11.253850936889648,0.8400862216949463,0,c1899de289a04d12100db370d81485cdf75e47ca,0
