architecture,depth,exact_trajectory_accuracy,final_accuracy,invalid_call_rate,machine,mean_model_forwards,mean_tool_calls,n,nontermination_rate,one_call_coverage,per_transition_accuracy,post_tool_answer_accuracy,seed,seed_pass,selected_edge_validity,termination_accuracy,termination_precision,termination_recall
narrow,4,0.0,0.0,0.953125,M4,1.046875,1.0,64,0.0,,0.01171875,,11,0,,0.0,0.0,0.0
narrow,6,0.0,0.0,0.84375,M4,1.25,1.09375,64,0.0,,0.041666666666666664,,11,0,,0.0,0.0,0.0
narrow,8,0.0,0.0,0.75,M4,1.046875,0.796875,64,0.0,,0.005859375,,11,0,,0.0,0.0,0.0
narrow,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
narrow,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
narrow,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
narrow,4,0.0,0.0,0.890625,M4,1.0,0.890625,64,0.0,,0.0,,23,0,,0.0,0.0,0.0
narrow,6,0.0,0.0,0.890625,M4,1.015625,0.90625,64,0.0,,0.0026041666666666665,,23,0,,0.0,0.0,0.0
narrow,8,0.0,0.0,0.953125,M4,1.359375,1.3125,64,0.0,,0.044921875,,23,0,,0.0,0.0,0.0
narrow,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
narrow,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
narrow,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
narrow,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
narrow,6,0.0,0.0,0.828125,M4,1.09375,0.921875,64,0.0,,0.015625,,37,0,,0.0,0.0,0.0
narrow,8,0.0,0.0,0.953125,M4,1.046875,1.0,64,0.0,,0.005859375,,37,0,,0.0,0.0,0.0
one_head,1,,1.0,0.0,M3,,,64,,1.0,,1.0,11,1,1.0,,,
one_head,2,,1.0,0.0,M3,,,64,,0.5,,1.0,11,0,1.0,,,
one_head,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,11,0,1.0,,,
one_head,4,,0.0,0.4375,M3,,,64,,0.140625,,0.0,11,0,0.5625,,,
one_head,6,,0.03125,0.8125,M3,,,64,,0.03125,,0.03125,11,0,0.1875,,,
one_head,8,,0.0,0.09375,M3,,,64,,0.11328125,,0.0,11,0,0.90625,,,
one_head,1,,0.0,1.0,M3,,,64,,0.0,,0.0,23,0,0.0,,,
