architecture,depth,exact_trajectory_correct,example_id,final_correct,invalid_call,machine,model_forwards,nontermination,one_call_edge_coverage,per_transition_accuracy,post_tool_answer_correct,seed,selected_edge_valid,stop_emitted,termination_correct,tool_calls
narrow,1,,0,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,1,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,2,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,3,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,4,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,5,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,6,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,7,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,8,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,9,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,10,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,11,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,12,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,13,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,14,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,15,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,16,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,17,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,18,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,19,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,20,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,21,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,22,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,23,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,24,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,25,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,26,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,27,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,28,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,29,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,30,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,31,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,32,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,33,1,0,M3,2,0,1.0,,1,11,1,,,1
narrow,1,,34,1,0,M3,2,0,1.0,,1,11,1,,,1
