loss,model_seed,stage,step
16.732540130615234,11,F0,1
0.7060548067092896,11,F0,50
0.6943774223327637,11,F0,100
0.6434518098831177,11,F0,150
0.7620161175727844,11,F0,200
0.5993970036506653,11,F0,250
0.5120494365692139,11,F0,300
0.6437439918518066,11,F0,350
0.34545016288757324,11,F0,400
0.40410926938056946,11,F0,450
0.19549201428890228,11,F0,500
0.20459996163845062,11,F0,550
0.2902791500091553,11,F0,600
0.14440561830997467,11,F0,650
0.17465689778327942,11,F0,700
0.29669612646102905,11,F0,750
0.4110484719276428,11,F0,800
0.14880312979221344,11,F0,850
0.1504361927509308,11,F0,900
0.17524118721485138,11,F0,950
0.322017103433609,11,F0,1000
0.06665714830160141,11,F0,1050
0.13409405946731567,11,F0,1100
0.05716191604733467,11,F0,1150
0.09733334183692932,11,F0,1200
0.060117051005363464,11,F0,1250
0.1629115790128708,11,F0,1300
0.011662853881716728,11,F0,1350
0.04692239314317703,11,F0,1400
0.04875379428267479,11,F0,1450
0.23211009800434113,11,F0,1500
0.05788091942667961,11,F0,1550
0.12186402827501297,11,F0,1600
0.07450003176927567,11,F0,1650
0.04685196653008461,11,F0,1700
0.09140660613775253,11,F0,1750
0.09986450523138046,11,F0,1800
0.018523307517170906,11,F0,1850
0.06886404752731323,11,F0,1900
0.060576967895030975,11,F0,1950
0.18576699495315552,11,F0,2000
0.18527260422706604,11,F0,2050
0.05679784715175629,11,F0,2100
0.15563532710075378,11,F0,2150
0.1630859524011612,11,F0,2200
0.23249588906764984,11,F0,2250
0.24548648297786713,11,F0,2300
0.14069914817810059,11,F0,2350
0.10945378988981247,11,F0,2400
0.12523019313812256,11,F0,2450
0.15077649056911469,11,F0,2500
0.2542286813259125,11,F0,2550
0.03722139075398445,11,F0,2600
0.26109811663627625,11,F0,2650
0.0077910032123327255,11,F0,2700
0.0470893420279026,11,F0,2750
0.010621829889714718,11,F0,2800
0.016525734215974808,11,F0,2850
0.09971245378255844,11,F0,2900
0.003209405578672886,11,F0,2950
0.05131996050477028,11,F0,3000
0.007892455905675888,11,F0,3050
0.050483886152505875,11,F0,3100
0.012296494096517563,11,F0,3150
0.09271518141031265,11,F0,3200
24.711809158325195,23,F0,1
0.7646394968032837,23,F0,50
0.567179262638092,23,F0,100
0.5804354548454285,23,F0,150
0.5039024353027344,23,F0,200
0.43230950832366943,23,F0,250
0.467496782541275,23,F0,300
0.17224322259426117,23,F0,350
0.2420366406440735,23,F0,400
0.291706919670105,23,F0,450
0.18709518015384674,23,F0,500
0.17657022178173065,23,F0,550
0.11562440544366837,23,F0,600
0.13384570181369781,23,F0,650
0.0614006407558918,23,F0,700
0.16351254284381866,23,F0,750
0.036742642521858215,23,F0,800
0.13357791304588318,23,F0,850
