condition,loss,seed,step
baseline,43.68038558959961,11,1
baseline,4.342579364776611,11,50
baseline,2.9736478328704834,11,100
baseline,2.8088297843933105,11,150
baseline,2.6837525367736816,11,200
baseline,2.391517400741577,11,250
baseline,1.792245864868164,11,300
baseline,0.45377784967422485,11,350
baseline,0.095293790102005,11,400
baseline,0.0649726390838623,11,450
baseline,0.1021144688129425,11,500
baseline,0.09094393253326416,11,550
baseline,0.14820852875709534,11,600
baseline,0.042461417615413666,11,650
baseline,0.004450477194041014,11,700
baseline,0.10608986020088196,11,750
baseline,0.013873446732759476,11,800
baseline,0.032322660088539124,11,850
baseline,0.013658087700605392,11,900
baseline,0.07462246716022491,11,950
baseline,0.12053963541984558,11,1000
baseline,42.60685348510742,23,1
baseline,5.294544696807861,23,50
baseline,2.8885302543640137,23,100
baseline,0.8671209812164307,23,150
baseline,0.10055394470691681,23,200
baseline,0.024366697296500206,23,250
baseline,0.03581231087446213,23,300
baseline,0.014619141817092896,23,350
baseline,0.002660672878846526,23,400
baseline,0.0010742617305368185,23,450
baseline,0.036010149866342545,23,500
baseline,0.002083796076476574,23,550
baseline,0.0024025000166147947,23,600
baseline,0.0003327390877529979,23,650
baseline,0.00013462608330883086,23,700
baseline,0.00170331506524235,23,750
baseline,0.06416035443544388,23,800
baseline,0.001523437793366611,23,850
baseline,0.00039761565858498216,23,900
baseline,0.023266056552529335,23,950
baseline,0.041830334812402725,23,1000
baseline,42.39842224121094,37,1
baseline,4.874656677246094,37,50
baseline,2.7250168323516846,37,100
baseline,1.8289192914962769,37,150
baseline,0.4757077991962433,37,200
baseline,0.03423392027616501,37,250
baseline,0.08505487442016602,37,300
baseline,0.06980517506599426,37,350
baseline,0.0964575707912445,37,400
baseline,0.0389111265540123,37,450
baseline,0.002469988539814949,37,500
baseline,0.002120940713211894,37,550
baseline,0.0005485577275976539,37,600
baseline,0.0020918515510857105,37,650
baseline,0.00043862074380740523,37,700
baseline,0.03504779562354088,37,750
baseline,0.001444352325052023,37,800
baseline,0.0002681467740330845,37,850
baseline,0.0034971933346241713,37,900
baseline,0.0005698821041733027,37,950
baseline,0.0554637536406517,37,1000
partial_starts,43.14022445678711,11,1
partial_starts,4.679470062255859,11,50
partial_starts,3.2634599208831787,11,100
partial_starts,3.1536312103271484,11,150
partial_starts,3.0339388847351074,11,200
partial_starts,3.052442789077759,11,250
partial_starts,2.8644514083862305,11,300
partial_starts,2.4390530586242676,11,350
partial_starts,1.7548575401306152,11,400
partial_starts,1.5412936210632324,11,450
partial_starts,1.1076362133026123,11,500
partial_starts,0.914246678352356,11,550
partial_starts,1.0705393552780151,11,600
partial_starts,1.0540984869003296,11,650
partial_starts,0.8893123269081116,11,700
partial_starts,0.6856861710548401,11,750
partial_starts,0.9127181172370911,11,800
partial_starts,0.7083437442779541,11,850
partial_starts,0.7146850824356079,11,900
partial_starts,0.6314758658409119,11,950
partial_starts,0.7085026502609253,11,1000
partial_starts,42.19575881958008,23,1
partial_starts,5.39125919342041,23,50
partial_starts,3.3539934158325195,23,100
partial_starts,3.0505545139312744,23,150
partial_starts,2.5752344131469727,23,200
partial_starts,1.9634628295898438,23,250
partial_starts,1.179679036140442,23,300
partial_starts,1.3951799869537354,23,350
partial_starts,1.3664082288742065,23,400
partial_starts,1.2411564588546753,23,450
partial_starts,0.9179353713989258,23,500
partial_starts,0.9428544640541077,23,550
partial_starts,0.9080238342285156,23,600
partial_starts,0.8406432867050171,23,650
partial_starts,0.8221039175987244,23,700
partial_starts,0.9525579810142517,23,750
partial_starts,0.7853517532348633,23,800
partial_starts,0.45005491375923157,23,850
partial_starts,0.5120435357093811,23,900
partial_starts,0.8025155067443848,23,950
partial_starts,0.4667239189147949,23,1000
partial_starts,41.71468734741211,37,1
partial_starts,5.042209625244141,37,50
partial_starts,3.248983144760132,37,100
partial_starts,3.089573860168457,37,150
partial_starts,2.89109468460083,37,200
partial_starts,2.0584170818328857,37,250
partial_starts,1.581611156463623,37,300
partial_starts,1.5171469449996948,37,350
partial_starts,1.3931530714035034,37,400
partial_starts,1.2239736318588257,37,450
