architecture,diagnostic_tier,mean_accuracy,passes_0_80_worst_seed,passes_0_90_worst_seed,predicate,seed_count,seed_variance,status,worst_seed_accuracy
baseline,easy,0.26851851851851855,False,False,ancestor_k,3,0.0007823216735253776,observed_1x,0.22916666666666666
baseline,easy,0.22916666666666666,False,False,grandparent,3,0.000506365740740741,observed_1x,0.19791666666666666
baseline,easy,0.7222222222222222,False,False,isAncestor,3,0.03629758230452675,observed_1x,0.5
baseline,easy,0.2638888888888889,False,False,parent,3,0.0021942515432098767,observed_1x,0.19791666666666666
baseline,easy,0.24537037037037038,False,False,root,3,0.00210048010973937,observed_1x,0.19444444444444445
baseline,hard,0.06095679012345679,False,False,ancestor_k,3,3.6913199207437916e-05,observed_1x,0.05555555555555555
baseline,hard,0.0798611111111111,False,False,grandparent,3,2.4112654320987612e-05,observed_1x,0.07291666666666667
baseline,hard,0.6759259259259259,False,False,isAncestor,3,0.04588191586648377,observed_1x,0.49537037037037035
baseline,hard,0.09722222222222221,False,False,parent,3,0.0012538580246913584,observed_1x,0.0625
baseline,hard,0.06944444444444445,False,False,root,3,0.0005144032921810701,observed_1x,0.041666666666666664
baseline,medium,0.13425925925925927,False,False,ancestor_k,3,0.0003322187928669408,observed_1x,0.11805555555555555
baseline,medium,0.0925925925925926,False,False,grandparent,3,4.28669410150892e-05,observed_1x,0.08333333333333333
baseline,medium,0.7175925925925926,False,False,isAncestor,3,0.042191786694101514,observed_1x,0.5
baseline,medium,0.15277777777777776,False,False,parent,3,0.006301440329218107,observed_1x,0.08333333333333333
baseline,medium,0.1111111111111111,False,False,root,3,0.0027006172839506176,observed_1x,0.041666666666666664
deep_narrow_match,easy,0.2777777777777778,False,False,ancestor_k,3,0.0005144032921810704,observed_1x,0.25
deep_narrow_match,easy,0.16319444444444445,False,False,grandparent,3,0.00016878858024691354,observed_1x,0.14583333333333334
deep_narrow_match,easy,0.7384259259259259,False,False,isAncestor,3,0.03614754801097394,observed_1x,0.5
deep_narrow_match,easy,0.3298611111111111,False,False,parent,3,0.00667920524691358,observed_1x,0.23958333333333334
deep_narrow_match,easy,0.1388888888888889,False,False,root,3,0.0011574074074074073,observed_1x,0.09722222222222222
deep_narrow_match,hard,0.05401234567901234,False,False,ancestor_k,3,0.00015836953208352392,observed_1x,0.037037037037037035
deep_narrow_match,hard,0.05902777777777778,False,False,grandparent,3,0.00031346450617283943,observed_1x,0.041666666666666664
deep_narrow_match,hard,0.6581790123456791,False,False,isAncestor,3,0.026021423944520655,observed_1x,0.5
deep_narrow_match,hard,0.14583333333333331,False,False,parent,3,0.012369791666666664,observed_1x,0.052083333333333336
deep_narrow_match,hard,0.041666666666666664,False,False,root,3,0.00012860082304526747,observed_1x,0.027777777777777776
deep_narrow_match,medium,0.12268518518518519,False,False,ancestor_k,3,0.00017146776406035664,observed_1x,0.10416666666666667
deep_narrow_match,medium,0.06018518518518518,False,False,grandparent,3,0.002229080932784637,observed_1x,0.013888888888888888
deep_narrow_match,medium,0.7152777777777778,False,False,isAncestor,3,0.024980709876543213,observed_1x,0.5
deep_narrow_match,medium,0.19444444444444445,False,False,parent,3,0.0063014403292181095,observed_1x,0.125
deep_narrow_match,medium,0.06944444444444443,False,False,root,3,0.00038580246913580245,observed_1x,0.041666666666666664
depth8,easy,0.29398148148148145,False,False,ancestor_k,3,0.0002036179698216734,observed_1x,0.2777777777777778
depth8,easy,0.25,False,False,grandparent,3,0.0008680555555555563,observed_1x,0.22916666666666666
depth8,easy,0.9351851851851851,True,False,isAncestor,3,0.0022290809327846386,observed_1x,0.8888888888888888
depth8,easy,0.2708333333333333,False,False,parent,3,0.002025462962962963,observed_1x,0.20833333333333334
depth8,easy,0.20833333333333334,False,False,root,3,0.0020576131687242796,observed_1x,0.1527777777777778
depth8,hard,0.05709876543209876,False,False,ancestor_k,3,5.1202179545801e-05,observed_1x,0.05092592592592592
depth8,hard,0.06944444444444443,False,False,grandparent,3,0.00016878858024691354,observed_1x,0.052083333333333336
depth8,hard,0.8688271604938271,False,False,isAncestor,3,0.0092175830666057,observed_1x,0.7592592592592593
depth8,hard,0.12847222222222224,False,False,parent,3,0.0006028163580246915,observed_1x,0.09375
depth8,hard,0.041666666666666664,False,False,root,3,0.00012860082304526747,observed_1x,0.027777777777777776
depth8,medium,0.14583333333333334,False,False,ancestor_k,3,3.21502057613169e-05,observed_1x,0.1388888888888889
depth8,medium,0.13888888888888887,False,False,grandparent,3,0.0015432098765432098,observed_1x,0.08333333333333333
depth8,medium,0.9282407407407408,True,False,isAncestor,3,0.0022290809327846386,observed_1x,0.8819444444444444
depth8,medium,0.22222222222222224,False,False,parent,3,0.002700617283950617,observed_1x,0.1527777777777778
depth8,medium,0.041666666666666664,False,False,root,3,0.0008680555555555555,observed_1x,0.020833333333333332
heads2,easy,0.3125,False,False,ancestor_k,3,0.00022505144032921781,observed_1x,0.2916666666666667
heads2,easy,0.2673611111111111,False,False,grandparent,3,0.0016155478395061737,observed_1x,0.22916666666666666
heads2,easy,0.4930555555555556,False,False,isAncestor,3,9.645061728395045e-05,observed_1x,0.4791666666666667
heads2,easy,0.2743055555555556,False,False,parent,3,0.0007474922839506171,observed_1x,0.25
heads2,easy,0.2638888888888889,False,False,root,3,0.002443415637860082,observed_1x,0.2222222222222222
heads2,hard,0.0640432098765432,False,False,ancestor_k,3,0.00010835810089925324,observed_1x,0.05092592592592592
heads2,hard,0.09027777777777779,False,False,grandparent,3,0.00016878858024691357,observed_1x,0.07291666666666667
heads2,hard,0.49614197530864196,False,False,isAncestor,3,1.1907483615302652e-06,observed_1x,0.49537037037037035
heads2,hard,0.09027777777777779,False,False,parent,3,0.0021942515432098763,observed_1x,0.052083333333333336
heads2,hard,0.08796296296296297,False,False,root,3,0.000300068587105624,observed_1x,0.06944444444444445
heads2,medium,0.14351851851851852,False,False,ancestor_k,3,0.0011681241426611795,observed_1x,0.10416666666666667
heads2,medium,0.13888888888888887,False,False,grandparent,3,0.0009002057613168723,observed_1x,0.1111111111111111
heads2,medium,0.5069444444444445,False,False,isAncestor,3,9.645061728395095e-05,observed_1x,0.5
heads2,medium,0.212962962962963,False,False,parent,3,0.004415294924554184,observed_1x,0.1527777777777778
heads2,medium,0.11805555555555557,False,False,root,3,0.00472608024691358,observed_1x,0.041666666666666664
heads8,easy,0.28472222222222227,False,False,ancestor_k,3,3.21502057613169e-05,observed_1x,0.2777777777777778
heads8,easy,0.24652777777777776,False,False,grandparent,3,0.0011815200617283949,observed_1x,0.19791666666666666
heads8,easy,0.8796296296296297,False,False,isAncestor,3,0.0212298525377229,observed_1x,0.6736111111111112
heads8,easy,0.23958333333333334,False,False,parent,3,0.0008680555555555563,observed_1x,0.19791666666666666
heads8,easy,0.28703703703703703,False,False,root,3,0.0003000685871056244,observed_1x,0.2638888888888889
heads8,hard,0.05246913580246914,False,False,ancestor_k,3,5.120217954580095e-05,observed_1x,0.046296296296296294
heads8,hard,0.07986111111111112,False,False,grandparent,3,9.645061728395057e-05,observed_1x,0.07291666666666667
heads8,hard,0.8271604938271605,False,False,isAncestor,3,0.024628248361530245,observed_1x,0.6111111111111112
heads8,hard,0.0798611111111111,False,False,parent,3,0.0008921682098765432,observed_1x,0.041666666666666664
heads8,hard,0.10185185185185186,False,False,root,3,0.0008144718792866941,observed_1x,0.06944444444444445
heads8,medium,0.12962962962962962,False,False,ancestor_k,3,0.0003000685871056244,observed_1x,0.1111111111111111
heads8,medium,0.1111111111111111,False,False,grandparent,3,0.0003858024691358026,observed_1x,0.09722222222222222
heads8,medium,0.8425925925925926,False,False,isAncestor,3,0.030135459533607686,observed_1x,0.5972222222222222
heads8,medium,0.11574074074074074,False,False,parent,3,0.0008144718792866944,observed_1x,0.08333333333333333
heads8,medium,0.11111111111111112,False,False,root,3,0.0006751543209876546,observed_1x,0.08333333333333333
shallow_wide_match,easy,0.28703703703703703,False,False,ancestor_k,3,0.0007823216735253774,observed_1x,0.2638888888888889
shallow_wide_match,easy,0.23611111111111108,False,False,grandparent,3,0.0008921682098765429,observed_1x,0.19791666666666666
shallow_wide_match,easy,0.6527777777777778,False,False,isAncestor,3,0.046682098765432105,observed_1x,0.5
shallow_wide_match,easy,0.2638888888888889,False,False,parent,3,0.0008921682098765428,observed_1x,0.22916666666666666
shallow_wide_match,easy,0.24537037037037038,False,False,root,3,0.0012002743484224969,observed_1x,0.20833333333333334
shallow_wide_match,hard,0.06635802469135803,False,False,ancestor_k,3,4.762993446121032e-06,observed_1x,0.06481481481481481
shallow_wide_match,hard,0.08333333333333333,False,False,grandparent,3,0.0009403935185185184,observed_1x,0.052083333333333336
shallow_wide_match,hard,0.6635802469135802,False,False,isAncestor,3,0.054277882563633605,observed_1x,0.4976851851851852
shallow_wide_match,hard,0.09722222222222222,False,False,parent,3,0.0003134645061728394,observed_1x,0.07291666666666667
shallow_wide_match,hard,0.12037037037037036,False,False,root,3,0.0008144718792866944,observed_1x,0.08333333333333333
shallow_wide_match,medium,0.1550925925925926,False,False,ancestor_k,3,0.0007180212620027434,observed_1x,0.11805555555555555
shallow_wide_match,medium,0.09722222222222221,False,False,grandparent,3,0.0009002057613168723,observed_1x,0.05555555555555555
shallow_wide_match,medium,0.6574074074074074,False,False,isAncestor,3,0.049554183813443065,observed_1x,0.5
shallow_wide_match,medium,0.15277777777777776,False,False,parent,3,0.0003858024691358023,observed_1x,0.125
shallow_wide_match,medium,0.13194444444444445,False,False,root,3,0.000675154320987654,observed_1x,0.10416666666666667
width128,easy,0.28935185185185186,False,False,ancestor_k,3,0.00033221879286694117,observed_1x,0.2638888888888889
width128,easy,0.23263888888888887,False,False,grandparent,3,0.0001687885802469136,observed_1x,0.21875
width128,easy,0.7708333333333334,False,False,isAncestor,3,0.03732638888888889,observed_1x,0.5
width128,easy,0.25,False,False,parent,3,0.0005063657407407408,observed_1x,0.22916666666666666
width128,easy,0.24074074074074073,False,False,root,3,0.0010716735253772291,observed_1x,0.19444444444444445
width128,hard,0.07561728395061729,False,False,ancestor_k,3,8.692463039170856e-05,observed_1x,0.0625
width128,hard,0.08333333333333333,False,False,grandparent,3,7.233796296296293e-05,observed_1x,0.07291666666666667
width128,hard,0.6983024691358025,False,False,isAncestor,3,0.032737244703551285,observed_1x,0.5
width128,hard,0.08680555555555557,False,False,parent,3,0.0006028163580246914,observed_1x,0.052083333333333336
width128,hard,0.08333333333333333,False,False,root,3,0.003986625514403292,observed_1x,0.013888888888888888
width128,medium,0.14351851851851852,False,False,ancestor_k,3,0.0001714677640603568,observed_1x,0.125
width128,medium,0.12962962962962962,False,False,grandparent,3,0.0003000685871056244,observed_1x,0.1111111111111111
width128,medium,0.7152777777777778,False,False,isAncestor,3,0.028195730452674896,observed_1x,0.5
width128,medium,0.1759259259259259,False,False,parent,3,0.0021004801097393687,observed_1x,0.125
width128,medium,0.125,False,False,root,3,0.0037615740740740747,observed_1x,0.041666666666666664
