aic,beta_intercept,beta_model_depth,beta_model_width,beta_order_x_budget,beta_order_x_depth,beta_order_x_width,beta_predictive_order,beta_training_budget,bic,model,n,predictors,r2
-254.65583077596364,0.7239754765651548,0.003526593541619185,0.00022981265325068556,,,,-0.09303513071895428,0.07298687664635871,-242.50174678174707,additive,84,predictive_order + model_depth + model_width + training_budget,0.5520817453105973
-252.8552572628513,0.7050804289361686,0.004866117697662067,0.00024574560798905354,,0.019867681717931185,,-0.09640554101038902,0.07604600395612025,-238.2703564697914,depth interaction,84,predictive_order + model_depth + model_width + training_budget + order_x_depth,0.5531438978268544
-255.4674383772255,0.5236418709006772,0.0035265935416191087,0.004213719584078485,,,2.0397603485838784,-0.13856549564270199,0.07298687664635803,-240.88253758416562,width interaction,84,predictive_order + model_depth + model_width + training_budget + order_x_width,0.566826114949815
-253.87391093721698,0.6611866894113348,0.0034201346350688985,0.00035327541293063425,0.042354873117171,,,-0.13160831873637777,0.11786916306348383,-239.2890101441571,training interaction,84,predictive_order + model_depth + model_width + training_budget + order_x_budget,0.5585301206587641
