accuracy,accuracy_ci_high,accuracy_ci_low,dependency_span,mean_margin,model_depth,model_seed,model_width,n_families,nuisance_count,parameter_count,predictive_order,raw_length,span_mode,training_budget,training_steps
0.4375,0.6875,0.1875,3,-0.15723586082458496,2,11,32,16,8,22784,2,4,moderate,1,400
0.4375,0.6875,0.1875,4,-0.05128914117813109,2,11,32,16,0,22784,2,4,large,1,400
0.4375,0.6875,0.1875,4,-0.06150734424591063,2,11,32,16,2,22784,2,4,large,1,400
0.4375,0.6875,0.1875,4,-0.056156933307647705,2,11,32,16,4,22784,2,4,large,1,400
0.4375,0.6875,0.25,4,-0.06252139806747437,2,11,32,16,8,22784,2,4,large,1,400
0.4375,0.6875,0.1875,2,-0.11033982038497922,2,11,32,16,0,22784,2,8,contiguous,1,400
0.4375,0.6875,0.1875,2,-0.10978960990905764,2,11,32,16,2,22784,2,8,contiguous,1,400
0.4375,0.6875,0.1875,2,-0.11148416996002197,2,11,32,16,4,22784,2,8,contiguous,1,400
0.4375,0.6875,0.1875,2,-0.10826486349105835,2,11,32,16,8,22784,2,8,contiguous,1,400
0.3125,0.5625,0.125,3,-0.09222519397735597,2,11,32,16,0,22784,2,8,moderate,1,400
0.3125,0.5625,0.125,3,-0.10111463069915771,2,11,32,16,2,22784,2,8,moderate,1,400
0.375,0.625,0.1875,3,-0.11380398273468018,2,11,32,16,4,22784,2,8,moderate,1,400
0.3125,0.5625,0.125,3,-0.12199211120605469,2,11,32,16,8,22784,2,8,moderate,1,400
0.4375,0.6875,0.1875,4,-0.11714267730712889,2,11,32,16,0,22784,2,8,large,1,400
0.375,0.625,0.125,4,-0.1449834704399109,2,11,32,16,2,22784,2,8,large,1,400
0.3125,0.5625,0.0625,4,-0.17487019300460815,2,11,32,16,4,22784,2,8,large,1,400
0.4375,0.6875,0.1875,4,-0.195417582988739,2,11,32,16,8,22784,2,8,large,1,400
0.3125,0.5625,0.125,3,-0.457611858844757,2,11,32,16,0,22784,3,3,contiguous,1,400
