dependency_span,family_id,first_top1_layer,margin_trajectory,model_depth,model_seed,model_type,model_width,nuisance_count,parameter_count,predictive_order,raw_length,settling_delay,span_mode,stable_top1_layer,top1_reversals,training_budget,training_steps
3,"p3:(0, 1, 0):9",2,-23.4829;-1.39629;0.316507,2,11,transformer,32,0,22784,3,3,0,contiguous,2,1,1,400
3,"p3:(0, 0, 0):10",,-30.8781;-3.34474;-0.316031,2,11,transformer,32,0,22784,3,3,,contiguous,,0,1,400
3,"p3:(1, 3, 3):11",1,-17.2894;0.0306683;-1.12468,2,11,transformer,32,0,22784,3,3,,contiguous,,2,1,400
3,"p3:(1, 1, 2):12",,-30.8781;-3.45368;-0.371426,2,11,transformer,32,0,22784,3,3,,contiguous,,0,1,400
3,"p3:(3, 0, 1):13",,-30.8781;-4.18352;-0.567459,2,11,transformer,32,0,22784,3,3,,contiguous,,0,1,400
3,"p3:(2, 3, 1):14",1,-19.5958;0.611486;-0.909231,2,11,transformer,32,0,22784,3,3,,contiguous,,2,1,400
3,"p3:(1, 2, 3):15",,-19.5958;-1.24255;-1.74264,2,11,transformer,32,0,22784,3,3,,contiguous,,0,1,400
4,"p4:(3, 3, 1, 1):0",,-30.8781;-3.12158;-0.21701,2,11,transformer,32,0,22784,4,4,,contiguous,,0,1,400
4,"p4:(0, 1, 2, 1):1",,-30.8781;-3.54155;-0.379329,2,11,transformer,32,0,22784,4,4,,contiguous,,0,1,400
4,"p4:(2, 0, 2, 0):2",,-30.8781;-3.0398;-0.279143,2,11,transformer,32,0,22784,4,4,,contiguous,,0,1,400
4,"p4:(3, 1, 0, 2):3",,-19.5958;-1.49475;-1.28126,2,11,transformer,32,0,22784,4,4,,contiguous,,0,1,400
4,"p4:(1, 3, 3, 2):4",2,-23.4829;-1.13875;0.22191,2,11,transformer,32,0,22784,4,4,0,contiguous,2,1,1,400
4,"p4:(2, 1, 0, 0):5",1,-17.2894;1.31306;-0.549855,2,11,transformer,32,0,22784,4,4,,contiguous,,2,1,400
4,"p4:(0, 1, 1, 1):6",1,-17.2894;1.44115;-0.524071,2,11,transformer,32,0,22784,4,4,,contiguous,,2,1,400
4,"p4:(3, 2, 0, 3):7",,-30.8781;-3.52388;-0.45329,2,11,transformer,32,0,22784,4,4,,contiguous,,0,1,400
4,"p4:(1, 0, 1, 2):8",,-30.8781;-2.90963;-0.222743,2,11,transformer,32,0,22784,4,4,,contiguous,,0,1,400
4,"p4:(1, 2, 3, 1):9",1,-17.2894;1.10667;-0.583642,2,11,transformer,32,0,22784,4,4,,contiguous,,2,1,400
4,"p4:(1, 2, 2, 3):10",,-30.8781;-3.44257;-0.462606,2,11,transformer,32,0,22784,4,4,,contiguous,,0,1,400
4,"p4:(2, 3, 2, 3):11",,-19.5958;-1.5014;-1.36883,2,11,transformer,32,0,22784,4,4,,contiguous,,0,1,400
4,"p4:(1, 1, 2, 1):12",2,-23.4829;-1.31467;0.464574,2,11,transformer,32,0,22784,4,4,0,contiguous,2,1,1,400
4,"p4:(3, 1, 3, 2):13",2,-23.4829;-1.39566;0.398349,2,11,transformer,32,0,22784,4,4,0,contiguous,2,1,1,400
4,"p4:(0, 3, 0, 1):14",,-30.8781;-3.08804;-0.154927,2,11,transformer,32,0,22784,4,4,,contiguous,,0,1,400
4,"p4:(3, 3, 0, 0):15",,-19.5958;-1.74764;-1.35681,2,11,transformer,32,0,22784,4,4,,contiguous,,0,1,400
6,"p6:(1, 3, 0, 1, 0, 1):0",,-19.5958;-1.3865;-1.69172,2,11,transformer,32,0,22784,6,6,,contiguous,,0,1,400
6,"p6:(1, 2, 1, 2, 1, 2):1",2,-23.4829;-0.576408;0.844141,2,11,transformer,32,0,22784,6,6,0,contiguous,2,1,1,400
6,"p6:(2, 2, 1, 1, 2, 1):2",2,-23.4829;-0.879711;0.787745,2,11,transformer,32,0,22784,6,6,0,contiguous,2,1,1,400
6,"p6:(0, 1, 0, 2, 3, 3):3",2,-23.4829;-1.40961;0.533439,2,11,transformer,32,0,22784,6,6,0,contiguous,2,1,1,400
6,"p6:(2, 0, 3, 0, 0, 1):4",,-19.5958;-1.15202;-1.046,2,11,transformer,32,0,22784,6,6,,contiguous,,0,1,400
6,"p6:(0, 3, 2, 0, 2, 1):5",,-30.8781;-4.32337;-0.23828,2,11,transformer,32,0,22784,6,6,,contiguous,,0,1,400
6,"p6:(1, 2, 3, 0, 2, 3):6",1,-17.2894;0.70769;-0.743964,2,11,transformer,32,0,22784,6,6,,contiguous,,2,1,400
6,"p6:(2, 3, 3, 2, 3, 0):7",2,-23.4829;-1.85182;0.361989,2,11,transformer,32,0,22784,6,6,0,contiguous,2,1,1,400
6,"p6:(2, 2, 3, 1, 1, 1):8",,-19.5958;-0.516732;-1.06566,2,11,transformer,32,0,22784,6,6,,contiguous,,0,1,400
6,"p6:(1, 3, 2, 2, 1, 0):9",2,-23.4829;-1.91092;0.332167,2,11,transformer,32,0,22784,6,6,0,contiguous,2,1,1,400
6,"p6:(0, 3, 3, 0, 0, 0):10",,-19.5958;-1.20642;-0.938711,2,11,transformer,32,0,22784,6,6,,contiguous,,0,1,400
6,"p6:(2, 0, 0, 0, 0, 2):11",,-30.8781;-3.76639;-0.722853,2,11,transformer,32,0,22784,6,6,,contiguous,,0,1,400
6,"p6:(1, 2, 2, 1, 2, 1):12",2,-23.4829;-2.07779;0.264304,2,11,transformer,32,0,22784,6,6,0,contiguous,2,1,1,400
6,"p6:(2, 0, 2, 0, 3, 1):13",,-30.8781;-4.30486;-0.260219,2,11,transformer,32,0,22784,6,6,,contiguous,,0,1,400
6,"p6:(0, 1, 0, 1, 2, 3):14",1,-17.2894;0.365287;-0.49981,2,11,transformer,32,0,22784,6,6,,contiguous,,2,1,400
6,"p6:(2, 3, 3, 3, 1, 2):15",,-19.5958;-0.516572;-1.08572,2,11,transformer,32,0,22784,6,6,,contiguous,,0,1,400
8,"p8:(2, 3, 1, 0, 2, 2, 0, 1):0",1,-17.2894;0.844736;-0.518036,2,11,transformer,32,0,22784,8,8,,contiguous,,2,1,400
8,"p8:(2, 1, 0, 1, 0, 1, 1, 2):1",,-30.8781;-4.19805;-0.377392,2,11,transformer,32,0,22784,8,8,,contiguous,,0,1,400
8,"p8:(1, 0, 3, 3, 3, 3, 0, 1):2",,-19.5958;-1.70584;-1.25363,2,11,transformer,32,0,22784,8,8,,contiguous,,0,1,400
8,"p8:(0, 0, 2, 2, 3, 1, 0, 1):3",2,-23.4829;-2.37042;0.198047,2,11,transformer,32,0,22784,8,8,0,contiguous,2,1,1,400
8,"p8:(1, 1, 1, 0, 2, 3, 0, 1):4",2,-23.4829;-1.38343;0.430252,2,11,transformer,32,0,22784,8,8,0,contiguous,2,1,1,400
8,"p8:(0, 2, 1, 0, 0, 3, 3, 0):5",2,-23.4829;-1.40991;0.476018,2,11,transformer,32,0,22784,8,8,0,contiguous,2,1,1,400
8,"p8:(0, 2, 3, 2, 3, 1, 2, 2):6",1,-17.2894;1.72387;-0.457128,2,11,transformer,32,0,22784,8,8,,contiguous,,2,1,400
8,"p8:(1, 3, 2, 1, 1, 2, 0, 2):7",,-30.8781;-4.03776;-0.281799,2,11,transformer,32,0,22784,8,8,,contiguous,,0,1,400
8,"p8:(3, 3, 3, 0, 2, 0, 2, 1):8",,-19.5958;-1.76574;-1.26858,2,11,transformer,32,0,22784,8,8,,contiguous,,0,1,400
8,"p8:(1, 0, 3, 3, 2, 3, 1, 1):9",,-19.5958;-1.49642;-1.22631,2,11,transformer,32,0,22784,8,8,,contiguous,,0,1,400
8,"p8:(3, 2, 2, 0, 0, 3, 2, 1):10",2,-23.4829;-1.31172;0.499802,2,11,transformer,32,0,22784,8,8,0,contiguous,2,1,1,400
8,"p8:(2, 2, 3, 0, 3, 0, 0, 3):11",2,-23.4829;-1.46775;0.287721,2,11,transformer,32,0,22784,8,8,0,contiguous,2,1,1,400
8,"p8:(3, 3, 2, 1, 0, 1, 2, 3):12",1,-17.2894;1.85911;0.0248938,2,11,transformer,32,0,22784,8,8,0,contiguous,1,1,1,400
