condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
none,0,0,1,,3,-14.072530746459961,11,5.961648525953933e-07,122,D4,6,0,8
correct,0,0,1,20.04317331314087,3,5.970642566680908,11,0.9859676957130432,1,D4,6,1,8
shuffled,0,0,1,,3,-13.256657600402832,11,1.7260465483559528e-06,99,D4,6,0,8
wrong_chain,0,0,1,,3,-11.608202934265137,11,8.955022167356219e-06,69,D4,6,0,8
irrelevant,0,0,1,,3,-8.091833114624023,11,0.00020557855896186084,22,D4,6,0,8
reversed,0,0,1,,3,5.70944356918335,11,0.9864205121994019,1,D4,6,1,8
none,1,0,1,,3,-14.072530746459961,11,5.961648525953933e-07,122,D4,6,0,8
correct,1,0,1,20.04317331314087,3,5.970642566680908,11,0.9859676957130432,1,D4,6,1,8
shuffled,1,0,1,,3,-13.256657600402832,11,1.7260465483559528e-06,99,D4,6,0,8
wrong_chain,1,0,1,,3,-11.608202934265137,11,8.955022167356219e-06,69,D4,6,0,8
irrelevant,1,0,1,,3,-8.091833114624023,11,0.00020557855896186084,22,D4,6,0,8
reversed,1,0,1,,3,5.70944356918335,11,0.9864205121994019,1,D4,6,1,8
none,2,0,1,,3,-14.072530746459961,11,5.961648525953933e-07,122,D4,6,0,8
correct,2,0,1,20.04317331314087,3,5.970642566680908,11,0.9859676957130432,1,D4,6,1,8
shuffled,2,0,1,,3,-13.256657600402832,11,1.7260465483559528e-06,99,D4,6,0,8
wrong_chain,2,0,1,,3,-11.608202934265137,11,8.955022167356219e-06,69,D4,6,0,8
irrelevant,2,0,1,,3,-8.091833114624023,11,0.00020557855896186084,22,D4,6,0,8
reversed,2,0,1,,3,5.70944356918335,11,0.9864205121994019,1,D4,6,1,8
none,3,0,1,,3,-14.072530746459961,11,5.961648525953933e-07,122,D4,6,0,8
correct,3,0,1,20.04317331314087,3,5.970642566680908,11,0.9859676957130432,1,D4,6,1,8
shuffled,3,0,1,,3,-8.876728057861328,11,0.00013869231042917818,11,D4,6,0,8
wrong_chain,3,0,1,,3,-11.608202934265137,11,8.955022167356219e-06,69,D4,6,0,8
irrelevant,3,0,1,,3,-8.091833114624023,11,0.00020557855896186084,22,D4,6,0,8
reversed,3,0,1,,3,5.70944356918335,11,0.9864205121994019,1,D4,6,1,8
none,4,0,1,,3,-14.072530746459961,11,5.961648525953933e-07,122,D4,6,0,8
correct,4,0,1,20.04317331314087,3,5.970642566680908,11,0.9859676957130432,1,D4,6,1,8
shuffled,4,0,1,,3,-8.876728057861328,11,0.00013869231042917818,11,D4,6,0,8
wrong_chain,4,0,1,,3,-11.608202934265137,11,8.955022167356219e-06,69,D4,6,0,8
irrelevant,4,0,1,,3,-8.091833114624023,11,0.00020557855896186084,22,D4,6,0,8
reversed,4,0,1,,3,5.70944356918335,11,0.9864205121994019,1,D4,6,1,8
none,5,0,1,,3,-14.072530746459961,11,5.961648525953933e-07,122,D4,6,0,8
correct,5,0,1,20.04317331314087,3,5.970642566680908,11,0.9859676957130432,1,D4,6,1,8
shuffled,5,0,1,,3,-13.256657600402832,11,1.7260465483559528e-06,99,D4,6,0,8
wrong_chain,5,0,1,,3,-11.608202934265137,11,8.955022167356219e-06,69,D4,6,0,8
irrelevant,5,0,1,,3,-8.091833114624023,11,0.00020557855896186084,22,D4,6,0,8
reversed,5,0,1,,3,5.70944356918335,11,0.9864205121994019,1,D4,6,1,8
none,6,0,1,,3,-14.072530746459961,11,5.961648525953933e-07,122,D4,6,0,8
correct,6,0,1,20.04317331314087,3,5.970642566680908,11,0.9859676957130432,1,D4,6,1,8
