accuracy,branching,distractors,evaluation_axis,mean_margin,mean_target_probability,model_depth,model_seed,n,predicate,required_path,total_depth
0.6458333333333334,2,4,depth_path,1.0693774322668712,0.5117948690846484,6,11,48,parent,1,2
0.3333333333333333,2,4,depth_path,-1.6164963046709697,0.25649471803565876,6,11,48,grandparent,2,2
0.375,2,4,depth_path,-1.3456829289595287,0.2756551920865604,6,11,48,root,2,2
0.5625,2,4,depth_path,0.055056909720102944,0.36262702626603033,6,11,48,parent,1,3
0.2916666666666667,2,4,depth_path,-1.942194441954295,0.18857406015740708,6,11,48,grandparent,2,3
0.6458333333333334,2,4,depth_path,1.0429259538650513,0.5087462283166436,6,11,48,ancestor_k,1,2
1.0,2,4,depth_path,8.082356750965118,0.9858522762854894,6,11,48,isAncestor,1,2
1.0,2,4,depth_path,8.35474975903829,0.9958772075672945,6,11,48,isAncestor,2,2
0.16666666666666666,2,4,depth_path,-2.095517009496689,0.14860287591606416,6,11,48,root,3,3
0.3541666666666667,2,0,distractors,-1.134562278787295,0.20721291522075566,6,11,48,parent,1,8
0.14583333333333334,2,0,distractors,-2.5640698870023093,0.08102570760426413,6,11,48,grandparent,2,8
0.020833333333333332,2,0,distractors,-4.441341479619344,0.02235774723006519,6,11,48,root,8,8
0.3958333333333333,2,4,depth_path,-0.8385047515233358,0.26446276366004895,6,11,48,parent,1,4
0.16666666666666666,2,4,depth_path,-1.877406895160675,0.13039198121259687,6,11,48,grandparent,2,4
0.3333333333333333,2,4,depth_path,-1.5547995964686077,0.2555973510501038,6,11,48,ancestor_k,2,2
0.5208333333333334,2,4,depth_path,-0.015200833479563395,0.3545058709520769,6,11,48,ancestor_k,1,3
0.9791666666666666,2,4,depth_path,8.12202055255572,0.9787974773207679,6,11,48,isAncestor,1,3
0.9791666666666666,2,4,depth_path,8.399178425470987,0.9787157838388035,6,11,48,isAncestor,2,3
1.0,2,4,depth_path,8.024984041849772,0.9750524746874968,6,11,48,isAncestor,3,3
