depth,family,mask,model_seed,nuisance_distance,nuisance_type,predictive_span,realization,target_margin,target_probability,top1_correct
6,0:0,none,11,4,N1,2,0,12.333160400390625,0.9999845027923584,1
6,0:0,none,11,4,N1,2,1,12.433822631835938,0.9999845027923584,1
6,0:0,none,11,4,N1,2,2,11.678723335266113,0.9999780654907227,1
6,0:0,none,11,4,N1,2,3,12.015287399291992,0.9999778270721436,1
6,0:1,none,11,4,N1,2,0,13.399120330810547,0.9999982118606567,1
6,0:1,none,11,4,N1,2,1,13.552887916564941,0.9999984502792358,1
6,0:1,none,11,4,N1,2,2,13.207494735717773,0.9999978542327881,1
6,0:1,none,11,4,N1,2,3,13.21693229675293,0.9999979734420776,1
6,0:2,none,11,4,N1,2,0,11.26987361907959,0.9999840259552002,1
6,0:2,none,11,4,N1,2,1,11.87254524230957,0.9999891519546509,1
6,0:2,none,11,4,N1,2,2,12.144763946533203,0.9999926090240479,1
6,0:2,none,11,4,N1,2,3,11.28158950805664,0.9999834299087524,1
6,0:3,none,11,4,N1,2,0,14.081645965576172,0.9999979734420776,1
6,0:3,none,11,4,N1,2,1,14.944215774536133,0.9999992847442627,1
6,0:3,none,11,4,N1,2,2,14.339557647705078,0.9999979734420776,1
6,0:3,none,11,4,N1,2,3,14.902640342712402,0.9999990463256836,1
6,1:0,none,11,4,N1,2,0,12.46204948425293,0.9999921321868896,1
6,1:0,none,11,4,N1,2,1,12.830652236938477,0.9999949932098389,1
6,1:0,none,11,4,N1,2,2,12.206279754638672,0.9999920129776001,1
6,1:0,none,11,4,N1,2,3,12.782537460327148,0.9999947547912598,1
6,1:1,none,11,4,N1,2,0,12.184026718139648,0.9999903440475464,1
6,1:1,none,11,4,N1,2,1,12.467370986938477,0.9999926090240479,1
6,1:1,none,11,4,N1,2,2,7.261857509613037,0.9988995790481567,1
6,1:1,none,11,4,N1,2,3,12.141891479492188,0.9999904632568359,1
6,1:2,none,11,4,N1,2,0,14.194952011108398,0.9999986886978149,1
6,1:2,none,11,4,N1,2,1,13.519805908203125,0.9999961853027344,1
6,1:2,none,11,4,N1,2,2,14.016548156738281,0.9999990463256836,1
6,1:2,none,11,4,N1,2,3,13.947630882263184,0.9999982118606567,1
6,1:3,none,11,4,N1,2,0,13.028079986572266,0.9999961853027344,1
6,1:3,none,11,4,N1,2,1,11.722160339355469,0.9999905824661255,1
6,1:3,none,11,4,N1,2,2,12.684295654296875,0.9999957084655762,1
6,1:3,none,11,4,N1,2,3,10.123236656188965,0.9999449253082275,1
6,2:0,none,11,4,N1,2,0,12.716608047485352,0.9999935626983643,1
6,2:0,none,11,4,N1,2,1,12.93474006652832,0.9999945163726807,1
6,2:0,none,11,4,N1,2,2,12.93474006652832,0.9999945163726807,1
6,2:0,none,11,4,N1,2,3,13.256601333618164,0.9999958276748657,1
6,2:1,none,11,4,N1,2,0,10.977823257446289,0.9999709129333496,1
6,2:1,none,11,4,N1,2,1,11.481653213500977,0.9999802112579346,1
6,2:1,none,11,4,N1,2,2,11.00595474243164,0.9999722242355347,1
6,2:1,none,11,4,N1,2,3,12.140552520751953,0.999987006187439,1
6,2:2,none,11,4,N1,2,0,10.502128601074219,0.9999603033065796,1
6,2:2,none,11,4,N1,2,1,13.815285682678223,0.9999969005584717,1
6,2:2,none,11,4,N1,2,2,13.995285034179688,0.9999973773956299,1
6,2:2,none,11,4,N1,2,3,15.028129577636719,0.9999985694885254,1
6,2:3,none,11,4,N1,2,0,12.198188781738281,0.9999926090240479,1
6,2:3,none,11,4,N1,2,1,10.891164779663086,0.9999809265136719,1
6,2:3,none,11,4,N1,2,2,12.137858390808105,0.9999936819076538,1
6,2:3,none,11,4,N1,2,3,12.530122756958008,0.9999945163726807,1
6,3:0,none,11,4,N1,2,0,12.030173301696777,0.9999879598617554,1
6,3:0,none,11,4,N1,2,1,12.794151306152344,0.9999960660934448,1
6,3:0,none,11,4,N1,2,2,13.43347454071045,0.9999978542327881,1
6,3:0,none,11,4,N1,2,3,12.949575424194336,0.999996542930603,1
6,3:1,none,11,4,N1,2,0,12.156392097473145,0.9999862909317017,1
6,3:1,none,11,4,N1,2,1,13.17393970489502,0.9999942779541016,1
6,3:1,none,11,4,N1,2,2,13.128368377685547,0.9999936819076538,1
6,3:1,none,11,4,N1,2,3,12.563039779663086,0.9999891519546509,1
6,3:2,none,11,4,N1,2,0,15.18794059753418,0.9999990463256836,1
6,3:2,none,11,4,N1,2,1,16.378305435180664,0.9999996423721313,1
6,3:2,none,11,4,N1,2,2,14.622795104980469,0.9999990463256836,1
6,3:2,none,11,4,N1,2,3,14.112770080566406,0.9999983310699463,1
6,3:3,none,11,4,N1,2,0,4.260675430297852,0.9860127568244934,1
6,3:3,none,11,4,N1,2,1,12.316658020019531,0.9999926090240479,1
6,3:3,none,11,4,N1,2,2,13.008810043334961,0.9999946355819702,1
6,3:3,none,11,4,N1,2,3,8.752246856689453,0.9998051524162292,1
6,0:0,none,11,4,N2,2,0,11.760271072387695,0.9999783039093018,1
6,0:0,none,11,4,N2,2,1,12.710992813110352,0.999988317489624,1
6,0:0,none,11,4,N2,2,2,11.760271072387695,0.9999783039093018,1
6,0:0,none,11,4,N2,2,3,12.710992813110352,0.999988317489624,1
6,0:1,none,11,4,N2,2,0,13.477901458740234,0.9999983310699463,1
6,0:1,none,11,4,N2,2,1,13.477901458740234,0.9999983310699463,1
6,0:1,none,11,4,N2,2,2,13.477901458740234,0.9999983310699463,1
6,0:1,none,11,4,N2,2,3,13.280312538146973,0.9999980926513672,1
6,0:2,none,11,4,N2,2,0,11.007892608642578,0.9999802112579346,1
6,0:2,none,11,4,N2,2,1,11.106700897216797,0.9999815225601196,1
6,0:2,none,11,4,N2,2,2,11.962556838989258,0.9999905824661255,1
6,0:2,none,11,4,N2,2,3,12.10943603515625,0.9999926090240479,1
6,0:3,none,11,4,N2,2,0,14.512504577636719,0.9999988079071045,1
6,0:3,none,11,4,N2,2,1,14.01395034790039,0.999997615814209,1
6,0:3,none,11,4,N2,2,2,14.01395034790039,0.999997615814209,1
6,0:3,none,11,4,N2,2,3,14.581853866577148,0.9999986886978149,1
6,1:0,none,11,4,N2,2,0,12.449275970458984,0.9999935626983643,1
6,1:0,none,11,4,N2,2,1,12.206785202026367,0.9999922513961792,1
6,1:0,none,11,4,N2,2,2,12.449275970458984,0.9999935626983643,1
6,1:0,none,11,4,N2,2,3,12.525671005249023,0.9999940395355225,1
6,1:1,none,11,4,N2,2,0,12.973350524902344,0.9999942779541016,1
