actual_cumulative_variance,family,model_seed,nuisance_distance,nuisance_type,predictive_span,repair_fraction,summed_marginal_variance,summed_off_diagonal_covariance
0.11650717163585493,0:0,11,4,N1,2,0.9655733184658628,3.384211502358349,-3.2878616497782405
0.02715075119120532,0:1,11,4,N1,2,0.9430296060613477,0.47657650428821324,-0.42112550001502314
0.19143210388233456,0:2,11,4,N1,2,0.8782140526414179,1.5718735045734697,-1.459618655854721
0.18074824722399777,0:3,11,4,N1,2,0.9579097420832585,4.294301250934002,-4.0958881685728175
0.0856856382024489,1:0,11,4,N1,2,0.9390016267146832,1.4047200537899394,-1.2972418731104272
6.277320674160269,1:1,11,4,N1,2,0.5355763094148628,13.516366200551355,-12.926427985381299
0.081946216410491,1:2,11,4,N1,2,0.9564636726737087,1.8822491800084435,-1.3604298202379825
1.6919177555679046,1:3,11,4,N1,2,0.7226431105353927,6.100146849908356,5.339834850594533
0.04949543791978309,2:0,11,4,N1,2,0.92857402466664,0.69296131678675,-0.6425530388393478
0.2961937329879826,2:1,11,4,N1,2,0.9014263244019802,3.004795460766331,-1.5038157403882524
3.8528328737001325,2:2,11,4,N1,2,0.2514134652606217,5.146810281648337,-3.7846980907355214
0.5180359338612561,2:3,11,4,N1,2,0.9542117272821651,11.31372517704684,0.11722993375572699
0.3387721859368564,3:0,11,4,N1,2,0.7772754313465617,1.5210364441831719,-1.2927713102285832
0.23669793736250236,3:1,11,4,N1,2,0.8021858374542712,1.19656719375583,-1.1387651693704959
0.9472451669159151,3:2,11,4,N1,2,-0.2592472242870236,0.7522312923518559,-0.12832541149433985
16.075446674887644,3:3,11,4,N1,2,-0.4052597237510265,11.439484390812707,4.571408655220127
0.3012906094275725,0:0,11,4,N2,2,-0.4086277402454086,0.21388944773661933,0.07050330547220551
0.009760345385302571,0:1,11,4,N2,2,0.9752969719177539,0.3951072456707152,-0.3693076270869824
0.32450711994018394,0:2,11,4,N2,2,0.8133610356407742,1.7386890302048719,-1.503503167927799
0.09557923140861628,0:3,11,4,N2,2,0.9729234418548106,3.5299623717351096,-3.454487403195495
0.019247008644015295,1:0,11,4,N2,2,0.9844503632060105,1.2377786631939214,-1.210536687519531
7.904586320221881,1:1,11,4,N2,2,0.256206813857604,10.627398136326274,-10.023859862055511
0.13125893075956205,1:2,11,4,N2,2,0.9172202678703514,1.5856409217897178,-1.4701846600713298
0.5709224221024366,1:3,11,4,N2,2,0.2996172908537724,0.8151577910859562,-0.8099847753694953
0.7425042706754539,2:0,11,4,N2,2,0.7901766656059368,3.53871161574898,-2.9299474766500375
0.41435001470464766,2:1,11,4,N2,2,0.5869242272192461,1.0030847655753707,-0.6355670457622484
4.201674160936818,2:2,11,4,N2,2,0.27352949818162475,5.783681719243816,-4.497504217838923
0.7058846434582998,2:3,11,4,N2,2,0.9522668304086211,14.788136834428656,0.9181567728877535
0.007829657378276048,3:0,11,4,N2,2,0.9788743320542036,0.3706229501649432,-0.3634027194566443
0.30126311403364525,3:1,11,4,N2,2,0.8042310563278268,1.5388708156801838,-1.523726726617042
0.5233537309094723,3:2,11,4,N2,2,-0.4658957023264658,0.35701975937229236,-0.10453575099870704
0.05063142884076418,3:3,11,4,N2,2,0.4317722305079278,0.08910410852680191,-0.05710201858876947
0.05732453374632011,0:0,11,4,N3,2,0.7985862049135045,0.2846107622454686,-0.22889626761040438
0.013155194746711155,0:1,11,4,N3,2,0.9636270509512709,0.36167523092744125,-0.3344037924330602
0.04646763420919342,0:2,11,4,N3,2,0.9243459654685147,0.6142122425718715,-0.5763761588872662
0.0221655142167189,0:3,11,4,N3,2,0.9915118807316129,2.6113575358526755,-2.562075036936979
0.1332402932248442,1:0,11,4,N3,2,0.9113340675752503,1.502722517895184,-1.3828575959933005
7.876283274544524,1:1,11,4,N3,2,0.26143845496001206,10.664356041063684,-10.035938716041679
0.1278132910383647,1:2,11,4,N3,2,0.9130130481610451,1.4693386575379084,-1.3721140487748849
0.6805650844429086,1:3,11,4,N3,2,0.24762668640418617,0.9045577137635139,-0.9002996949928197
1.0638945151404187,2:0,11,4,N3,2,0.6652635518082034,3.1783049646593327,-2.3509175637344697
0.3141422385851911,2:1,11,4,N3,2,0.6203507227755294,0.8274538038945138,-0.5543458524157359
3.3577418063434834,2:2,11,4,N3,2,0.39670794130577536,5.565698666100521,-4.775598444658195
0.7250087977123864,2:3,11,4,N3,2,0.9337912942963542,10.950354488993788,1.907573955798286
0.08560444462242837,3:0,11,4,N3,2,0.9365087383581344,1.3482870305097474,-1.2843892776166967
0.18317837730463302,3:1,11,4,N3,2,0.8646044377204212,1.3529127116174398,-1.2638912517635008
2.0224847537825403,3:2,11,4,N3,2,-0.5734502408179958,1.2853820866499746,0.3321374573006701
