depth,ff_update_norm,layer,model_seed,n,nuisance_distance,nuisance_type,per_head_output_norm_mean,predictive_span,sa_nuisance_attention_mass,sa_signal_attention_mass,sa_update_norm,trained_window,window
2,2.05383238196373,0,11,64,4,N1,2.4561737179756165,2,0.0,0.7499599456787109,5.604148983955383,full,1
2,2.05383238196373,0,11,64,4,N2,2.4561737179756165,2,0.0,0.7499599456787109,5.604148983955383,full,1
2,3.9908383041620255,1,11,64,4,N1,3.4842077046632767,2,0.0,0.741972154006362,6.896282583475113,full,1
2,3.9908383041620255,1,11,64,4,N2,3.4842077046632767,2,0.0,0.741972154006362,6.896282583475113,full,1
2,2.05383238196373,0,11,64,4,N3,2.4561737179756165,2,0.0,0.7499599456787109,5.604148983955383,full,1
2,2.05383238196373,0,11,64,8,N1,2.4561737179756165,2,0.0,0.7499599456787109,5.604148983955383,full,1
2,3.9908383041620255,1,11,64,4,N3,3.4842077046632767,2,0.0,0.741972154006362,6.896282583475113,full,1
2,3.9908383041620255,1,11,64,8,N1,3.4842077046632767,2,0.0,0.741972154006362,6.896282583475113,full,1
2,2.05383238196373,0,11,64,8,N2,2.4561737179756165,2,0.0,0.7499599456787109,5.604148983955383,full,1
2,2.05383238196373,0,11,64,8,N3,2.4561737179756165,2,0.0,0.7499599456787109,5.604148983955383,full,1
2,3.9908383041620255,1,11,64,8,N2,3.4842077046632767,2,0.0,0.741972154006362,6.896282583475113,full,1
2,3.9908383041620255,1,11,64,8,N3,3.4842077046632767,2,0.0,0.741972154006362,6.896282583475113,full,1
2,2.05383238196373,0,11,64,16,N1,2.4561737179756165,2,0.0,0.7499599456787109,5.604148983955383,full,1
2,2.05383238196373,0,11,64,16,N2,2.4561737179756165,2,0.0,0.7499599456787109,5.604148983955383,full,1
2,3.9908383041620255,1,11,64,16,N1,3.4842077046632767,2,0.0,0.741972154006362,6.896282583475113,full,1
2,3.9908383041620255,1,11,64,16,N2,3.4842077046632767,2,0.0,0.741972154006362,6.896282583475113,full,1
2,2.05383238196373,0,11,64,16,N3,2.4561737179756165,2,0.0,0.7499599456787109,5.604148983955383,full,1
2,2.05383238196373,0,11,64,32,N1,2.4561737179756165,2,0.0,0.7499599456787109,5.604148983955383,full,1
2,3.9908383041620255,1,11,64,16,N3,3.4842077046632767,2,0.0,0.741972154006362,6.896282583475113,full,1
2,3.9908383041620255,1,11,64,32,N1,3.4842077046632767,2,0.0,0.741972154006362,6.896282583475113,full,1
2,2.05383238196373,0,11,64,32,N2,2.4561737179756165,2,0.0,0.7499599456787109,5.604148983955383,full,1
2,2.05383238196373,0,11,64,32,N3,2.4561737179756165,2,0.0,0.7499599456787109,5.604148983955383,full,1
2,3.9908383041620255,1,11,64,32,N2,3.4842077046632767,2,0.0,0.741972154006362,6.896282583475113,full,1
2,3.9908383041620255,1,11,64,32,N3,3.4842077046632767,2,0.0,0.741972154006362,6.896282583475113,full,1
