budget_tokens,condition,dataset,mean_answer_logprob,mean_answer_token_accuracy,mean_budget_violation,mean_complete_evidence,mean_end_to_end_time_ns,mean_evidence_recall,mean_materialization_time_ns,mean_materialized_kv_bytes,mean_peak_device_bytes,mean_selection_time_ns,n_examples
192,agreement,qasper,-3.1216639280319214,0.5199189521372318,0.0,0.125,2677772539.0,0.5677083333333333,1158037566.625,22020096.0,2837282304.0,64451.5,8
64,base_topk,qasper,-4.140933841466904,0.331716638058424,0.0,0.125,2769634708.875,0.359375,533787771.25,7340032.0,2843282944.0,54633.25,8
128,base_topk,qasper,-3.75018148124218,0.4061086066067219,0.0,0.125,2613595799.5,0.5572916666666666,971215164.75,14680064.0,2837272064.0,48924.625,8
192,base_topk,qasper,-3.1705185770988464,0.48208900168538094,0.0,0.625,2856889672.375,0.828125,1156047226.375,22020096.0,2837282304.0,52465.25,8
64,bridge_preserving,qasper,-3.5992411673069,0.4029836058616638,0.0,0.125,2369661451.5,0.38541666666666663,522344714.0,7340032.0,2840930816.0,52033.25,8
128,bridge_preserving,qasper,-3.7394817918539047,0.4061086066067219,0.0,0.125,2534465617.875,0.5416666666666666,972792406.875,14680064.0,2837272064.0,72551.625,8
192,bridge_preserving,qasper,-2.667703464627266,0.5590120851993561,0.0,0.75,2753623279.125,0.859375,1156371067.5,22020096.0,2837282304.0,79090.125,8
64,budget_tuned_topk,qasper,-4.140933841466904,0.331716638058424,0.0,0.125,2769634708.875,0.359375,533787771.25,7340032.0,2843282944.0,56867.25,8
128,budget_tuned_topk,qasper,-3.75018148124218,0.4061086066067219,0.0,0.125,2613595799.5,0.5572916666666666,971215164.75,14680064.0,2837272064.0,59301.75,8
192,budget_tuned_topk,qasper,-3.1705185770988464,0.48208900168538094,0.0,0.625,2856889672.375,0.828125,1156047226.375,22020096.0,2837282304.0,61524.0,8
64,combined_structural,qasper,-4.292942866683006,0.3161623366177082,0.0,0.125,2193171869.625,0.30729166666666663,529628859.125,7340032.0,2840931840.0,93872.125,8
128,combined_structural,qasper,-4.139161221683025,0.31965026818215847,0.0,0.125,2502108118.875,0.484375,972246693.0,14680064.0,2837272064.0,79809.0,8
192,combined_structural,qasper,-3.0015920996665955,0.4789640009403229,0.0,0.25,2712116044.375,0.6822916666666666,1190118328.25,22020096.0,2837282304.0,90217.875,8
64,community,qasper,-4.071848168969154,0.35254997201263905,0.0,0.0,2308698371.375,0.2552083333333333,541420083.375,7340032.0,2839612928.0,56989.0,8
128,community,qasper,-3.6667497158050537,0.41685521975159645,0.0,0.0,2509240695.125,0.453125,969141065.0,14680064.0,2837272064.0,55663.625,8
192,community,qasper,-3.583711251616478,0.40214933827519417,0.0,0.25,2715774897.75,0.6145833333333333,1155937448.0,22020096.0,2837282304.0,55036.0,8
64,entropy_adaptive_sharpen,qasper,-4.140933841466904,0.331716638058424,0.0,0.125,2769634708.875,0.359375,533787771.25,7340032.0,2843282944.0,106438.625,8
128,entropy_adaptive_sharpen,qasper,-3.75018148124218,0.4061086066067219,0.0,0.125,2613595799.5,0.5572916666666666,971215164.75,14680064.0,2837272064.0,113658.875,8
192,entropy_adaptive_sharpen,qasper,-3.1705185770988464,0.48208900168538094,0.0,0.625,2856889672.375,0.828125,1156047226.375,22020096.0,2837282304.0,117946.375,8
64,oracle_evidence,qasper,-2.97008915245533,0.5165252797305584,0.0,0.375,2363828439.25,0.65625,520925164.625,7340032.0,2839096832.0,43174.375,8
128,oracle_evidence,qasper,-2.4046903029084206,0.5652620866894722,0.0,0.75,2497143714.875,0.8541666666666666,973847262.375,14680064.0,2837272064.0,47438.375,8
192,oracle_evidence,qasper,-2.5820536613464355,0.5715120881795883,0.0,0.75,2785120288.5,0.90625,1156191106.375,22020096.0,2837282304.0,47668.875,8
64,persistence,qasper,-4.552724987268448,0.27656957507133484,0.0,0.125,2398040951.0,0.296875,560946227.125,7340032.0,2843290624.0,19954.125,8
128,persistence,qasper,-4.137720070779324,0.3404836021363735,0.0,0.125,2499693010.875,0.484375,969487640.25,14680064.0,2837272064.0,23459.625,8
192,persistence,qasper,-2.951436184346676,0.486316941678524,0.0,0.25,2711168667.375,0.640625,1189363215.875,22020096.0,2837282304.0,25148.0,8
64,power_sharpen,qasper,-4.140933841466904,0.331716638058424,0.0,0.125,2769634708.875,0.359375,533787771.25,7340032.0,2843282944.0,56506.625,8
128,power_sharpen,qasper,-3.75018148124218,0.4061086066067219,0.0,0.125,2613595799.5,0.5572916666666666,971215164.75,14680064.0,2837272064.0,63412.0,8
192,power_sharpen,qasper,-3.1705185770988464,0.48208900168538094,0.0,0.625,2856889672.375,0.828125,1156047226.375,22020096.0,2837282304.0,70043.75,8
