answer_logprob,answer_token_accuracy,budget_chunks,budget_tokens,budget_violation,complete_evidence,condition,dataset,end_to_end_time_ns,evidence_recall,example_id,identity_id,materialization_time_ns,materialized_kv_bytes,materialized_tokens,peak_device_bytes,pid,selection_time_ns
-1.779767394065857,0.6666666865348816,6,192,0,0.0,persistence,hotpotqa,3014159660,0.5,hotpotqa-5a7618d85542994ccc9186cf,5a7618d85542994ccc9186cf,1320283567,22020096,192,2829180928,27800,24587
-8.038775444030762,0.0,6,192,0,0.0,agreement,hotpotqa,3010561110,0.3333333333333333,hotpotqa-5a7618d85542994ccc9186cf,5a7618d85542994ccc9186cf,1312661619,22020096,192,2829180928,27800,72270
-7.378779411315918,0.0,6,192,0,0.0,community,hotpotqa,3021108431,0.6666666666666666,hotpotqa-5a7618d85542994ccc9186cf,5a7618d85542994ccc9186cf,1323248393,22020096,192,2829180928,27800,56394
-3.340564250946045,0.3333333432674408,6,192,0,0.0,bridge_preserving,hotpotqa,3015995490,0.5,hotpotqa-5a7618d85542994ccc9186cf,5a7618d85542994ccc9186cf,1323175085,22020096,192,2829180928,27800,79120
-1.3645169734954834,0.6666666865348816,6,192,0,0.0,combined_structural,hotpotqa,3015938918,0.6666666666666666,hotpotqa-5a7618d85542994ccc9186cf,5a7618d85542994ccc9186cf,1325414306,22020096,192,2829180928,27800,122933
-2.228034496307373,0.3333333432674408,6,192,0,1.0,oracle_evidence,hotpotqa,3010843313,1.0,hotpotqa-5a7618d85542994ccc9186cf,5a7618d85542994ccc9186cf,1314867629,22020096,192,2829180928,27800,67418
-6.876288414001465,0.0,2,64,0,0.0,base_topk,hotpotqa,1960173121,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,550841157,7340032,64,2829402112,27800,57496
-6.876288414001465,0.0,2,64,0,0.0,budget_tuned_topk,hotpotqa,1960173121,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,550841157,7340032,64,2829402112,27800,43511
-6.876288414001465,0.0,2,64,0,0.0,power_sharpen,hotpotqa,1960173121,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,550841157,7340032,64,2829402112,27800,43957
-6.876288414001465,0.0,2,64,0,0.0,entropy_adaptive_sharpen,hotpotqa,1960173121,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,550841157,7340032,64,2829402112,27800,86411
-5.36351203918457,0.0,2,64,0,0.0,persistence,hotpotqa,1149274387,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,573714604,7340032,64,2829410304,27800,17029
-6.425168514251709,0.0,2,64,0,0.0,agreement,hotpotqa,1126596337,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,553046351,7340032,64,2829410304,27800,58199
-6.876288414001465,0.0,2,64,0,0.0,community,hotpotqa,1960173121,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,550841157,7340032,64,2829402112,27800,58180
-5.437481880187988,0.0,2,64,0,0.0,bridge_preserving,hotpotqa,1130308083,0.3333333333333333,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,556898369,7340032,64,2829410304,27800,42651
-5.352846622467041,0.0,2,64,0,0.0,combined_structural,hotpotqa,1125683537,0.3333333333333333,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,551427046,7340032,64,2829410304,27800,100936
-4.300366401672363,0.0,2,64,0,0.0,oracle_evidence,hotpotqa,1125217732,0.6666666666666666,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,551304219,7340032,64,2829410304,27800,79430
-5.998233795166016,0.0,4,128,0,0.0,base_topk,hotpotqa,1766421561,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,975137473,14680064,128,2829426688,27800,44741
-5.998233795166016,0.0,4,128,0,0.0,budget_tuned_topk,hotpotqa,1766421561,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,975137473,14680064,128,2829426688,27800,67190
-5.998233795166016,0.0,4,128,0,0.0,power_sharpen,hotpotqa,1766421561,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,975137473,14680064,128,2829426688,27800,73906
-5.998233795166016,0.0,4,128,0,0.0,entropy_adaptive_sharpen,hotpotqa,1766421561,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,975137473,14680064,128,2829426688,27800,137484
-5.177459716796875,0.0,4,128,0,0.0,persistence,hotpotqa,1614674926,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,988303935,14680064,128,2829426688,27800,29998
-5.493420124053955,0.0,4,128,0,0.0,agreement,hotpotqa,1608977520,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,984136728,14680064,128,2829426688,27800,55648
-5.794823169708252,0.0,4,128,0,0.0,community,hotpotqa,1601638304,0.0,hotpotqa-5a8563c05542997b5ce3fff4,5a8563c05542997b5ce3fff4,977372533,14680064,128,2829426688,27800,68072
