coefficient,descriptive_r2,n_cells,outcome,term
4.1912449378281603e-05,0.17087074075088604,432,mean_js_dispersion,intercept
-0.0003992241466309189,0.17087074075088604,432,mean_js_dispersion,mapping_syntax
-0.0005042665547849326,0.17087074075088604,432,mean_js_dispersion,color_semantics
0.0003553918399308312,0.17087074075088604,432,mean_js_dispersion,syntax_x_semantics
-0.0005408688629237905,0.17087074075088604,432,mean_js_dispersion,evidence
0.0004767061924612198,0.17087074075088604,432,mean_js_dispersion,noise
0.00012430814164515083,0.17087074075088604,432,mean_js_dispersion,depth
0.0009829582644472232,0.17087074075088604,432,mean_js_dispersion,model_checkpoint_index
-0.11587653377368544,0.5146145719449094,432,mean_target_probability,intercept
0.0143744817424762,0.5146145719449094,432,mean_target_probability,mapping_syntax
0.0002561175870929755,0.5146145719449094,432,mean_target_probability,color_semantics
0.050405302592844446,0.5146145719449094,432,mean_target_probability,syntax_x_semantics
0.02285008927760155,0.5146145719449094,432,mean_target_probability,evidence
0.0021452835742090063,0.5146145719449094,432,mean_target_probability,noise
0.024424131424515327,0.5146145719449094,432,mean_target_probability,depth
0.009520819063394999,0.5146145719449094,432,mean_target_probability,model_checkpoint_index
324184274160.2563,0.5259742700876481,432,snr_js_ratio,intercept
-26265833107.057858,0.5259742700876481,432,snr_js_ratio,mapping_syntax
100537825.20384407,0.5259742700876481,432,snr_js_ratio,color_semantics
-6089512425.177709,0.5259742700876481,432,snr_js_ratio,syntax_x_semantics
-1730144584.1531982,0.5259742700876481,432,snr_js_ratio,evidence
-121701258153.79102,0.5259742700876481,432,snr_js_ratio,noise
-3282926356.696289,0.5259742700876481,432,snr_js_ratio,depth
78607429512.39877,0.5259742700876481,432,snr_js_ratio,model_checkpoint_index
