between_family_js,evidence,family,layer,mean_entropy_bits,mean_js_dispersion,mean_target_probability,model_id,n,noise,residual_effective_rank,residual_total_variance,revision,semantic,snr_js_ratio,syntax,target_probability_variance
0.10759975434782533,1,alternation:color,0,15.331556658635034,0.0,2.178439250742116e-05,EleutherAI/pythia-70m-deduped,4,0,0.0,0.0,step0,color,107599754347.82533,alternation,0.0
0.09064811026852393,1,alternation:color,3,15.331371169835133,0.0,1.932466082403661e-05,EleutherAI/pythia-70m-deduped,4,0,0.0,0.0,step0,color,90648110268.52393,alternation,0.0
0.0830353972692525,1,alternation:color,5,15.33223551518297,0.0,1.528423909128153e-05,EleutherAI/pythia-70m-deduped,4,0,0.0,0.0,step0,color,83035397269.2525,alternation,0.0
0.10377691188347393,1,alternation:color,0,15.331036156466688,0.00025283401609382827,2.3801027528692604e-05,EleutherAI/pythia-70m-deduped,4,2,2.61174302206225,0.18667471296141916,step0,color,410.45470655721294,alternation,1.5146219675358199e-13
0.07483959037942553,1,alternation:color,3,15.331769968896324,0.00046150132387340597,2.5016756908418543e-05,EleutherAI/pythia-70m-deduped,4,2,2.816737041943647,1.5323742194674532,step0,color,162.165494459025,alternation,3.321425399866515e-12
0.06422113937813985,1,alternation:color,5,15.332633931112825,0.0004476178129532144,1.718958897400007e-05,EleutherAI/pythia-70m-deduped,4,2,2.8951072335230723,4.212930794263992,step0,color,143.47315392663413,alternation,2.134952326295006e-12
0.10766424279679482,1,alternation:color,0,15.331057090668384,0.00011447376262486078,2.2992228238981425e-05,EleutherAI/pythia-70m-deduped,4,4,2.658122181009216,0.0794440117669647,step0,color,940.5145801804273,alternation,8.466921727255701e-14
0.08123219170711593,1,alternation:color,3,15.331201679412118,0.00021858358165077654,2.1292267702937853e-05,EleutherAI/pythia-70m-deduped,4,4,2.8378605342382976,0.6519573716999885,step0,color,371.6298868086891,alternation,1.3053354623587785e-12
0.06823179359564908,1,alternation:color,5,15.332018168085131,0.000219602937871661,9.665144063772184e-06,EleutherAI/pythia-70m-deduped,4,4,2.8792989563276516,2.0628130984567896,step0,color,310.70528589888306,alternation,4.648621230512597e-13
0.10848359071948854,2,alternation:color,0,15.33171523302294,0.0,2.4676514161028436e-05,EleutherAI/pythia-70m-deduped,4,0,0.0,0.0,step0,color,108483590719.48854,alternation,0.0
0.08969642775469806,2,alternation:color,3,15.331920061783372,0.0,1.8534618521998873e-05,EleutherAI/pythia-70m-deduped,4,0,0.0,0.0,step0,color,89696427754.69806,alternation,0.0
0.08275194806916071,2,alternation:color,5,15.332633714830791,0.0,1.5047230184491981e-05,EleutherAI/pythia-70m-deduped,4,0,0.0,0.0,step0,color,82751948069.1607,alternation,0.0
0.10511089483251412,2,alternation:color,0,15.331354649095685,0.00018097536739196325,2.5505972188332266e-05,EleutherAI/pythia-70m-deduped,4,2,2.7135355321839647,0.13503587200465555,step0,color,580.8022182646603,alternation,7.343200049795143e-14
0.07738244261498158,2,alternation:color,3,15.331590252588194,0.0003594168860970721,2.45423362730928e-05,EleutherAI/pythia-70m-deduped,4,2,2.875230121910917,1.185413342989221,step0,color,215.2999639368139,alternation,1.9983551852458125e-12
0.06681297262849324,2,alternation:color,5,15.332608642625203,0.00035529005697559744,1.707303832407654e-05,EleutherAI/pythia-70m-deduped,4,2,2.9356230591973436,3.345725568165649,step0,color,188.05190665125252,alternation,1.6844104332207373e-12
0.10823750693689586,2,alternation:color,0,15.331192797673843,9.313749915701947e-05,2.3607024192479315e-05,EleutherAI/pythia-70m-deduped,4,4,2.713854600929399,0.06510371453309739,step0,color,1162.1259741408717,alternation,5.827270351780023e-14
0.08244238227456809,2,alternation:color,3,15.331147524810659,0.00017921906276079577,2.058837187621433e-05,EleutherAI/pythia-70m-deduped,4,4,2.8717676101691114,0.5329512072620777,step0,color,460.0090024162451,alternation,8.405818251818214e-13
0.06943568619337878,2,alternation:color,5,15.33200750331197,0.00017952782660766875,9.87823506068326e-06,EleutherAI/pythia-70m-deduped,4,4,2.8996376521945084,1.6869001267023718,step0,color,386.7683773898745,alternation,3.765147767327221e-13
0.10905906117453319,4,alternation:color,0,15.331747547561818,0.0,2.641113746584869e-05,EleutherAI/pythia-70m-deduped,4,0,0.0,0.0,step0,color,109059061174.53319,alternation,0.0
0.08935623534337578,4,alternation:color,3,15.33237102068666,0.0,1.8378848912360362e-05,EleutherAI/pythia-70m-deduped,4,0,0.0,0.0,step0,color,89356235343.37578,alternation,0.0
0.08296519255943649,4,alternation:color,5,15.332652262954733,0.0,1.5293418794749446e-05,EleutherAI/pythia-70m-deduped,4,0,0.0,0.0,step0,color,82965192559.4365,alternation,0.0
0.10658368884108839,4,alternation:color,0,15.331585244845533,0.00010867921202006594,2.624790040608546e-05,EleutherAI/pythia-70m-deduped,4,2,2.701511750313138,0.08280211400830054,step0,color,980.7182704030772,alternation,8.426698287159504e-14
0.0807082059749431,4,alternation:color,3,15.331443929624076,0.00024355783513037735,2.3528448956678707e-05,EleutherAI/pythia-70m-deduped,4,2,2.8852877496595832,0.8103208895974126,step0,color,331.3718317940366,alternation,1.3276242646206768e-12
0.07085260123488357,4,alternation:color,5,15.33272892685362,0.00025140151256335445,1.6760086147344936e-05,EleutherAI/pythia-70m-deduped,4,2,2.945039024454817,2.372511053281545,step0,color,281.83044927793884,alternation,1.1712438979830956e-12
0.1087824636879422,4,alternation:color,0,15.331625890914482,6.322576950905188e-05,2.50532750063371e-05,EleutherAI/pythia-70m-deduped,4,4,2.7300119529344538,0.04498777196966232,step0,color,1720.5399717969124,alternation,6.029351674718343e-14
0.08452982027232327,4,alternation:color,3,15.331143530149483,0.0001335172464049727,1.9934781176921844e-05,EleutherAI/pythia-70m-deduped,4,4,2.876229321970198,0.4026186254460673,step0,color,633.100386267216,alternation,5.753674883524423e-13
0.07197217408623216,4,alternation:color,5,15.332066113303837,0.00013582237650061298,1.0178244868318103e-05,EleutherAI/pythia-70m-deduped,4,4,2.922979478435469,1.2774898066245388,step0,color,529.8992400262364,alternation,2.8358189811709517e-13
0.10665607683481133,1,alternation:number,0,15.329783260470924,0.0,7.916851820345588e-06,EleutherAI/pythia-70m-deduped,4,0,0.0,0.0,step0,number,106656076834.81134,alternation,0.0
0.0868008393890554,1,alternation:number,3,15.337272729675618,0.0,9.593447702475129e-06,EleutherAI/pythia-70m-deduped,4,0,0.0,0.0,step0,number,86800839389.0554,alternation,0.0
0.08537926491463899,1,alternation:number,5,15.335718671653924,0.0,1.9044619564553066e-05,EleutherAI/pythia-70m-deduped,4,0,0.0,0.0,step0,number,85379264914.63899,alternation,0.0
