axis,cell_id,dependency_span,example_index,family_id,final_margin,final_rank,first_top1_layer,first_top1_location,first_top1_stage,generator_family,head_count,model_depth,model_seed,model_width,nuisance_count,parameter_count,predictive_order,raw_length,requested_dependency_span,stable_top1_layer,stable_top1_location,stable_top1_stage,top1_correct,training_budget,training_steps
predictive_order,3c1c7bde239d,1,30,"p1:(2,):14",-0.04512786865234375,3,,,,necessary_pattern,4,2,11,64,0,85504,1,12,4,,,,0,1,400
predictive_order,3c1c7bde239d,1,31,"p1:(3,):15",0.006244659423828125,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,1,12,4,2,post_ff,4,1,1,400
predictive_order,f306bd7c1d91,4,32,"p2:(1, 1):0",-0.330169677734375,3,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,33,"p2:(2, 0):1",-0.045330047607421875,3,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,34,"p2:(0, 0):2",-0.3762340545654297,4,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,35,"p2:(1, 0):3",0.09644699096679688,1,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,2,12,4,1,post_ff,2,1,1,400
predictive_order,f306bd7c1d91,4,36,"p2:(3, 3):4",-0.04662322998046875,3,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,37,"p2:(3, 3):5",-0.04662322998046875,3,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,38,"p2:(3, 2):6",-0.008164405822753906,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,39,"p2:(3, 2):7",-0.008164405822753906,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,40,"p2:(2, 0):8",-0.045330047607421875,3,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,41,"p2:(1, 3):9",-0.5848398208618164,4,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,42,"p2:(0, 1):10",-0.0055675506591796875,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,43,"p2:(0, 2):11",-0.04761314392089844,3,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,44,"p2:(3, 0):12",0.0068912506103515625,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,2,12,4,2,post_ff,4,1,1,400
