loss,seed,step
34.62926483154297,11,1
1.9588642120361328,11,50
0.783955991268158,11,100
0.8599479794502258,11,150
0.8458952307701111,11,200
0.7816582322120667,11,250
0.8680235743522644,11,300
0.8693051934242249,11,350
0.7739933729171753,11,400
0.33599308133125305,11,450
0.03155288100242615,11,500
0.10401128232479095,11,550
0.0025654458440840244,11,600
0.0030757535714656115,11,650
0.10191760212182999,11,700
0.0007642669370397925,11,750
0.0003052960382774472,11,800
0.0018198953475803137,11,850
0.00032008267589844763,11,900
0.00031370780197903514,11,950
0.00011465790157672018,11,1000
0.00015858406550250947,11,1050
0.00010406534420326352,11,1100
4.566439747577533e-05,11,1150
4.1458213672740385e-05,11,1200
4.574036574922502e-05,11,1250
3.5975652281194925e-05,11,1300
3.1381830922327936e-05,11,1350
3.1711570045445114e-05,11,1400
3.382450813660398e-05,11,1450
2.1428786567412317e-05,11,1500
2.891091935453005e-05,11,1550
7.0082453021314e-05,11,1600
2.1452167857205495e-05,11,1650
2.53670550591778e-05,11,1700
2.6204737878288142e-05,11,1750
2.7532270905794576e-05,11,1800
2.3086273358785547e-05,11,1850
2.058937752735801e-05,11,1900
1.5976203940226696e-05,11,1950
1.4450062735704705e-05,11,2000
37.85546112060547,23,1
3.5189664363861084,23,50
0.8593848347663879,23,100
0.8493384122848511,23,150
0.8754522800445557,23,200
0.799095869064331,23,250
0.7555524110794067,23,300
0.8340153694152832,23,350
0.8105443716049194,23,400
0.7979077100753784,23,450
0.7416080236434937,23,500
0.754130482673645,23,550
0.6863566637039185,23,600
0.4172499179840088,23,650
0.3574943244457245,23,700
0.17183426022529602,23,750
0.11250153183937073,23,800
0.2071942836046219,23,850
0.09079262614250183,23,900
0.004087131470441818,23,950
0.09552467614412308,23,1000
0.013190783560276031,23,1050
0.014009936712682247,23,1100
0.0015310870949178934,23,1150
0.00850547943264246,23,1200
0.023023560643196106,23,1250
0.0022991567384451628,23,1300
0.0032368432730436325,23,1350
0.000457107147667557,23,1400
0.05559936910867691,23,1450
0.00013912530266679823,23,1500
0.029743002727627754,23,1550
0.014618971385061741,23,1600
0.00017122243298217654,23,1650
0.00019035988952964544,23,1700
0.00025134690804407,23,1750
0.0013553481549024582,23,1800
0.0002597516286186874,23,1850
0.002135967370122671,23,1900
0.00013239917461760342,23,1950
0.00014587827899958938,23,2000
50.66766357421875,37,1
2.8247148990631104,37,50
0.8032464981079102,37,100
0.8408523797988892,37,150
0.8433812856674194,37,200
0.6333005428314209,37,250
0.2004999816417694,37,300
0.22312113642692566,37,350
0.15188062191009521,37,400
0.10474073886871338,37,450
0.10102344304323196,37,500
0.09676796942949295,37,550
0.08714249730110168,37,600
0.038421452045440674,37,650
0.06160053610801697,37,700
0.08894327282905579,37,750
0.1898532658815384,37,800
0.008165694773197174,37,850
0.02695242129266262,37,900
0.07375960052013397,37,950
0.010392160154879093,37,1000
0.0009781859116628766,37,1050
0.001374085433781147,37,1100
0.014949473552405834,37,1150
0.0014163581654429436,37,1200
0.0010377562139183283,37,1250
0.00015010904462542385,37,1300
0.01587577909231186,37,1350
0.00021061058214399964,37,1400
7.960532093420625e-05,37,1450
0.0010969461873173714,37,1500
0.0002323959779459983,37,1550
0.00014840569929219782,37,1600
0.003068409161642194,37,1650
0.1919296234846115,37,1700
0.07298631221055984,37,1750
0.0001289235078729689,37,1800
0.008634942583739758,37,1850
0.0005717068561352789,37,1900
0.15286627411842346,37,1950
7.013487629592419e-05,37,2000
