condition,depth,execution_error,final_error,invalid_call_rate,machine,stage,termination_error
narrow,6,0.9800347222222222,1.0,0.8541666666666666,M4,C,1.0
narrow,8,0.9811197916666666,1.0,0.8854166666666666,M4,C,1.0
one_head,1,0.6666666666666667,0.6666666666666667,0.6666666666666666,M3,C,
one_head,2,0.8307291666666666,0.6666666666666667,0.6614583333333334,M3,C,
one_head,3,0.8854166666666667,0.6666666666666667,0.65625,M3,C,
one_head,4,0.9518229166666666,0.9947916666666666,0.8072916666666666,M3,C,
one_head,6,0.9887152777777778,0.984375,0.9322916666666666,M3,C,
one_head,8,0.9622395833333334,0.9947916666666666,0.6979166666666666,M3,C,
one_head,1,0.34895833333333337,0.34895833333333337,0.3489583333333333,M4,C,0.34895833333333337
one_head,2,0.5,0.6666666666666667,0.6666666666666666,M4,C,0.6666666666666667
one_head,3,0.5590277777777779,0.6666666666666667,0.6666666666666666,M4,C,0.6666666666666667
one_head,4,0.93359375,1.0,0.7708333333333334,M4,C,1.0
one_head,6,0.9505208333333334,1.0,0.96875,M4,C,1.0
one_head,8,0.9459635416666666,1.0,0.8489583333333334,M4,C,1.0
wide,1,0.0,0.0,0.0,M3,C,
wide,2,0.5026041666666667,0.0,0.005208333333333333,M3,C,
wide,3,0.6666666666666667,0.0,0.0,M3,C,
wide,4,0.9466145833333334,0.984375,0.7864583333333334,M3,C,
wide,6,0.9444444444444444,0.9947916666666666,0.6666666666666666,M3,C,
wide,8,0.9674479166666666,0.9947916666666666,0.7395833333333334,M3,C,
wide,1,0.00520833333333337,0.00520833333333337,0.005208333333333333,M4,C,0.00520833333333337
wide,2,0.0,0.0,0.0,M4,C,0.0
wide,3,0.00520833333333337,0.00520833333333337,0.005208333333333333,M4,C,0.00520833333333337
wide,4,1.0,1.0,1.0,M4,C,1.0
wide,6,0.9262152777777778,1.0,0.890625,M4,C,1.0
wide,8,0.9446614583333334,1.0,0.9479166666666666,M4,C,1.0
diversity_24k,1,0.0,0.0,0.0,M3,D,
diversity_24k,2,0.5,0.00520833333333337,0.0,M3,D,
diversity_24k,3,0.6666666666666667,0.01041666666666663,0.0,M3,D,
diversity_24k,4,0.9440104166666666,0.9791666666666666,0.7760416666666666,M3,D,
diversity_24k,6,0.9522569444444444,0.9947916666666666,0.7135416666666666,M3,D,
diversity_24k,8,0.9674479166666666,0.9947916666666666,0.7395833333333334,M3,D,
diversity_24k,1,0.0,0.0,0.0,M4,D,0.0
diversity_24k,2,0.0026041666666666297,0.00520833333333337,0.005208333333333333,M4,D,0.00520833333333337
