loss,step
23.24126625061035,1
1.933088779449463,50
1.8124703168869019,100
2.0498414039611816,150
1.6632639169692993,200
1.5515869855880737,250
1.4924956560134888,300
1.0804935693740845,350
1.0893948078155518,400
1.0567219257354736,450
0.7968820929527283,500
1.0034984350204468,550
0.7560137510299683,600
0.8455120325088501,650
0.797677755355835,700
0.827120304107666,750
0.8705573081970215,800
0.9100525379180908,850
0.8333544731140137,900
0.6697357892990112,950
0.7643461227416992,1000
0.6188428997993469,1050
0.8375049829483032,1100
0.7839081883430481,1150
0.8168157339096069,1200
0.7851902842521667,1250
0.7516814470291138,1300
0.7541466355323792,1350
0.7895509004592896,1400
0.5331994295120239,1450
0.6739503741264343,1500
0.7417826056480408,1550
0.6418578028678894,1600
0.5829684734344482,1650
0.6493029594421387,1700
0.6909710168838501,1750
0.5494255423545837,1800
0.6199662089347839,1850
0.5830650925636292,1900
0.6405528783798218,1950
0.5726696848869324,2000
0.45857882499694824,2050
0.5356676578521729,2100
0.47883355617523193,2150
0.4183844029903412,2200
0.45869749784469604,2250
0.47682398557662964,2300
0.29846346378326416,2350
0.4394072890281677,2400
0.5828620195388794,2450
0.4879167377948761,2500
0.3373456597328186,2550
0.41028305888175964,2600
0.47332870960235596,2650
0.5464515089988708,2700
0.6640832424163818,2750
0.27539724111557007,2800
0.13712464272975922,2850
0.23322133719921112,2900
0.23611308634281158,2950
0.11531651765108109,3000
0.07543390989303589,3050
0.331652969121933,3100
0.15989625453948975,3150
0.0780520886182785,3200
