architecture,candidate_chain_first,example_id,heads,layers,model_seed,position_mode,positive,required_path,split,target_margin,template_id,top1_correct,total_depth,tree_seed,width
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10000,4,4,37,aligned,0,1,validation,-0.037021636962890625,0,0,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10001,4,4,37,aligned,1,1,validation,0.07632255554199219,0,1,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10002,4,4,37,aligned,0,1,validation,-0.060577392578125,0,0,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10003,4,4,37,aligned,1,1,validation,0.014055252075195312,0,1,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10004,4,4,37,aligned,0,1,validation,-0.008350372314453125,0,0,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10005,4,4,37,aligned,1,1,validation,-0.04628562927246094,0,0,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10006,4,4,37,aligned,0,1,validation,-0.05536842346191406,0,0,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10007,4,4,37,aligned,1,1,validation,0.03725433349609375,0,1,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10008,4,4,37,aligned,0,1,validation,0.01434326171875,0,1,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10009,4,4,37,aligned,1,1,validation,0.07976913452148438,0,1,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10010,4,4,37,aligned,0,1,validation,-0.0691070556640625,0,0,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10011,4,4,37,aligned,1,1,validation,-0.0065860748291015625,0,0,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10012,4,4,37,aligned,0,1,validation,-0.08304214477539062,0,0,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10013,4,4,37,aligned,1,1,validation,-0.06995010375976562,0,0,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10014,4,4,37,aligned,0,1,validation,-0.007898330688476562,0,0,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10015,4,4,37,aligned,1,1,validation,0.03161811828613281,0,1,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree211:i10000,4,4,37,aligned,0,1,validation,0.15926170349121094,0,1,3,211,64
L4_W64_H4,0,validation:d1:t0:paligned:tree211:i10001,4,4,37,aligned,1,1,validation,-0.02701568603515625,0,0,3,211,64
L4_W64_H4,1,validation:d1:t0:paligned:tree211:i10002,4,4,37,aligned,0,1,validation,0.12209320068359375,0,1,3,211,64
L4_W64_H4,1,validation:d1:t0:paligned:tree211:i10003,4,4,37,aligned,1,1,validation,0.027395248413085938,0,1,3,211,64
L4_W64_H4,0,validation:d1:t0:paligned:tree211:i10004,4,4,37,aligned,0,1,validation,0.093719482421875,0,1,3,211,64
L4_W64_H4,0,validation:d1:t0:paligned:tree211:i10005,4,4,37,aligned,1,1,validation,0.0444488525390625,0,1,3,211,64
L4_W64_H4,1,validation:d1:t0:paligned:tree211:i10006,4,4,37,aligned,0,1,validation,0.04098701477050781,0,1,3,211,64
L4_W64_H4,1,validation:d1:t0:paligned:tree211:i10007,4,4,37,aligned,1,1,validation,0.028566360473632812,0,1,3,211,64
L4_W64_H4,0,validation:d1:t0:paligned:tree211:i10008,4,4,37,aligned,0,1,validation,-0.12215805053710938,0,0,3,211,64
L4_W64_H4,0,validation:d1:t0:paligned:tree211:i10009,4,4,37,aligned,1,1,validation,0.051799774169921875,0,1,3,211,64
L4_W64_H4,1,validation:d1:t0:paligned:tree211:i10010,4,4,37,aligned,0,1,validation,0.0991973876953125,0,1,3,211,64
L4_W64_H4,1,validation:d1:t0:paligned:tree211:i10011,4,4,37,aligned,1,1,validation,-0.035350799560546875,0,0,3,211,64
L4_W64_H4,0,validation:d1:t0:paligned:tree211:i10012,4,4,37,aligned,0,1,validation,0.1529102325439453,0,1,3,211,64
L4_W64_H4,0,validation:d1:t0:paligned:tree211:i10013,4,4,37,aligned,1,1,validation,0.11215591430664062,0,1,3,211,64
L4_W64_H4,1,validation:d1:t0:paligned:tree211:i10014,4,4,37,aligned,0,1,validation,0.03684806823730469,0,1,3,211,64
L4_W64_H4,1,validation:d1:t0:paligned:tree211:i10015,4,4,37,aligned,1,1,validation,-0.018957138061523438,0,0,3,211,64
L4_W64_H4,0,validation:d1:t0:paligned:tree307:i10000,4,4,37,aligned,0,1,validation,0.06676864624023438,0,1,3,307,64
L4_W64_H4,0,validation:d1:t0:paligned:tree307:i10001,4,4,37,aligned,1,1,validation,-0.004650115966796875,0,0,3,307,64
L4_W64_H4,1,validation:d1:t0:paligned:tree307:i10002,4,4,37,aligned,0,1,validation,-0.00626373291015625,0,0,3,307,64
L4_W64_H4,1,validation:d1:t0:paligned:tree307:i10003,4,4,37,aligned,1,1,validation,0.026462554931640625,0,1,3,307,64
L4_W64_H4,0,validation:d1:t0:paligned:tree307:i10004,4,4,37,aligned,0,1,validation,0.042510986328125,0,1,3,307,64
L4_W64_H4,0,validation:d1:t0:paligned:tree307:i10005,4,4,37,aligned,1,1,validation,-0.015453338623046875,0,0,3,307,64
L4_W64_H4,1,validation:d1:t0:paligned:tree307:i10006,4,4,37,aligned,0,1,validation,-0.054851531982421875,0,0,3,307,64
L4_W64_H4,1,validation:d1:t0:paligned:tree307:i10007,4,4,37,aligned,1,1,validation,0.00592041015625,0,1,3,307,64
L4_W64_H4,0,validation:d1:t0:paligned:tree307:i10008,4,4,37,aligned,0,1,validation,0.050518035888671875,0,1,3,307,64
L4_W64_H4,0,validation:d1:t0:paligned:tree307:i10009,4,4,37,aligned,1,1,validation,-0.019214630126953125,0,0,3,307,64
L4_W64_H4,1,validation:d1:t0:paligned:tree307:i10010,4,4,37,aligned,0,1,validation,0.07705879211425781,0,1,3,307,64
L4_W64_H4,1,validation:d1:t0:paligned:tree307:i10011,4,4,37,aligned,1,1,validation,-0.028627395629882812,0,0,3,307,64
L4_W64_H4,0,validation:d1:t0:paligned:tree307:i10012,4,4,37,aligned,0,1,validation,0.03929328918457031,0,1,3,307,64
L4_W64_H4,0,validation:d1:t0:paligned:tree307:i10013,4,4,37,aligned,1,1,validation,-0.030534744262695312,0,0,3,307,64
L4_W64_H4,1,validation:d1:t0:paligned:tree307:i10014,4,4,37,aligned,0,1,validation,-0.03943443298339844,0,0,3,307,64
L4_W64_H4,1,validation:d1:t0:paligned:tree307:i10015,4,4,37,aligned,1,1,validation,-0.03490638732910156,0,0,3,307,64
L4_W64_H4,1,validation:d1:t0:prandomized:tree101:i10007,4,4,37,randomized,1,1,validation,0.03725433349609375,0,1,3,101,64
L4_W64_H4,1,validation:d1:t0:prandomized:tree101:i10010,4,4,37,randomized,0,1,validation,-0.0691070556640625,0,0,3,101,64
L4_W64_H4,0,validation:d1:t0:prandomized:tree307:i10000,4,4,37,randomized,0,1,validation,0.06676864624023438,0,1,3,307,64
L4_W64_H4,1,validation:d1:t0:prandomized:tree307:i10011,4,4,37,randomized,1,1,validation,-0.02862548828125,0,0,3,307,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10000,4,4,37,aligned,0,1,validation,-0.03527641296386719,1,0,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10001,4,4,37,aligned,1,1,validation,0.07670211791992188,1,1,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10002,4,4,37,aligned,0,1,validation,-0.06497573852539062,1,0,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10003,4,4,37,aligned,1,1,validation,0.011308670043945312,1,1,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10004,4,4,37,aligned,0,1,validation,-0.015960693359375,1,0,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10005,4,4,37,aligned,1,1,validation,-0.042629241943359375,1,0,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10006,4,4,37,aligned,0,1,validation,-0.0572662353515625,1,0,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10007,4,4,37,aligned,1,1,validation,0.03964805603027344,1,1,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10008,4,4,37,aligned,0,1,validation,0.008897781372070312,1,1,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10009,4,4,37,aligned,1,1,validation,0.0897064208984375,1,1,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10010,4,4,37,aligned,0,1,validation,-0.06616592407226562,1,0,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10011,4,4,37,aligned,1,1,validation,0.0007534027099609375,1,1,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10012,4,4,37,aligned,0,1,validation,-0.08703804016113281,1,0,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10013,4,4,37,aligned,1,1,validation,-0.06939506530761719,1,0,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10014,4,4,37,aligned,0,1,validation,-0.018108367919921875,1,0,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10015,4,4,37,aligned,1,1,validation,0.04377174377441406,1,1,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree211:i10000,4,4,37,aligned,0,1,validation,0.14910888671875,1,1,3,211,64
L4_W64_H4,0,validation:d1:t1:paligned:tree211:i10001,4,4,37,aligned,1,1,validation,-0.020044326782226562,1,0,3,211,64
L4_W64_H4,1,validation:d1:t1:paligned:tree211:i10002,4,4,37,aligned,0,1,validation,0.12685203552246094,1,1,3,211,64
L4_W64_H4,1,validation:d1:t1:paligned:tree211:i10003,4,4,37,aligned,1,1,validation,0.03999900817871094,1,1,3,211,64
L4_W64_H4,0,validation:d1:t1:paligned:tree211:i10004,4,4,37,aligned,0,1,validation,0.08728599548339844,1,1,3,211,64
