loss,step
43.511077880859375,1
0.7212111353874207,50
0.7530069947242737,100
0.7124847173690796,150
0.7461782693862915,200
0.7113039493560791,250
0.6972817182540894,300
0.6987756490707397,350
0.693426787853241,400
0.6991580128669739,450
0.6947555541992188,500
0.7026242017745972,550
0.7028141021728516,600
0.6964330077171326,650
0.69242262840271,700
0.701058030128479,750
0.6976011395454407,800
0.6940537095069885,850
0.6924436092376709,900
0.704160213470459,950
0.6898912191390991,1000
0.695787787437439,1050
0.6965712308883667,1100
0.694863498210907,1150
0.6947358250617981,1200
