depth_a,depth_b,heads_a,heads_b,parameters_a,parameters_b,relative_parameter_gap,width_a,width_b
2,8,1,1,85504,77632,0.09206586826347306,64,32
2,8,1,2,85504,77632,0.09206586826347306,64,32
2,8,1,4,85504,77632,0.09206586826347306,64,32
2,8,1,8,85504,77632,0.09206586826347306,64,32
2,8,2,1,85504,77632,0.09206586826347306,64,32
2,8,2,2,85504,77632,0.09206586826347306,64,32
2,8,2,4,85504,77632,0.09206586826347306,64,32
2,8,2,8,85504,77632,0.09206586826347306,64,32
2,8,4,1,85504,77632,0.09206586826347306,64,32
2,8,4,2,85504,77632,0.09206586826347306,64,32
2,8,4,4,85504,77632,0.09206586826347306,64,32
2,8,4,8,85504,77632,0.09206586826347306,64,32
2,8,8,1,85504,77632,0.09206586826347306,64,32
2,8,8,2,85504,77632,0.09206586826347306,64,32
2,8,8,4,85504,77632,0.09206586826347306,64,32
2,8,8,8,85504,77632,0.09206586826347306,64,32
2,8,1,1,302080,286336,0.05211864406779661,128,64
2,8,1,2,302080,286336,0.05211864406779661,128,64
2,8,1,4,302080,286336,0.05211864406779661,128,64
2,8,1,8,302080,286336,0.05211864406779661,128,64
2,8,2,1,302080,286336,0.05211864406779661,128,64
2,8,2,2,302080,286336,0.05211864406779661,128,64
2,8,2,4,302080,286336,0.05211864406779661,128,64
2,8,2,8,302080,286336,0.05211864406779661,128,64
2,8,4,1,302080,286336,0.05211864406779661,128,64
2,8,4,2,302080,286336,0.05211864406779661,128,64
2,8,4,4,302080,286336,0.05211864406779661,128,64
2,8,4,8,302080,286336,0.05211864406779661,128,64
2,8,8,1,302080,286336,0.05211864406779661,128,64
2,8,8,2,302080,286336,0.05211864406779661,128,64
2,8,8,4,302080,286336,0.05211864406779661,128,64
2,8,8,8,302080,286336,0.05211864406779661,128,64
2,8,1,1,1128448,1096960,0.027903811252268602,256,128
2,8,1,2,1128448,1096960,0.027903811252268602,256,128
2,8,1,4,1128448,1096960,0.027903811252268602,256,128
2,8,1,8,1128448,1096960,0.027903811252268602,256,128
2,8,2,1,1128448,1096960,0.027903811252268602,256,128
2,8,2,2,1128448,1096960,0.027903811252268602,256,128
2,8,2,4,1128448,1096960,0.027903811252268602,256,128
2,8,2,8,1128448,1096960,0.027903811252268602,256,128
2,8,4,1,1128448,1096960,0.027903811252268602,256,128
2,8,4,2,1128448,1096960,0.027903811252268602,256,128
2,8,4,4,1128448,1096960,0.027903811252268602,256,128
2,8,4,8,1128448,1096960,0.027903811252268602,256,128
2,8,8,1,1128448,1096960,0.027903811252268602,256,128
2,8,8,2,1128448,1096960,0.027903811252268602,256,128
2,8,8,4,1128448,1096960,0.027903811252268602,256,128
2,8,8,8,1128448,1096960,0.027903811252268602,256,128
4,16,1,1,152448,145984,0.04240134340890008,64,32
4,16,1,2,152448,145984,0.04240134340890008,64,32
4,16,1,4,152448,145984,0.04240134340890008,64,32
4,16,1,8,152448,145984,0.04240134340890008,64,32
4,16,2,1,152448,145984,0.04240134340890008,64,32
4,16,2,2,152448,145984,0.04240134340890008,64,32
4,16,2,4,152448,145984,0.04240134340890008,64,32
4,16,2,8,152448,145984,0.04240134340890008,64,32
4,16,4,1,152448,145984,0.04240134340890008,64,32
4,16,4,2,152448,145984,0.04240134340890008,64,32
4,16,4,4,152448,145984,0.04240134340890008,64,32
4,16,4,8,152448,145984,0.04240134340890008,64,32
4,16,8,1,152448,145984,0.04240134340890008,64,32
4,16,8,2,152448,145984,0.04240134340890008,64,32
4,16,8,4,152448,145984,0.04240134340890008,64,32
4,16,8,8,152448,145984,0.04240134340890008,64,32
4,16,1,1,567040,554112,0.022799097065462754,128,64
4,16,1,2,567040,554112,0.022799097065462754,128,64
4,16,1,4,567040,554112,0.022799097065462754,128,64
4,16,1,8,567040,554112,0.022799097065462754,128,64
4,16,2,1,567040,554112,0.022799097065462754,128,64
4,16,2,2,567040,554112,0.022799097065462754,128,64
4,16,2,4,567040,554112,0.022799097065462754,128,64
4,16,2,8,567040,554112,0.022799097065462754,128,64
4,16,4,1,567040,554112,0.022799097065462754,128,64
4,16,4,2,567040,554112,0.022799097065462754,128,64
4,16,4,4,567040,554112,0.022799097065462754,128,64
4,16,4,8,567040,554112,0.022799097065462754,128,64
4,16,8,1,567040,554112,0.022799097065462754,128,64
4,16,8,2,567040,554112,0.022799097065462754,128,64
4,16,8,4,567040,554112,0.022799097065462754,128,64
4,16,8,8,567040,554112,0.022799097065462754,128,64
4,16,1,1,2182656,2156800,0.011846117757447807,256,128
4,16,1,2,2182656,2156800,0.011846117757447807,256,128
4,16,1,4,2182656,2156800,0.011846117757447807,256,128
4,16,1,8,2182656,2156800,0.011846117757447807,256,128
4,16,2,1,2182656,2156800,0.011846117757447807,256,128
4,16,2,2,2182656,2156800,0.011846117757447807,256,128
4,16,2,4,2182656,2156800,0.011846117757447807,256,128
4,16,2,8,2182656,2156800,0.011846117757447807,256,128
4,16,4,1,2182656,2156800,0.011846117757447807,256,128
4,16,4,2,2182656,2156800,0.011846117757447807,256,128
4,16,4,4,2182656,2156800,0.011846117757447807,256,128
4,16,4,8,2182656,2156800,0.011846117757447807,256,128
4,16,8,1,2182656,2156800,0.011846117757447807,256,128
4,16,8,2,2182656,2156800,0.011846117757447807,256,128
4,16,8,4,2182656,2156800,0.011846117757447807,256,128
4,16,8,8,2182656,2156800,0.011846117757447807,256,128
6,24,1,1,219392,214336,0.023045507584597433,64,32
6,24,1,2,219392,214336,0.023045507584597433,64,32
6,24,1,4,219392,214336,0.023045507584597433,64,32
6,24,1,8,219392,214336,0.023045507584597433,64,32
6,24,2,1,219392,214336,0.023045507584597433,64,32
6,24,2,2,219392,214336,0.023045507584597433,64,32
6,24,2,4,219392,214336,0.023045507584597433,64,32
6,24,2,8,219392,214336,0.023045507584597433,64,32
6,24,4,1,219392,214336,0.023045507584597433,64,32
6,24,4,2,219392,214336,0.023045507584597433,64,32
6,24,4,4,219392,214336,0.023045507584597433,64,32
6,24,4,8,219392,214336,0.023045507584597433,64,32
6,24,8,1,219392,214336,0.023045507584597433,64,32
6,24,8,2,219392,214336,0.023045507584597433,64,32
6,24,8,4,219392,214336,0.023045507584597433,64,32
6,24,8,8,219392,214336,0.023045507584597433,64,32
6,24,1,1,832000,821888,0.012153846153846154,128,64
6,24,1,2,832000,821888,0.012153846153846154,128,64
6,24,1,4,832000,821888,0.012153846153846154,128,64
6,24,1,8,832000,821888,0.012153846153846154,128,64
6,24,2,1,832000,821888,0.012153846153846154,128,64
6,24,2,2,832000,821888,0.012153846153846154,128,64
6,24,2,4,832000,821888,0.012153846153846154,128,64
6,24,2,8,832000,821888,0.012153846153846154,128,64
6,24,4,1,832000,821888,0.012153846153846154,128,64
6,24,4,2,832000,821888,0.012153846153846154,128,64
6,24,4,4,832000,821888,0.012153846153846154,128,64
6,24,4,8,832000,821888,0.012153846153846154,128,64
6,24,8,1,832000,821888,0.012153846153846154,128,64
6,24,8,2,832000,821888,0.012153846153846154,128,64
6,24,8,4,832000,821888,0.012153846153846154,128,64
6,24,8,8,832000,821888,0.012153846153846154,128,64
6,24,1,1,3236864,3216640,0.006248022777602025,256,128
6,24,1,2,3236864,3216640,0.006248022777602025,256,128
6,24,1,4,3236864,3216640,0.006248022777602025,256,128
6,24,1,8,3236864,3216640,0.006248022777602025,256,128
6,24,2,1,3236864,3216640,0.006248022777602025,256,128
6,24,2,2,3236864,3216640,0.006248022777602025,256,128
6,24,2,4,3236864,3216640,0.006248022777602025,256,128
6,24,2,8,3236864,3216640,0.006248022777602025,256,128
6,24,4,1,3236864,3216640,0.006248022777602025,256,128
6,24,4,2,3236864,3216640,0.006248022777602025,256,128
6,24,4,4,3236864,3216640,0.006248022777602025,256,128
6,24,4,8,3236864,3216640,0.006248022777602025,256,128
6,24,8,1,3236864,3216640,0.006248022777602025,256,128
6,24,8,2,3236864,3216640,0.006248022777602025,256,128
6,24,8,4,3236864,3216640,0.006248022777602025,256,128
6,24,8,8,3236864,3216640,0.006248022777602025,256,128
