architecture_id,head_count,model_depth,model_seed,model_width,parameter_count,training_budget,training_steps
L6-W32-H2-T2,2,6,11,32,60544,2,800
L6-W32-H2-T4,2,6,11,32,60544,4,1600
L6-W32-H4-T1,4,6,11,32,60544,1,400
L6-W32-H4-T2,4,6,11,32,60544,2,800
L6-W32-H4-T4,4,6,11,32,60544,4,1600
L6-W32-H8-T1,8,6,11,32,60544,1,400
L6-W32-H8-T2,8,6,11,32,60544,2,800
L6-W32-H8-T4,8,6,11,32,60544,4,1600
L6-W64-H1-T1,1,6,11,64,219392,1,400
L6-W64-H1-T2,1,6,11,64,219392,2,800
L6-W64-H1-T4,1,6,11,64,219392,4,1600
L6-W64-H2-T1,2,6,11,64,219392,1,400
L6-W64-H2-T2,2,6,11,64,219392,2,800
L6-W64-H2-T4,2,6,11,64,219392,4,1600
L6-W64-H4-T1,4,6,11,64,219392,1,400
L6-W64-H4-T2,4,6,11,64,219392,2,800
L6-W64-H4-T4,4,6,11,64,219392,4,1600
L6-W64-H8-T1,8,6,11,64,219392,1,400
L6-W64-H8-T2,8,6,11,64,219392,2,800
L6-W64-H8-T4,8,6,11,64,219392,4,1600
L6-W128-H1-T1,1,6,11,128,832000,1,400
L6-W128-H1-T2,1,6,11,128,832000,2,800
L6-W128-H1-T4,1,6,11,128,832000,4,1600
L6-W128-H2-T1,2,6,11,128,832000,1,400
L6-W128-H2-T2,2,6,11,128,832000,2,800
L6-W128-H2-T4,2,6,11,128,832000,4,1600
L6-W128-H4-T1,4,6,11,128,832000,1,400
L6-W128-H4-T2,4,6,11,128,832000,2,800
L6-W128-H4-T4,4,6,11,128,832000,4,1600
L6-W128-H8-T1,8,6,11,128,832000,1,400
L6-W128-H8-T2,8,6,11,128,832000,2,800
L6-W128-H8-T4,8,6,11,128,832000,4,1600
L6-W256-H1-T1,1,6,11,256,3236864,1,400
L6-W256-H1-T2,1,6,11,256,3236864,2,800
L6-W256-H1-T4,1,6,11,256,3236864,4,1600
L6-W256-H2-T1,2,6,11,256,3236864,1,400
L6-W256-H2-T2,2,6,11,256,3236864,2,800
L6-W256-H2-T4,2,6,11,256,3236864,4,1600
L6-W256-H4-T1,4,6,11,256,3236864,1,400
L6-W256-H4-T2,4,6,11,256,3236864,2,800
L6-W256-H4-T4,4,6,11,256,3236864,4,1600
L6-W256-H8-T1,8,6,11,256,3236864,1,400
L6-W256-H8-T2,8,6,11,256,3236864,2,800
L6-W256-H8-T4,8,6,11,256,3236864,4,1600
L8-W32-H1-T1,1,8,11,32,77632,1,400
L8-W32-H1-T2,1,8,11,32,77632,2,800
L8-W32-H1-T4,1,8,11,32,77632,4,1600
L8-W32-H2-T1,2,8,11,32,77632,1,400
L8-W32-H2-T2,2,8,11,32,77632,2,800
L8-W32-H2-T4,2,8,11,32,77632,4,1600
L8-W32-H4-T1,4,8,11,32,77632,1,400
L8-W32-H4-T2,4,8,11,32,77632,2,800
L8-W32-H4-T4,4,8,11,32,77632,4,1600
L8-W32-H8-T1,8,8,11,32,77632,1,400
L8-W32-H8-T2,8,8,11,32,77632,2,800
L8-W32-H8-T4,8,8,11,32,77632,4,1600
L8-W64-H1-T1,1,8,11,64,286336,1,400
