architecture,loss,machine,seed,step
train_kmax3,0.09548511356115341,M4,37,850
train_kmax3,0.01356856431812048,M4,37,900
train_kmax3,0.01019967719912529,M4,37,950
train_kmax3,0.007916055619716644,M4,37,1000
train_kmax4,18.372987747192383,M3,11,1
train_kmax4,6.464693069458008,M3,11,50
train_kmax4,4.214628219604492,M3,11,100
train_kmax4,3.783642053604126,M3,11,150
train_kmax4,3.7462308406829834,M3,11,200
train_kmax4,3.6386964321136475,M3,11,250
train_kmax4,3.3155956268310547,M3,11,300
train_kmax4,2.7680389881134033,M3,11,350
train_kmax4,2.3200883865356445,M3,11,400
train_kmax4,1.9494963884353638,M3,11,450
train_kmax4,1.5241550207138062,M3,11,500
train_kmax4,0.8336279392242432,M3,11,550
train_kmax4,0.3855225145816803,M3,11,600
train_kmax4,0.20963358879089355,M3,11,650
train_kmax4,0.09105346351861954,M3,11,700
train_kmax4,0.10387668758630753,M3,11,750
train_kmax4,0.882884681224823,M3,11,800
train_kmax4,0.1756848841905594,M3,11,850
train_kmax4,0.03521523252129555,M3,11,900
train_kmax4,0.03042723797261715,M3,11,950
train_kmax4,0.028190212324261665,M3,11,1000
train_kmax4,18.53205680847168,M3,23,1
train_kmax4,7.998767852783203,M3,23,50
train_kmax4,4.320272922515869,M3,23,100
train_kmax4,3.708242416381836,M3,23,150
train_kmax4,3.4946768283843994,M3,23,200
train_kmax4,3.307565927505493,M3,23,250
train_kmax4,3.31379771232605,M3,23,300
train_kmax4,3.179271936416626,M3,23,350
train_kmax4,2.6705474853515625,M3,23,400
train_kmax4,1.4417171478271484,M3,23,450
train_kmax4,0.2917376160621643,M3,23,500
train_kmax4,0.04955069348216057,M3,23,550
train_kmax4,0.037131667137145996,M3,23,600
train_kmax4,0.01260100957006216,M3,23,650
train_kmax4,0.016614316031336784,M3,23,700
train_kmax4,0.009336872957646847,M3,23,750
train_kmax4,0.9750086665153503,M3,23,800
train_kmax4,0.3380795419216156,M3,23,850
train_kmax4,0.1608182191848755,M3,23,900
train_kmax4,0.009444319643080235,M3,23,950
train_kmax4,0.010323930531740189,M3,23,1000
train_kmax4,18.004722595214844,M3,37,1
train_kmax4,8.087584495544434,M3,37,50
train_kmax4,4.733022212982178,M3,37,100
train_kmax4,3.9632155895233154,M3,37,150
train_kmax4,3.585496664047241,M3,37,200
train_kmax4,3.4935922622680664,M3,37,250
train_kmax4,3.5927183628082275,M3,37,300
train_kmax4,3.287389039993286,M3,37,350
train_kmax4,2.723637342453003,M3,37,400
train_kmax4,1.2943332195281982,M3,37,450
train_kmax4,1.1670451164245605,M3,37,500
train_kmax4,0.7062657475471497,M3,37,550
train_kmax4,0.09061957150697708,M3,37,600
train_kmax4,0.03639784827828407,M3,37,650
train_kmax4,0.014857524074614048,M3,37,700
train_kmax4,0.010271746665239334,M3,37,750
train_kmax4,0.7695487141609192,M3,37,800
train_kmax4,0.2815546989440918,M3,37,850
train_kmax4,0.10653767734766006,M3,37,900
train_kmax4,0.01354270800948143,M3,37,950
train_kmax4,0.01322433352470398,M3,37,1000
train_kmax4,20.242294311523438,M4,11,1
train_kmax4,5.071836948394775,M4,11,50
train_kmax4,3.4324893951416016,M4,11,100
train_kmax4,2.754671096801758,M4,11,150
train_kmax4,2.698713541030884,M4,11,200
train_kmax4,2.1662495136260986,M4,11,250
train_kmax4,2.270705461502075,M4,11,300
train_kmax4,2.4031715393066406,M4,11,350
train_kmax4,2.0635411739349365,M4,11,400
train_kmax4,1.8648548126220703,M4,11,450
train_kmax4,1.1647394895553589,M4,11,500
train_kmax4,1.1954642534255981,M4,11,550
train_kmax4,1.1469006538391113,M4,11,600
train_kmax4,1.0215038061141968,M4,11,650
train_kmax4,0.6560173630714417,M4,11,700
train_kmax4,0.400924414396286,M4,11,750
train_kmax4,1.111413836479187,M4,11,800
train_kmax4,1.1517122983932495,M4,11,850
train_kmax4,0.5557697415351868,M4,11,900
train_kmax4,0.36923038959503174,M4,11,950
train_kmax4,0.603181004524231,M4,11,1000
train_kmax4,22.295942306518555,M4,23,1
train_kmax4,7.32881498336792,M4,23,50
train_kmax4,4.04387903213501,M4,23,100
train_kmax4,3.4774906635284424,M4,23,150
train_kmax4,2.8674049377441406,M4,23,200
train_kmax4,2.6262223720550537,M4,23,250
train_kmax4,2.6326589584350586,M4,23,300
train_kmax4,2.139890670776367,M4,23,350
train_kmax4,1.635280966758728,M4,23,400
train_kmax4,1.0881966352462769,M4,23,450
train_kmax4,0.7579099535942078,M4,23,500
train_kmax4,0.35073724389076233,M4,23,550
train_kmax4,0.18728899955749512,M4,23,600
train_kmax4,0.04824918508529663,M4,23,650
train_kmax4,0.02493693120777607,M4,23,700
train_kmax4,0.022278854623436928,M4,23,750
train_kmax4,1.6274734735488892,M4,23,800
train_kmax4,0.7081952095031738,M4,23,850
train_kmax4,0.3697233498096466,M4,23,900
train_kmax4,0.19227345287799835,M4,23,950
train_kmax4,0.21097134053707123,M4,23,1000
train_kmax4,22.767343521118164,M4,37,1
train_kmax4,8.17056941986084,M4,37,50
train_kmax4,4.591308116912842,M4,37,100
train_kmax4,3.549684762954712,M4,37,150
train_kmax4,3.120436906814575,M4,37,200
train_kmax4,2.378481149673462,M4,37,250
train_kmax4,2.8683717250823975,M4,37,300
train_kmax4,2.3338189125061035,M4,37,350
train_kmax4,1.8874469995498657,M4,37,400
train_kmax4,0.8966801166534424,M4,37,450
train_kmax4,0.28862497210502625,M4,37,500
train_kmax4,0.15094207227230072,M4,37,550
train_kmax4,0.15444697439670563,M4,37,600
train_kmax4,0.05134403333067894,M4,37,650
train_kmax4,0.030612481757998466,M4,37,700
train_kmax4,0.01768152229487896,M4,37,750
train_kmax4,0.8226869702339172,M4,37,800
train_kmax4,0.81080561876297,M4,37,850
train_kmax4,0.5608579516410828,M4,37,900
train_kmax4,0.5034047961235046,M4,37,950
train_kmax4,0.528950035572052,M4,37,1000
