architecture,depth,exact_trajectory_correct,example_id,final_correct,invalid_call,machine,model_forwards,nontermination,one_call_edge_coverage,per_transition_accuracy,post_tool_answer_correct,seed,selected_edge_valid,stop_emitted,termination_correct,tool_calls
train_kmax3,2,,6,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,7,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,8,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,9,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,10,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,11,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,12,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,13,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,14,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,15,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,16,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,17,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,18,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,19,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,20,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,21,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,22,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,23,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,24,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,25,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,26,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,27,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,28,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,29,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,30,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,31,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,32,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,33,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,34,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,35,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,36,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,37,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,38,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,39,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,40,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,41,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,42,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,43,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,44,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,45,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,46,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,47,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,48,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,49,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,50,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,51,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,52,0,0,M3,2,0,0.5,,0,11,1,,,1
train_kmax3,2,,53,1,0,M3,2,0,0.5,,1,11,1,,,1
