candidate,cell_id,condition,episodes,example_id,family,heads,layers,mappings,margin,minimality_axis,mlp_ratio,pairs,probability,rank,regime,seed,target,top1,vocabulary,width
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,9,sa_ff,2,2,fresh-random,8.905985832214355,reference,2,3,0.9998582601547241,1,C2,11,4,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,9,sa_ff,2,2,fresh-random,-12.403154373168945,reference,2,3,4.1056014197238255e-06,2,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,10,sa_ff,2,2,fresh-random,15.745222091674805,reference,2,3,0.9999998807907104,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,10,sa_ff,2,2,fresh-random,0.022057533264160156,reference,2,3,0.4873051941394806,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,10,sa_ff,2,2,fresh-random,-14.992792129516602,reference,2,3,3.076884809161129e-07,3,C2,11,6,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,10,sa_ff,2,2,fresh-random,11.006671905517578,reference,2,3,0.9999834299087524,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,10,sa_ff,2,2,fresh-random,-24.280803680419922,reference,2,3,2.8504230226156224e-11,7,C2,11,6,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,11,sa_ff,2,2,fresh-random,8.905179977416992,reference,2,3,0.9997643828392029,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,11,sa_ff,2,2,fresh-random,-18.77121353149414,reference,2,3,7.043123861905087e-09,3,C2,11,6,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,11,sa_ff,2,2,fresh-random,7.2881178855896,reference,2,3,0.9992928504943848,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,11,sa_ff,2,2,fresh-random,11.519811630249023,reference,2,3,0.9999862909317017,1,C2,11,6,1,4,32
