R,accuracy,between_js_bits,depth,layer,local_control,mean_target_logprob,n,reachable,span,window,within_js_bits
0.09913579146786508,0.1875,5.160785903611024e-07,1,0,0,-1.6091388501226902,64,0,2,1,5.205774652320091e-06
770108.4104396035,0.828125,0.9999895060479128,1,0,1,-0.4021652005684686,64,0,2,1,1.298504850086088e-06
0.20025500613294964,0.0,2.0730029052201782e-05,2,0,0,-8.40138915926218,64,0,2,1,0.00010351815643719328
43321.88754446248,1.0,0.9999817848518283,2,0,1,-0.0005040830032116972,64,0,2,1,2.3082599617237793e-05
67608.19864576239,0.796875,0.9997859080547712,2,1,0,-0.17627816784362516,64,1,2,1,1.4787938860687818e-05
112011.55786079247,0.953125,0.9999960497148356,2,1,1,-0.17041961480936862,64,1,2,1,8.927614871294147e-06
0.0874312710939224,0.0,1.9698295789191134e-09,2,0,0,-11.158513888716698,64,0,4,1,2.2530034783584907e-08
234163712.15091115,1.0,0.9999998841226844,2,0,1,-2.1072992694826098e-05,64,0,4,1,4.270516020339718e-09
0.09096572518468757,0.234375,2.201612179806386e-06,2,1,0,-1.6057309843599796,64,0,4,1,2.4202656278905667e-05
166476.66962249187,0.75,0.9998812788648658,2,1,1,-0.4074961228929297,64,0,4,1,6.00613456006917e-06
0.1723499534644905,0.0,1.2622114915599772e-11,4,0,0,-20.330310329794884,64,0,4,1,7.32353833689913e-11
55940789.98973275,1.0,0.9999997328226132,4,0,1,-7.152562879753077e-07,64,0,4,1,1.7876038808285527e-08
0.11884504489427943,0.0,4.1261294243250695e-07,4,1,0,-9.659735180437565,64,0,4,1,3.4718565069292842e-06
1185528.951030529,1.0,0.9999960111082462,4,1,1,-0.001230256339816549,64,0,4,1,8.435019745734534e-07
0.11332776171711298,0.0,7.733973665964105e-06,4,2,0,-4.10152205452323,64,0,4,1,6.82442990912459e-05
56731.37968741961,1.0,0.9999599948565079,4,2,1,-0.04559414343654522,64,0,4,1,1.762622380005774e-05
5919.170415982758,1.0,0.9978419001048336,4,3,0,-0.12691525243428714,64,1,4,1,0.00016857799826315058
10269.530629877117,0.75,0.999975563174415,4,3,1,-0.23164237586343717,64,1,4,1,9.737305425285834e-05
70.3632346891973,0.0,0.01756973954408778,2,0,0,-11.521524500101805,64,1,8,full,0.0002497005662359809
487364585.6371119,1.0,0.999999997127755,2,0,1,-2.6822104359780496e-07,64,1,8,full,2.051851994581214e-09
54460.78115023263,1.0,0.9998309305755075,2,1,0,-0.16117602266312758,64,1,8,full,1.8358732824955757e-05
56461.58010773946,0.75,0.9999954875338265,2,1,1,-0.186174516588129,64,1,8,full,1.7711078677317293e-05
0.04886069506759918,0.0,1.216694439123359e-06,2,0,0,-4.679140210151672,64,0,8,2,2.4901292080271313e-05
266609.5930081871,1.0,0.9999999965862131,2,0,1,-0.024959786096587777,64,0,8,2,3.750802757331785e-06
0.14724621001959326,0.234375,1.0184107440992244e-05,2,1,0,-1.610885540023446,64,0,8,2,6.916380013880901e-05
68158.61579716888,0.75,0.999997369206039,2,1,1,-0.4041764233281975,64,0,8,2,1.4671620858350473e-05
0.014375028129253137,0.0,1.6630617534683156e-14,4,0,0,-24.958148300647736,64,0,8,2,1.1569102602895017e-12
22822644749.387493,1.0,0.9999999993857137,4,0,1,0.0,64,0,8,2,4.381613131898534e-11
0.024714373247877938,0.0,1.6482353668732262e-09,4,1,0,-11.529046133160591,64,0,8,2,6.669136823102522e-08
89339006.19487242,1.0,0.9999999837995626,4,1,1,-1.5335629370838433e-05,64,0,8,2,1.11933188692327e-08
0.02539564175093018,0.0,1.037717804275994e-06,4,2,0,-3.8725184574723244,64,0,8,2,4.086204296207577e-05
157431.20933197674,1.0,0.9999989987393928,4,2,1,-0.0230260678800156,64,0,8,2,6.351974319340234e-06
0.06001452739520272,0.078125,5.437807866598619e-06,4,3,0,-1.6225029584020376,64,1,8,2,9.060819275956327e-05
75048.85479557075,0.953125,0.999945653176694,4,3,1,-0.388971010282944,64,1,8,2,1.3323929537639116e-05
0.255901247083572,0.0,1.4703830082388464e-05,2,0,0,-9.925877019762993,64,0,8,4,5.7459001274763234e-05
74800.1557851344,1.0,0.9999999209631002,2,0,1,-0.00040508485472035005,64,0,8,4,1.3368955057201067e-05
27844.892844887523,1.0,0.99943470995079,2,1,0,-0.16255150200993285,64,1,8,4,3.589292713454603e-05
45758.45917485213,0.75,0.9999974245028563,2,1,1,-0.18476753683384528,64,1,8,4,2.185382642981199e-05
