R_between_within,between_family_JS_bits,boundary,covariance_trace,effective_rank,generator_family,model_seed,n,nuisance_count,nuisance_type,within_family_JS_bits
0.0,-4.336808689942018e-19,embedding,1.9216294703811614e-06,2.417861564819684,balanced_pair,11,128,0,N0,2.8927742796655553e-11
0.0,-2.168404344971009e-19,embedding,1.9216294703811614e-06,2.417861564819684,balanced_pair,11,128,2,N2,2.8927742796655553e-11
0.0,-2.168404344971009e-19,embedding,1.9216294703811614e-06,2.417861564819684,balanced_pair,11,128,4,N2,2.8814006519314872e-11
0.0,-2.168404344971009e-19,embedding,1.9216294703811614e-06,2.417861564819684,balanced_pair,11,128,2,N3,2.8814006519314872e-11
0.0,-2.168404344971009e-19,embedding,1.9216294703811614e-06,2.417861564819684,balanced_pair,11,128,4,N3,2.8927742796655553e-11
0.0,-4.336808689942018e-19,embedding,1.9216294703811614e-06,2.417861564819684,balanced_pair,11,128,2,N4,2.8927742796655553e-11
0.0,-2.168404344971009e-19,embedding,1.9216294703811614e-06,2.417861564819684,balanced_pair,11,128,4,N4,2.8814006519314872e-11
4.038322178134217,0.7092804568739361,layer_0_sa,35.03770300890837,1.3416823132436912,balanced_pair,11,128,0,N0,1.0210858071156137
0.5922908177324299,0.2633169993626632,layer_0_sa,18.338660411113736,1.8577315797361251,balanced_pair,11,128,2,N2,0.7316225658054021
0.5184335715901971,0.24743112588182603,layer_0_sa,18.65684212409052,1.7641728811035466,balanced_pair,11,128,4,N2,0.6945535667076672
0.7966774590424821,0.3604708203902387,layer_0_sa,17.14181552420105,1.8696965699109918,balanced_pair,11,128,2,N3,0.7646551488745992
0.5862749900094241,0.29100246104723126,layer_0_sa,16.512715881110783,1.9677473119711884,balanced_pair,11,128,4,N3,0.6970978036951898
0.6073306554391982,0.24099761558561283,layer_0_sa,16.590800599463243,1.986302193815581,balanced_pair,11,128,2,N4,0.6946014899087616
0.2988143649032107,0.11067029790831118,layer_0_sa,11.87957661005568,2.474204027681941,balanced_pair,11,128,4,N4,0.49146464831320924
4.406762100391191,0.570137881787532,layer_0_ff,40.395424876031875,1.327017160376328,balanced_pair,11,128,0,N0,0.8216237198726959
