intercept,model,n,predictor,r2,slope
7.100795177155523,linear descriptive,17994,pattern_length,0.002480488114629198,0.44755914219147064
8.826770756284002,linear descriptive,17994,dependency_span,0.0004352299510501645,-0.1664812778182771
4.522477952247791,linear descriptive,17994,nuisance_count,0.3537164005450234,2.5737179365775096
