boundary,fraction_top1,generator_family,margin_SNR,margin_std,mean_output_entropy,mean_target_margin,mean_target_probability,mean_target_rank,model_seed,n,nuisance_count,nuisance_type
embedding,0.0,balanced_pair,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,128,0,N0
embedding,0.0,balanced_pair,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,128,2,N2
embedding,0.0,balanced_pair,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,128,4,N2
embedding,0.0,balanced_pair,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,128,2,N3
embedding,0.0,balanced_pair,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,128,4,N3
embedding,0.0,balanced_pair,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,128,2,N4
embedding,0.0,balanced_pair,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,128,4,N4
layer_0_sa,0.25,balanced_pair,-0.8446200912244823,2.90036553245094,0.920441247522831,-2.4497070014476776,0.2288309582063448,4.171875,11,128,0,N0
layer_0_sa,0.125,balanced_pair,-1.218258154360051,3.0803125995114295,0.7840146133239614,-3.7526159435510635,0.11868058722362473,5.1015625,11,128,2,N2
layer_0_sa,0.1015625,balanced_pair,-1.3518667330891525,2.618490960479358,0.7911747015023138,-3.5398508217185736,0.12145602742674555,4.59375,11,128,4,N2
layer_0_sa,0.109375,balanced_pair,-1.3684711029454846,2.897330908462454,0.6963785694679245,-3.9649136252701283,0.1078410513956527,5.1171875,11,128,2,N3
layer_0_sa,0.09375,balanced_pair,-1.1541849889665905,3.426861763541802,0.7719783261709381,-3.955232407897711,0.1197298236208402,5.578125,11,128,4,N3
layer_0_sa,0.1015625,balanced_pair,-1.2635697194082987,3.2316611564551523,0.7438958931888919,-4.083429181948304,0.10586389510692049,5.3046875,11,128,2,N4
layer_0_sa,0.0390625,balanced_pair,-1.4625304289950685,2.593215975613122,0.802435035147937,-3.7926572747528553,0.08610694670737473,4.6015625,11,128,4,N4
layer_0_ff,0.3828125,balanced_pair,-0.40948421440409194,2.2571499564570847,0.8670383710414171,-0.9242672771215439,0.3577994739644055,2.25,11,128,0,N0
layer_0_ff,0.3359375,balanced_pair,-0.5077459522929246,2.1565987868358727,1.041481077671051,-1.0950043052434921,0.28982511041635917,2.5234375,11,128,2,N2
layer_0_ff,0.3515625,balanced_pair,-0.4930838590201555,1.8675417987315057,1.0560513869859278,-0.9208547174930573,0.29804408393374615,2.40625,11,128,4,N2
layer_0_ff,0.3515625,balanced_pair,-0.5740664667841399,2.030978875166608,1.0310083185322583,-1.1659168675541878,0.2818243865676777,2.5,11,128,2,N3
layer_0_ff,0.2734375,balanced_pair,-0.5203171480966802,2.4745594439777556,1.0215107856784016,-1.2875557132065296,0.2754413930862212,2.921875,11,128,4,N3
layer_0_ff,0.3046875,balanced_pair,-0.5139081674362028,2.2361798638933097,1.0916738318046555,-1.1491910964250565,0.28204430460968766,2.828125,11,128,2,N4
layer_0_ff,0.3203125,balanced_pair,-0.4747489068857237,1.9227641553365953,1.1436667442321777,-0.9128301814198494,0.28663686532877364,2.515625,11,128,4,N4
layer_1_sa,0.265625,balanced_pair,-0.6055041247553835,2.9927411556274595,0.6643661126727238,-1.812117114663124,0.29749291523989996,2.6953125,11,128,0,N0
layer_1_sa,0.2578125,balanced_pair,-0.632313668732526,3.3104032473067218,0.6501209387788549,-2.0932132229208946,0.27530704102768766,3.0,11,128,2,N2
layer_1_sa,0.2890625,balanced_pair,-0.5256698000256181,3.1988735996720665,0.6851000530878082,-1.6815512459725142,0.30290474706021464,2.7734375,11,128,4,N2
layer_1_sa,0.2890625,balanced_pair,-0.6368055237194478,3.252979294462985,0.6664819063153118,-2.0715151838958263,0.2826108757044361,2.78125,11,128,2,N3
layer_1_sa,0.265625,balanced_pair,-0.6235463358883243,3.5242330514964064,0.6306581385433674,-2.197522606700659,0.28123198470361555,3.0234375,11,128,4,N3
layer_1_sa,0.3203125,balanced_pair,-0.544027471427071,3.2259065982080117,0.678109506261535,-1.7549818102270365,0.31115301449042754,2.7890625,11,128,2,N4
layer_1_sa,0.265625,balanced_pair,-0.66131266752772,3.1172674779854197,0.6823082659393549,-2.0614884719252586,0.2703080235252173,2.8359375,11,128,4,N4
layer_1_ff,0.296875,balanced_pair,-0.5930785835496567,2.8451043595496563,0.6631660364801064,-1.6873704642057419,0.3048627728542215,2.375,11,128,0,N0
layer_1_ff,0.265625,balanced_pair,-0.6196195828485981,3.0745860352873926,0.6584787229076028,-1.9050737172365189,0.2834264645508284,2.5546875,11,128,2,N2
layer_1_ff,0.3046875,balanced_pair,-0.5419284253713605,2.9612535818181853,0.6931241976562887,-1.604787491261959,0.30469261443773643,2.5078125,11,128,4,N2
layer_1_ff,0.2890625,balanced_pair,-0.6434484170934971,3.0493323038267057,0.6680008062394336,-1.962088044732809,0.27949075892016495,2.484375,11,128,2,N3
layer_1_ff,0.265625,balanced_pair,-0.6353860045746551,3.2407785087650334,0.6402033838094212,-2.0591453090310097,0.2803699890465001,2.625,11,128,4,N3
layer_1_ff,0.3359375,balanced_pair,-0.5394449802079877,2.9694512932676798,0.6868247466627508,-1.601855594664812,0.31268406956634465,2.40625,11,128,2,N4
layer_1_ff,0.2734375,balanced_pair,-0.6636463517810001,2.918042981210615,0.6898934601340443,-1.9365485794842243,0.27189391033843435,2.53125,11,128,4,N4
layer_2_sa,0.75,balanced_pair,0.8779855734859189,4.091319404280571,0.4069942343865023,3.592119414359331,0.7350891969399527,1.328125,11,128,0,N0
layer_2_sa,0.765625,balanced_pair,0.8258762500841522,4.231315057726355,0.47809501847643787,3.4945426136255264,0.708993614607607,1.4140625,11,128,2,N2
layer_2_sa,0.71875,balanced_pair,0.759929404543726,4.627332646432007,0.5153484543470483,3.516446143388748,0.6690188184729777,1.5,11,128,4,N2
layer_2_sa,0.765625,balanced_pair,0.8948306606184291,4.396898054750716,0.46037781517094345,3.9344791918992996,0.7217254113638774,1.34375,11,128,2,N3
layer_2_sa,0.71875,balanced_pair,0.8330167291574562,4.4198199234349795,0.48369739544295953,3.681783936917782,0.6979754606254573,1.4453125,11,128,4,N3
layer_2_sa,0.75,balanced_pair,0.8319649750483576,4.660705518393997,0.4663419551505399,3.8775437511503696,0.7013148246187484,1.4296875,11,128,2,N4
layer_2_sa,0.71875,balanced_pair,0.8362920451811318,4.571691786912867,0.47222997446340287,3.8232694752514362,0.6996497694199206,1.5,11,128,4,N4
layer_2_ff,0.7734375,balanced_pair,0.9762777597686885,4.244685156211733,0.38183876687116935,4.143991716206074,0.7497133048600517,1.3125,11,128,0,N0
layer_2_ff,0.7421875,balanced_pair,0.908535352469081,4.37030689958871,0.4627965962920939,3.970578320324421,0.7188315183739178,1.4375,11,128,2,N2
layer_2_ff,0.7109375,balanced_pair,0.8516731906567283,4.744518395903221,0.49800067133159587,4.040779121220112,0.681074120082485,1.4921875,11,128,4,N2
layer_2_ff,0.765625,balanced_pair,0.992284487052217,4.4484472367200105,0.4330804910655388,4.414125185459852,0.7389548293140251,1.328125,11,128,2,N3
layer_2_ff,0.71875,balanced_pair,0.8960774661916303,4.669768122344242,0.4720410444972458,4.184473987668753,0.7074395626041223,1.453125,11,128,4,N3
layer_2_ff,0.7265625,balanced_pair,0.9153596207065533,4.759244479663436,0.45680511189328854,4.35642022266984,0.709503978905559,1.4453125,11,128,2,N4
layer_2_ff,0.71875,balanced_pair,0.9069227242620514,4.755420912432106,0.4736751919922426,4.312799289822578,0.7038501278730109,1.5078125,11,128,4,N4
layer_3_sa,0.75,balanced_pair,0.994821388595531,4.177622858411333,0.44250437847449575,4.155988574028015,0.7447737138718367,1.3125,11,128,0,N0
layer_3_sa,0.75,balanced_pair,0.9108996244524526,4.248847995726042,0.5344258810160909,3.870274044573307,0.7039738780003972,1.3828125,11,128,2,N2
layer_3_sa,0.7578125,balanced_pair,0.8946881504918898,4.444207163046147,0.5598670374977246,3.976179488003254,0.6816766271949746,1.421875,11,128,4,N2
layer_3_sa,0.734375,balanced_pair,0.9899079164212813,4.415873808766428,0.49705493688657043,4.371308442205191,0.7213569519226439,1.3828125,11,128,2,N3
layer_3_sa,0.6796875,balanced_pair,0.9419824813139853,4.400032699002823,0.5347275270471528,4.144753720611334,0.7029755783296423,1.453125,11,128,4,N3
layer_3_sa,0.734375,balanced_pair,0.9349039802583556,4.53265157258602,0.5092489863149581,4.237593997269869,0.7055163505137898,1.4140625,11,128,2,N4
layer_3_sa,0.7109375,balanced_pair,0.9165900873552528,4.556849270080314,0.5362058250220798,4.176762871444225,0.6932668372464832,1.5,11,128,4,N4
layer_3_ff,0.7421875,balanced_pair,1.016316896042618,4.862329270600242,0.4482833018103065,4.941667392849922,0.7456905368017033,1.3125,11,128,0,N0
layer_3_ff,0.765625,balanced_pair,0.9234765636444098,4.952991599154576,0.5439411033626982,4.573971662670374,0.7048011152073741,1.390625,11,128,2,N2
layer_3_ff,0.7578125,balanced_pair,0.9154390480519355,5.221488728404254,0.5706586557746149,4.779954671859741,0.6809290607634466,1.390625,11,128,4,N2
layer_3_ff,0.7421875,balanced_pair,0.9917320389198612,5.157962465057259,0.5072400891493203,5.11531663313508,0.7191419284790754,1.34375,11,128,2,N3
layer_3_ff,0.7265625,balanced_pair,0.9493765034427024,4.9990779135188355,0.5430747443742518,4.746007110923529,0.7027329942793585,1.3984375,11,128,4,N3
layer_3_ff,0.734375,balanced_pair,0.9566411616945191,5.118074356339606,0.5172521705461861,4.89616059884429,0.7089682519435883,1.4296875,11,128,2,N4
layer_3_ff,0.734375,balanced_pair,0.9244994131075499,5.22354288979915,0.5538936107053658,4.829162336885929,0.6914348383434117,1.453125,11,128,4,N4
embedding,0.0,balanced_ngram3,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,512,0,N0
embedding,0.0,balanced_ngram3,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,512,2,N2
embedding,0.0,balanced_ngram3,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,512,4,N2
embedding,0.0,balanced_ngram3,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,512,2,N3
embedding,0.0,balanced_ngram3,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,512,4,N3
embedding,0.0,balanced_ngram3,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,512,2,N4
embedding,0.0,balanced_ngram3,-12.422298600623419,1.7328507558953792,0.0008501303382217884,-21.525989532470703,1.6978347287116557e-09,41.5,11,512,4,N4
layer_0_sa,0.08203125,balanced_ngram3,-1.112715662306326,4.013861020140941,0.731750702161662,-4.466286024544388,0.11175609981543666,6.884765625,11,512,0,N0
layer_0_sa,0.078125,balanced_ngram3,-1.1713544158333153,3.975525790286657,0.7338306287274463,-4.656749690882862,0.09678652418776455,7.091796875,11,512,2,N2
layer_0_sa,0.0625,balanced_ngram3,-1.2004616558433874,3.9595513758341054,0.7341016812515591,-4.753289602231234,0.09005832978553577,7.29296875,11,512,4,N2
layer_0_sa,0.076171875,balanced_ngram3,-1.2110602026001775,3.85553020206007,0.7219068115664413,-4.669279188849032,0.08943703503755839,6.890625,11,512,2,N3
layer_0_sa,0.068359375,balanced_ngram3,-1.2239977586442123,3.7958183365730265,0.7222454516795551,-4.646073137409985,0.08541504544187728,6.859375,11,512,4,N3
layer_0_sa,0.060546875,balanced_ngram3,-1.2085893784979358,3.9111458959249297,0.7048114413737494,-4.726969388779253,0.08455526353526409,6.99609375,11,512,2,N4
layer_0_sa,0.05859375,balanced_ngram3,-1.2371801937588478,3.993770643409278,0.6867964922384999,-4.941013939678669,0.08165333530894639,7.556640625,11,512,4,N4
layer_0_ff,0.30078125,balanced_ngram3,-0.5982488290739478,3.077346212629086,0.9151026391773485,-1.8410187689587474,0.2837087706650543,3.173828125,11,512,0,N0
layer_0_ff,0.265625,balanced_ngram3,-0.635059462471791,3.1058143198463504,0.9136147380049806,-1.972376773133874,0.2643144305883882,3.326171875,11,512,2,N2
layer_0_ff,0.27734375,balanced_ngram3,-0.6275392589189502,3.1343348981059953,0.9404300323221833,-1.966918199788779,0.263008834351556,3.396484375,11,512,4,N2
layer_0_ff,0.271484375,balanced_ngram3,-0.6143962111112182,3.0520375411001224,0.9506917736725882,-1.8751603020355105,0.26469260506865444,3.279296875,11,512,2,N3
layer_0_ff,0.287109375,balanced_ngram3,-0.593695698361402,3.0873011873925713,0.9747785602230579,-1.8329174350947142,0.27028400923762996,3.2890625,11,512,4,N3
layer_0_ff,0.302734375,balanced_ngram3,-0.580246703019006,3.1304972169570973,0.978533151675947,-1.8164606895297766,0.27124498544702247,3.3828125,11,512,2,N4
layer_0_ff,0.275390625,balanced_ngram3,-0.5979177699216149,3.2597662562533065,0.988344819896156,-1.9490721710026264,0.2612275633445158,3.525390625,11,512,4,N4
layer_1_sa,0.298828125,balanced_ngram3,-0.5715059788001265,2.93143621332362,0.6998978431511205,-1.675333322957158,0.29285856139236444,2.650390625,11,512,0,N0
layer_1_sa,0.3203125,balanced_ngram3,-0.5667199039072505,3.0874976333958983,0.6865371646854328,-1.7497463626787066,0.30180707571052423,2.69140625,11,512,2,N2
layer_1_sa,0.30859375,balanced_ngram3,-0.5905425974096563,2.9554808623502344,0.6999797061289428,-1.745337345637381,0.29355005175881743,2.6875,11,512,4,N2
layer_1_sa,0.326171875,balanced_ngram3,-0.5418156904799237,3.1580051680335233,0.6748253425321309,-1.7110567511990666,0.3103106762658534,2.65625,11,512,2,N3
layer_1_sa,0.32421875,balanced_ngram3,-0.5711959436587374,3.164405081512401,0.6642812061472796,-1.807495347224176,0.29945751282530253,2.67578125,11,512,4,N3
layer_1_sa,0.31640625,balanced_ngram3,-0.5613248196866403,3.027762811033881,0.6858022652741056,-1.6995584145188332,0.3021404279359601,2.671875,11,512,2,N4
layer_1_sa,0.31640625,balanced_ngram3,-0.5927587880056419,2.9298932562936764,0.7083741728602035,-1.7367199761793017,0.2930683244193091,2.701171875,11,512,4,N4
layer_1_ff,0.314453125,balanced_ngram3,-0.5286867577463467,2.8608753090242907,0.6225071166118141,-1.5125068919733167,0.314007790150697,2.3671875,11,512,0,N0
layer_1_ff,0.328125,balanced_ngram3,-0.5321942111847302,2.984851361356441,0.6193261731532402,-1.5885206162929535,0.3186834121655906,2.35546875,11,512,2,N2
layer_1_ff,0.326171875,balanced_ngram3,-0.5621407595722666,2.8523159729699903,0.6296658168721478,-1.6034030681475997,0.310375563668444,2.35546875,11,512,4,N2
layer_1_ff,0.33984375,balanced_ngram3,-0.5107018063861849,3.05465086782878,0.6096977917477489,-1.5600157165899873,0.32755977901353006,2.34375,11,512,2,N3
layer_1_ff,0.330078125,balanced_ngram3,-0.5544324762579309,3.0252344798497526,0.6069132187694777,-1.6772882444784045,0.3123670764381359,2.353515625,11,512,4,N3
layer_1_ff,0.326171875,balanced_ngram3,-0.535532496623091,2.9219086665693514,0.6230188954796176,-1.5647770436480641,0.31667874630750603,2.341796875,11,512,2,N4
layer_1_ff,0.328125,balanced_ngram3,-0.5634080360949645,2.844417168178381,0.6317423408181639,-1.6025674911215901,0.30854472832275803,2.341796875,11,512,4,N4
layer_2_sa,0.6328125,balanced_ngram3,0.5562489235474931,3.932003650334918,0.5006159185841739,2.1871727984398603,0.6242914267322703,1.595703125,11,512,0,N0
layer_2_sa,0.638671875,balanced_ngram3,0.5642242706047299,3.911566382373752,0.5532496462537893,2.2070006895810366,0.6124991199785654,1.625,11,512,2,N2
layer_2_sa,0.619140625,balanced_ngram3,0.5378454092977007,3.9328413103684348,0.5534410862359209,2.115260644815862,0.6007488051563996,1.69921875,11,512,4,N2
layer_2_sa,0.630859375,balanced_ngram3,0.5755220009708797,3.8807557539460804,0.5403270385415908,2.233460317365825,0.6207435673006785,1.638671875,11,512,2,N3
layer_2_sa,0.646484375,balanced_ngram3,0.5528061973127933,3.909614078332187,0.5659434243094097,2.1612588921561837,0.6098917784711517,1.642578125,11,512,4,N3
layer_2_sa,0.658203125,balanced_ngram3,0.6069009602873616,3.8587866541457854,0.5496602033744011,2.3419013265520334,0.6279263219121844,1.595703125,11,512,2,N4
layer_2_sa,0.658203125,balanced_ngram3,0.6031781864114928,3.807087559758013,0.5382710482467701,2.296352170407772,0.6312310268949659,1.625,11,512,4,N4
