cumulative_gain,direction,end_layer,error_growth_per_layer,frozen_path_error,generator_family,horizon,input_delta_norm,jvp_cosine,margin_absolute_error,model_seed,observed_delta_norm,observed_margin_delta,pair_id,piecewise_error,predicted_margin_delta,start_layer
1.1575733423233032,signal,1,0.8544912338256836,0.8544912338256836,sparse_pair,1,8.291583061218262,0.519775927066803,13.41498053073883,11,17.84942054748535,-11.748510360717773,s11_signal_0,0.8544912338256836,1.6664701700210571,0
2.29439377784729,signal,2,0.6415286064147949,1.2830572128295898,sparse_pair,2,8.291583061218262,0.24119322001934052,0.851285457611084,11,17.6070613861084,-3.4458837509155273,s11_signal_0,1.0684269070625305,-2.5945982933044434,0
5.08310604095459,signal,4,0.2727541923522949,1.0910167694091797,sparse_pair,4,8.291583061218262,0.388212114572525,20.064004004001617,11,43.352779388427734,-20.305519104003906,s11_signal_0,0.8580320999026299,-0.24151510000228882,0
3.2769830226898193,signal,1,1.2070764303207397,1.2070764303207397,nested_short,1,8.0111083984375,0.4802871644496918,18.273818492889404,11,20.046483993530273,-16.121013641357422,s11_signal_1,1.2070764303207397,2.1528048515319824,0
3.5843148231506348,signal,2,0.5161489248275757,1.0322978496551514,nested_short,2,8.0111083984375,0.5295276045799255,14.370009422302246,11,25.688770294189453,-11.500448226928711,s11_signal_1,0.8180173486471176,2.869561195373535,0
4.986558437347412,signal,4,0.20445872843265533,0.8178349137306213,nested_short,4,8.0111083984375,0.5863995552062988,41.35389947891235,11,57.13568878173828,-42.601383209228516,s11_signal_1,0.6257844939827919,-1.247483730316162,0
1.8689688444137573,signal,1,0.8697620034217834,0.8697620034217834,nested_override,1,13.419940948486328,0.677354633808136,8.667110204696655,11,21.975175857543945,-6.4776225090026855,s11_signal_2,0.8697620034217834,2.1894876956939697,0
2.012573003768921,signal,2,0.5297446250915527,1.0594892501831055,nested_override,2,13.419940948486328,0.42834779620170593,17.578354358673096,11,27.517131805419922,-14.613465309143066,s11_signal_2,0.7596710324287415,2.9648890495300293,0
3.97379207611084,signal,4,0.4575120210647583,1.8300480842590332,nested_override,4,13.419940948486328,-0.20195063948631287,44.57204627990723,11,39.679595947265625,-27.412275314331055,s11_signal_2,0.766442321240902,17.159770965576172,0
1.1191308498382568,signal,1,0.23628117144107819,0.23628117144107819,functor,1,7.478420734405518,0.9721767902374268,1.4897511005401611,11,8.89173698425293,-3.607172966003418,s11_signal_3,0.23628117144107819,-2.117421865463257,0
1.5566681623458862,signal,2,0.2924887239933014,0.5849774479866028,functor,2,7.478420734405518,0.823011040687561,7.120148420333862,11,12.090993881225586,-4.6743035316467285,s11_signal_3,0.38561344891786575,2.445844888687134,0
3.779409885406494,signal,4,0.2917874753475189,1.1671499013900757,functor,4,7.478420734405518,0.09678931534290314,26.138604044914246,11,40.01218795776367,-24.862823486328125,s11_signal_3,0.61329260841012,1.2757805585861206,0
1.1377755403518677,signal,1,0.780261754989624,0.780261754989624,balanced_ngram3,1,10.97461223602295,0.6264545917510986,2.972301483154297,11,21.126419067382812,6.117190361022949,s11_signal_4,0.780261754989624,3.1448888778686523,0
1.2737479209899902,signal,2,0.47842931747436523,0.9568586349487305,balanced_ngram3,2,10.97461223602295,0.37400731444358826,1.2261552810668945,11,22.93475914001465,4.00799560546875,s11_signal_4,0.7429946660995483,2.7818403244018555,0
1.994339942932129,signal,4,0.3222220540046692,1.2888882160186768,balanced_ngram3,4,10.97461223602295,-0.2860967516899109,40.31843376159668,11,38.0033073425293,-22.02077865600586,s11_signal_4,0.5063068196177483,18.29765510559082,0
1.1815571784973145,nuisance,1,0.5403086543083191,0.5403086543083191,nested_override,1,30.758350372314453,0.8414990901947021,3.054499387741089,11,42.81342697143555,0.6435976028442383,s11_nuisance_5,0.5403086543083191,-2.4109017848968506,0
1.3003088235855103,nuisance,2,0.32246580719947815,0.6449316143989563,nested_override,2,30.758350372314453,0.7672440409660339,0.9776942729949951,11,47.89471435546875,-0.3019237518310547,s11_nuisance_5,0.5433597564697266,-1.2796180248260498,0
1.3451621532440186,nuisance,4,0.16787175834178925,0.671487033367157,nested_override,4,30.758350372314453,0.7416483163833618,0.734044075012207,11,53.57659912109375,-3.531513214111328,s11_nuisance_5,0.4106118455529213,-4.265557289123535,0
1.4969699382781982,signal,1,0.7449233531951904,0.7449233531951904,balanced_pair,1,11.594162940979004,0.6673294305801392,18.916509985923767,11,26.625686645507812,-19.23224639892578,s11_signal_6,0.7449233531951904,-0.31573641300201416,0
1.682435393333435,signal,2,0.38831326365470886,0.7766265273094177,balanced_pair,2,11.594162940979004,0.6302057504653931,9.97199821472168,11,30.11384391784668,-13.47143840789795,s11_signal_6,0.6293297111988068,-3.4994401931762695,0
2.2081902027130127,signal,4,0.24128089845180511,0.9651235938072205,balanced_pair,4,11.594162940979004,0.3155485987663269,22.836525678634644,11,52.0670280456543,-26.084848403930664,s11_signal_6,0.6034228354692459,-3.2483227252960205,0
1.5775903463363647,signal,1,0.7904327511787415,0.7904327511787415,nested_override,1,13.38936996459961,0.6391454935073853,17.309674978256226,11,25.709409713745117,-16.377521514892578,s11_signal_7,0.7904327511787415,0.9321534633636475,0
1.79426109790802,signal,2,0.5140308737754822,1.0280617475509644,nested_override,2,13.38936996459961,0.35058724880218506,1.6922879219055176,11,31.013072967529297,-6.1148223876953125,s11_signal_7,0.6751367151737213,-4.422534465789795,0
2.5019078254699707,signal,4,0.2551283538341522,1.0205134153366089,nested_override,4,13.38936996459961,0.22051408886909485,53.785584449768066,11,64.34224700927734,-42.02136993408203,s11_signal_7,0.5719297900795937,11.764214515686035,0
1.499868392944336,signal,1,0.5768762826919556,0.5768762826919556,nested_override,1,10.862908363342285,0.8235445022583008,3.7984657287597656,11,17.547950744628906,-8.79781723022461,s11_signal_8,0.5768762826919556,-12.596282958984375,0
2.1336669921875,signal,2,0.38309532403945923,0.7661906480789185,nested_override,2,10.862908363342285,0.681472659111023,7.123459815979004,11,25.51766586303711,-14.322422981262207,s11_signal_8,0.5806172490119934,-7.198963165283203,0
2.3421790599823,signal,4,0.22108060121536255,0.8843224048614502,nested_override,4,10.862908363342285,0.4770734906196594,33.602670669555664,11,44.23455047607422,-28.554874420166016,s11_signal_8,0.5631709545850754,5.047796249389648,0
1.7062361240386963,signal,1,1.0968996286392212,1.0968996286392212,nested_override,1,13.509926795959473,0.36397433280944824,13.230351448059082,11,24.435617446899414,-11.280693054199219,s11_signal_9,1.0968996286392212,1.9496583938598633,0
2.0233511924743652,signal,2,0.5832669734954834,1.1665339469909668,nested_override,2,13.509926795959473,0.1588439792394638,15.955858558416367,11,35.03812789916992,-15.553647994995117,s11_signal_9,0.8904593884944916,0.4022105634212494,0
4.020678997039795,signal,4,0.46231499314308167,1.8492599725723267,nested_override,4,13.509926795959473,-0.2692461609840393,52.973114013671875,11,41.48261642456055,-32.42821502685547,s11_signal_9,0.6734475046396255,20.544898986816406,0
1.108452558517456,nuisance,1,0.37926024198532104,0.37926024198532104,nested_override,1,21.873870849609375,0.9286121129989624,0.4315638840198517,11,28.520339965820312,-0.32145071029663086,s11_nuisance_10,0.37926024198532104,0.11011317372322083,0
1.1278941631317139,nuisance,2,0.2382035255432129,0.4764070510864258,nested_override,2,21.873870849609375,0.8894816040992737,0.9763191118836403,11,32.686309814453125,-0.8636722564697266,s11_nuisance_10,0.3255787193775177,0.11264685541391373,0
1.1424936056137085,nuisance,4,0.15472103655338287,0.6188841462135315,nested_override,4,21.873870849609375,0.7955244183540344,3.113025188446045,11,37.3262825012207,0.8392677307128906,s11_nuisance_10,0.2684001885354519,-2.2737574577331543,0
1.201422929763794,nuisance,1,0.5248801112174988,0.5248801112174988,nested_override,1,29.877466201782227,0.8542570471763611,13.915351390838623,11,38.732913970947266,6.4533843994140625,s11_nuisance_11,0.5248801112174988,-7.4619669914245605,0
1.442258358001709,nuisance,2,0.41717439889907837,0.8343487977981567,nested_override,2,29.877466201782227,0.6395105123519897,1.9840478897094727,11,44.71324920654297,-4.6964545249938965,s11_nuisance_11,0.9019540846347809,-6.680502414703369,0
2.0797524452209473,nuisance,4,0.21103470027446747,0.8441388010978699,nested_override,4,29.877466201782227,0.683269202709198,29.86211585998535,11,56.13888168334961,-6.671010971069336,s11_nuisance_11,0.6086574383080006,-36.53312683105469,0
1.1431363821029663,nuisance,1,0.5218849182128906,0.5218849182128906,functor,1,33.14052200317383,0.8574249744415283,2.8011865615844727,11,49.16291809082031,-1.502584457397461,s11_nuisance_12,0.5218849182128906,1.2986021041870117,0
1.2376925945281982,nuisance,2,0.2913050651550293,0.5826101303100586,functor,2,33.14052200317383,0.8156567811965942,8.199628710746765,11,54.91900634765625,-7.854039192199707,s11_nuisance_12,0.47805725038051605,0.3455895185470581,0
1.510697364807129,nuisance,4,0.14972497522830963,0.5988999009132385,functor,4,33.14052200317383,0.8026459813117981,19.323729038238525,11,66.87921905517578,-13.972541809082031,s11_nuisance_12,0.38714951649308205,5.351187229156494,0
1.267539620399475,signal,1,0.43034765124320984,0.43034765124320984,nested_short,1,7.478420734405518,0.9035372734069824,1.183232992887497,11,10.049332618713379,-1.0133304595947266,s11_signal_13,0.43034765124320984,0.16990253329277039,0
1.7439059019088745,signal,2,0.37968695163726807,0.7593739032745361,nested_short,2,7.478420734405518,0.6730858087539673,2.5689127445220947,11,15.426557540893555,-1.3018264770507812,s11_signal_13,0.5816090553998947,1.2670862674713135,0
