direction,horizon,margin_absolute_error,model_seed,observed_margin_delta,pair_id,predicted_margin_delta
signal,1,13.41498053073883,11,-11.748510360717773,s11_signal_0,1.6664701700210571
signal,2,0.851285457611084,11,-3.4458837509155273,s11_signal_0,-2.5945982933044434
signal,4,20.064004004001617,11,-20.305519104003906,s11_signal_0,-0.24151510000228882
signal,1,18.273818492889404,11,-16.121013641357422,s11_signal_1,2.1528048515319824
signal,2,14.370009422302246,11,-11.500448226928711,s11_signal_1,2.869561195373535
signal,4,41.35389947891235,11,-42.601383209228516,s11_signal_1,-1.247483730316162
signal,1,8.667110204696655,11,-6.4776225090026855,s11_signal_2,2.1894876956939697
signal,2,17.578354358673096,11,-14.613465309143066,s11_signal_2,2.9648890495300293
signal,4,44.57204627990723,11,-27.412275314331055,s11_signal_2,17.159770965576172
signal,1,1.4897511005401611,11,-3.607172966003418,s11_signal_3,-2.117421865463257
signal,2,7.120148420333862,11,-4.6743035316467285,s11_signal_3,2.445844888687134
signal,4,26.138604044914246,11,-24.862823486328125,s11_signal_3,1.2757805585861206
signal,1,2.972301483154297,11,6.117190361022949,s11_signal_4,3.1448888778686523
signal,2,1.2261552810668945,11,4.00799560546875,s11_signal_4,2.7818403244018555
signal,4,40.31843376159668,11,-22.02077865600586,s11_signal_4,18.29765510559082
nuisance,1,3.054499387741089,11,0.6435976028442383,s11_nuisance_5,-2.4109017848968506
nuisance,2,0.9776942729949951,11,-0.3019237518310547,s11_nuisance_5,-1.2796180248260498
nuisance,4,0.734044075012207,11,-3.531513214111328,s11_nuisance_5,-4.265557289123535
signal,1,18.916509985923767,11,-19.23224639892578,s11_signal_6,-0.31573641300201416
signal,2,9.97199821472168,11,-13.47143840789795,s11_signal_6,-3.4994401931762695
signal,4,22.836525678634644,11,-26.084848403930664,s11_signal_6,-3.2483227252960205
signal,1,17.309674978256226,11,-16.377521514892578,s11_signal_7,0.9321534633636475
signal,2,1.6922879219055176,11,-6.1148223876953125,s11_signal_7,-4.422534465789795
signal,4,53.785584449768066,11,-42.02136993408203,s11_signal_7,11.764214515686035
signal,1,3.7984657287597656,11,-8.79781723022461,s11_signal_8,-12.596282958984375
signal,2,7.123459815979004,11,-14.322422981262207,s11_signal_8,-7.198963165283203
signal,4,33.602670669555664,11,-28.554874420166016,s11_signal_8,5.047796249389648
signal,1,13.230351448059082,11,-11.280693054199219,s11_signal_9,1.9496583938598633
signal,2,15.955858558416367,11,-15.553647994995117,s11_signal_9,0.4022105634212494
signal,4,52.973114013671875,11,-32.42821502685547,s11_signal_9,20.544898986816406
nuisance,1,0.4315638840198517,11,-0.32145071029663086,s11_nuisance_10,0.11011317372322083
nuisance,2,0.9763191118836403,11,-0.8636722564697266,s11_nuisance_10,0.11264685541391373
nuisance,4,3.113025188446045,11,0.8392677307128906,s11_nuisance_10,-2.2737574577331543
nuisance,1,13.915351390838623,11,6.4533843994140625,s11_nuisance_11,-7.4619669914245605
nuisance,2,1.9840478897094727,11,-4.6964545249938965,s11_nuisance_11,-6.680502414703369
nuisance,4,29.86211585998535,11,-6.671010971069336,s11_nuisance_11,-36.53312683105469
nuisance,1,2.8011865615844727,11,-1.502584457397461,s11_nuisance_12,1.2986021041870117
nuisance,2,8.199628710746765,11,-7.854039192199707,s11_nuisance_12,0.3455895185470581
nuisance,4,19.323729038238525,11,-13.972541809082031,s11_nuisance_12,5.351187229156494
signal,1,1.183232992887497,11,-1.0133304595947266,s11_signal_13,0.16990253329277039
signal,2,2.5689127445220947,11,-1.3018264770507812,s11_signal_13,1.2670862674713135
signal,4,26.33139419555664,11,-27.233327865600586,s11_signal_13,-0.9019336700439453
signal,1,15.253551006317139,11,-19.08702850341797,s11_signal_14,-3.83347749710083
signal,2,18.310775756835938,11,-16.318342208862305,s11_signal_14,1.9924335479736328
signal,4,36.61912751197815,11,-38.229976654052734,s11_signal_14,-1.610849142074585
