heads,layers,loss,model_seed,stage,step,width
1,2,12.555829048156738,11,D4,1,16
1,2,0.3262442350387573,11,D4,51,16
1,2,0.020972423255443573,11,D4,101,16
1,2,0.007749379612505436,11,D4,151,16
1,2,0.0038459645584225655,11,D4,201,16
1,2,0.003174043260514736,11,D4,251,16
1,2,0.0027454523369669914,11,D4,301,16
1,2,0.002073836512863636,11,D4,351,16
1,2,0.001544127007946372,11,D4,400,16
1,2,11.895551681518555,23,D4,1,16
1,2,0.4979088604450226,23,D4,51,16
1,2,0.32505205273628235,23,D4,101,16
1,2,0.21265077590942383,23,D4,151,16
1,2,0.2338443100452423,23,D4,201,16
1,2,0.11446650326251984,23,D4,251,16
1,2,0.01208890974521637,23,D4,301,16
1,2,0.0029323259368538857,23,D4,351,16
1,2,0.0019533911254256964,23,D4,400,16
1,2,12.06008529663086,37,D4,1,16
1,2,1.1638574600219727,37,D4,51,16
1,2,0.3519590497016907,37,D4,101,16
1,2,0.022074606269598007,37,D4,151,16
1,2,0.010245910845696926,37,D4,201,16
1,2,0.0065878210589289665,37,D4,251,16
1,2,0.005288237705826759,37,D4,301,16
1,2,0.0041634924709796906,37,D4,351,16
1,2,0.0031632734462618828,37,D4,400,16
