condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
none,0,0,1,,2,-8.71973991394043,11,0.00015722031821496785,11,D4,6,0,16
correct,0,0,1,18.193370819091797,2,9.473630905151367,11,0.9998743534088135,1,D4,6,1,16
shuffled,0,0,1,,2,-8.977434158325195,11,0.00012609401892405003,3,D4,6,0,16
wrong_chain,0,0,1,,2,-2.3965282440185547,11,0.08326387405395508,2,D4,6,0,16
irrelevant,0,0,1,,2,-1.8049325942993164,11,0.1410614550113678,2,D4,6,0,16
reversed,0,0,1,,2,8.742776870727539,11,0.99973064661026,1,D4,6,1,16
none,1,0,1,,2,-8.71973991394043,11,0.00015722031821496785,11,D4,6,0,16
correct,1,0,1,18.193370819091797,2,9.473630905151367,11,0.9998743534088135,1,D4,6,1,16
shuffled,1,0,1,,2,-8.977434158325195,11,0.00012609401892405003,3,D4,6,0,16
wrong_chain,1,0,1,,2,-2.3965282440185547,11,0.08326387405395508,2,D4,6,0,16
irrelevant,1,0,1,,2,-1.8049325942993164,11,0.1410614550113678,2,D4,6,0,16
reversed,1,0,1,,2,8.742776870727539,11,0.99973064661026,1,D4,6,1,16
none,2,0,1,,2,-8.71973991394043,11,0.00015722031821496785,11,D4,6,0,16
correct,2,0,1,18.193370819091797,2,9.473630905151367,11,0.9998743534088135,1,D4,6,1,16
shuffled,2,0,1,,2,-8.977434158325195,11,0.00012609401892405003,3,D4,6,0,16
wrong_chain,2,0,1,,2,-2.3965282440185547,11,0.08326387405395508,2,D4,6,0,16
irrelevant,2,0,1,,2,-1.8049325942993164,11,0.1410614550113678,2,D4,6,0,16
reversed,2,0,1,,2,8.742776870727539,11,0.99973064661026,1,D4,6,1,16
none,3,0,1,,2,-8.71973991394043,11,0.00015722031821496785,11,D4,6,0,16
correct,3,0,1,18.193370819091797,2,9.473630905151367,11,0.9998743534088135,1,D4,6,1,16
shuffled,3,0,1,,2,-10.520014762878418,11,2.690892870305106e-05,13,D4,6,0,16
wrong_chain,3,0,1,,2,-2.3965282440185547,11,0.08326387405395508,2,D4,6,0,16
irrelevant,3,0,1,,2,-1.8049325942993164,11,0.1410614550113678,2,D4,6,0,16
reversed,3,0,1,,2,8.742776870727539,11,0.99973064661026,1,D4,6,1,16
none,4,0,1,,2,-8.71973991394043,11,0.00015722031821496785,11,D4,6,0,16
correct,4,0,1,18.193370819091797,2,9.473630905151367,11,0.9998743534088135,1,D4,6,1,16
shuffled,4,0,1,,2,-10.520014762878418,11,2.690892870305106e-05,13,D4,6,0,16
wrong_chain,4,0,1,,2,-2.3965282440185547,11,0.08326387405395508,2,D4,6,0,16
irrelevant,4,0,1,,2,-1.8049325942993164,11,0.1410614550113678,2,D4,6,0,16
reversed,4,0,1,,2,8.742776870727539,11,0.99973064661026,1,D4,6,1,16
none,5,0,1,,2,-8.71973991394043,11,0.00015722031821496785,11,D4,6,0,16
correct,5,0,1,18.193370819091797,2,9.473630905151367,11,0.9998743534088135,1,D4,6,1,16
shuffled,5,0,1,,2,-8.977434158325195,11,0.00012609401892405003,3,D4,6,0,16
