competent,context_free_accuracy,context_free_mean_rank,correct_accuracy,heads,icl_margin_gain,layers,max_matched_control_accuracy,model_seed,selectivity,stage,width
1,0.125,15.125,1.0,1,12.968062341213226,2,0.125,11,0.875,D4,16
0,0.0,120.625,1.0,1,28.365646064281464,2,1.0,23,0.0,D4,16
1,0.5,11.125,1.0,1,9.670121431350708,2,0.125,37,0.875,D4,16
