budget_tokens,ci_high,ci_low,condition,dataset,mean_answer_logprob_delta,n_examples,ties,wins
64,0.7912982396471002,-1.4263581386146444,bridge_preserving,hotpotqa,-0.2411411516368389,24,4,13
64,0.6629094924777746,-1.7934918565830835,combined_structural,hotpotqa,-0.5276485237603387,24,0,10
128,0.9027781287208199,-0.7951077807073792,bridge_preserving,hotpotqa,0.041290260230501495,24,10,9
128,0.9293828168883911,-0.8344927817893525,combined_structural,hotpotqa,0.06171981866161028,24,0,14
192,0.6382286526883639,-0.5530170319213843,bridge_preserving,hotpotqa,0.04191790365924438,24,5,11
192,0.9755598907591775,-0.4612447320095574,combined_structural,hotpotqa,0.22697821414719024,24,0,10
64,0.8900370430201291,-0.2584846496582031,bridge_preserving,qasper,0.31370850404103595,24,10,11
64,0.39521917551755903,-0.4526763991763194,combined_structural,qasper,0.013171409567197164,24,8,9
128,0.1867373959471782,-0.5752375207841396,bridge_preserving,qasper,-0.15827368199825287,24,14,5
128,0.22739620326707746,-0.35077488863219813,combined_structural,qasper,-0.06177337716023127,24,4,9
192,0.42671893897155905,-0.12186092200378577,bridge_preserving,qasper,0.12984448174635568,24,10,8
192,0.303781172260642,-0.25710171150664485,combined_structural,qasper,0.031041227281093597,24,2,11
