budget_tokens,condition,dataset,mean_answer_logprob,mean_answer_token_accuracy,mean_budget_violation,mean_complete_evidence,mean_end_to_end_time_ns,mean_evidence_recall,mean_materialization_time_ns,mean_materialized_kv_bytes,mean_peak_device_bytes,mean_selection_time_ns,n_examples
64,agreement,hotpotqa,-4.30852036519597,0.31580087170004845,0.0,0.0,2289615442.4583335,0.1962797619047619,546758498.3333334,7340032.0,3114883925.3333335,56471.75,24
128,agreement,hotpotqa,-3.4378010788932443,0.42441378968457383,0.0,0.0,2296462863.1666665,0.3613095238095238,975777501.25,14680064.0,3113941162.6666665,57748.291666666664,24
192,agreement,hotpotqa,-3.0535075295095644,0.5254238899797201,0.0,0.0,2690472810.0416665,0.5155919312169311,1250042759.9583333,22020096.0,3113957376.0,57656.583333333336,24
64,base_topk,hotpotqa,-3.568651438690722,0.4171897607545058,0.0,0.0,3898794230.125,0.2303075396825397,617261777.0416666,7340032.0,3115403093.3333335,57847.458333333336,24
128,base_topk,hotpotqa,-3.101155821233988,0.47610029640297097,0.0,0.0,2722574881.4583335,0.40049603174603177,1050731283.5,14680064.0,3113941162.6666665,37217.833333333336,24
192,base_topk,hotpotqa,-2.7792290837193527,0.5507215068986019,0.0,0.041666666666666664,3075470135.25,0.5315641534391534,1327465674.125,22020096.0,3113957376.0,47761.583333333336,24
64,bridge_preserving,hotpotqa,-3.809792590327561,0.39604077115654945,0.0,0.0,2076539895.9166667,0.29280753968253964,543553005.5833334,7340032.0,3114272597.3333335,53270.791666666664,24
128,bridge_preserving,hotpotqa,-3.059865561003486,0.5080447401851416,0.0,0.08333333333333333,2415053249.5416665,0.46547619047619043,975793017.125,14680064.0,3113941162.6666665,56902.708333333336,24
192,bridge_preserving,hotpotqa,-2.7373111800601087,0.5323683352520069,0.0,0.08333333333333333,2642969749.3333335,0.6444609788359789,1262556080.75,22020096.0,3113957376.0,54567.291666666664,24
64,budget_tuned_topk,hotpotqa,-3.568651438690722,0.4171897607545058,0.0,0.0,3898794230.125,0.2303075396825397,617261777.0416666,7340032.0,3115403093.3333335,53054.0,24
128,budget_tuned_topk,hotpotqa,-3.101155821233988,0.47610029640297097,0.0,0.0,2722574881.4583335,0.40049603174603177,1050731283.5,14680064.0,3113941162.6666665,51396.333333333336,24
192,budget_tuned_topk,hotpotqa,-2.7792290837193527,0.5507215068986019,0.0,0.041666666666666664,3075470135.25,0.5315641534391534,1327465674.125,22020096.0,3113957376.0,55907.083333333336,24
64,combined_structural,hotpotqa,-4.09629996245106,0.38347764126956463,0.0,0.0,1725719744.9166667,0.2682705026455026,556761707.75,7340032.0,3114099712.0,99665.79166666667,24
128,combined_structural,hotpotqa,-3.0394360025723777,0.491314943258961,0.0,0.041666666666666664,2214182621.0416665,0.4638723544973545,974731232.625,14680064.0,3113941162.6666665,91444.33333333333,24
192,combined_structural,hotpotqa,-2.5522508695721626,0.569092720746994,0.0,0.16666666666666666,2564641256.25,0.6520502645502645,1257867526.0416667,22020096.0,3113957376.0,102468.45833333333,24
64,community,hotpotqa,-3.664792745063702,0.4400072240581115,0.0,0.0,3287668980.0416665,0.20322420634920638,541649120.875,7340032.0,3115232768.0,48555.083333333336,24
128,community,hotpotqa,-3.524103507399559,0.4240169630696376,0.0,0.0,2419328978.6666665,0.369593253968254,976318618.5416666,14680064.0,3113941162.6666665,53864.291666666664,24
192,community,hotpotqa,-2.903409785591066,0.4986381735652685,0.0,0.0,2876550956.875,0.4916335978835978,1328055340.375,22020096.0,3113957376.0,50741.166666666664,24
64,entropy_adaptive_sharpen,hotpotqa,-3.568651438690722,0.4171897607545058,0.0,0.0,3898794230.125,0.2303075396825397,617261777.0416666,7340032.0,3115403093.3333335,105091.375,24
