heads,layers,loss,model_seed,stage,step,width
2,2,17.703588485717773,11,D0,1,32
2,2,1.1781747341156006,11,D0,51,32
2,2,1.0735951662063599,11,D0,101,32
2,2,0.9514973163604736,11,D0,151,32
2,2,0.8937373161315918,11,D0,201,32
2,2,0.927609920501709,11,D0,251,32
2,2,0.6550225019454956,11,D0,301,32
2,2,0.5289226770401001,11,D0,351,32
2,2,0.4143357276916504,11,D0,400,32
2,2,19.184926986694336,23,D0,1,32
2,2,1.022602915763855,23,D0,51,32
2,2,1.0790655612945557,23,D0,101,32
2,2,0.7941830158233643,23,D0,151,32
2,2,1.0097905397415161,23,D0,201,32
2,2,0.6577800512313843,23,D0,251,32
2,2,0.446160227060318,23,D0,301,32
2,2,0.6447970867156982,23,D0,351,32
2,2,0.5755776762962341,23,D0,400,32
2,2,21.220447540283203,37,D0,1,32
2,2,1.179591417312622,37,D0,51,32
2,2,1.128472924232483,37,D0,101,32
2,2,0.8526122570037842,37,D0,151,32
2,2,0.9309334754943848,37,D0,201,32
2,2,0.7400328516960144,37,D0,251,32
2,2,0.39636582136154175,37,D0,301,32
2,2,0.33443397283554077,37,D0,351,32
2,2,0.4721587002277374,37,D0,400,32
2,2,18.995712280273438,11,D1,1,32
2,2,0.37769684195518494,11,D1,51,32
2,2,0.011098897084593773,11,D1,101,32
2,2,0.0012625406961888075,11,D1,151,32
2,2,20.05263900756836,23,D1,1,32
2,2,0.7775317430496216,23,D1,51,32
2,2,0.004427406005561352,23,D1,101,32
2,2,0.0005076405359432101,23,D1,151,32
2,2,21.41299057006836,37,D1,1,32
2,2,0.4435434937477112,37,D1,51,32
2,2,0.015093949623405933,37,D1,101,32
2,2,0.001290075364522636,37,D1,151,32
2,2,18.995712280273438,11,D2,1,32
2,2,0.3776969015598297,11,D2,51,32
2,2,0.01109890453517437,11,D2,101,32
2,2,0.001262544421479106,11,D2,151,32
2,2,20.05263900756836,23,D2,1,32
2,2,0.777531623840332,23,D2,51,32
2,2,0.00442740973085165,23,D2,101,32
2,2,0.0005076405359432101,23,D2,151,32
2,2,21.41299057006836,37,D2,1,32
2,2,0.44354334473609924,37,D2,51,32
2,2,0.015093966387212276,37,D2,101,32
2,2,0.0012900697765871882,37,D2,151,32
2,2,21.655487060546875,11,D3,1,32
2,2,0.01376345194876194,11,D3,51,32
2,2,0.0009509812807664275,11,D3,101,32
2,2,29.003334045410156,23,D3,1,32
2,2,0.0458417609333992,23,D3,51,32
2,2,0.0013733103405684233,23,D3,101,32
2,2,19.410598754882812,37,D3,1,32
2,2,0.2292465716600418,37,D3,51,32
2,2,0.0008983892621472478,37,D3,101,32
2,2,21.329713821411133,11,D4,1,32
2,2,0.011887598782777786,11,D4,51,32
2,2,0.0011830085422843695,11,D4,101,32
2,2,27.97135353088379,23,D4,1,32
2,2,0.24379892647266388,23,D4,51,32
2,2,0.0017424259567633271,23,D4,101,32
2,2,19.760456085205078,37,D4,1,32
2,2,0.9470819234848022,37,D4,51,32
2,2,0.33222419023513794,37,D4,101,32
2,2,0.31158557534217834,37,D4,151,32
2,2,0.008408324792981148,37,D4,201,32
2,2,0.0008285022340714931,37,D4,251,32
1,1,7.64072322845459,11,D4,1,8
1,1,2.8645520210266113,11,D4,51,8
1,1,1.5703175067901611,11,D4,101,8
1,1,1.2963178157806396,11,D4,151,8
1,1,1.1775349378585815,11,D4,201,8
1,1,1.066852331161499,11,D4,251,8
1,1,1.0805606842041016,11,D4,301,8
1,1,1.1149309873580933,11,D4,351,8
1,1,1.0249063968658447,11,D4,400,8
2,1,7.690739631652832,11,D4,1,8
2,1,2.8899762630462646,11,D4,51,8
2,1,1.5713365077972412,11,D4,101,8
2,1,1.2906560897827148,11,D4,151,8
2,1,1.0054796934127808,11,D4,201,8
2,1,0.47226816415786743,11,D4,251,8
2,1,0.4139888286590576,11,D4,301,8
2,1,0.5382450819015503,11,D4,351,8
2,1,0.330693781375885,11,D4,400,8
1,1,12.458041191101074,11,D4,1,16
1,1,0.8683736324310303,11,D4,51,16
1,1,0.5222845673561096,11,D4,101,16
1,1,0.047955479472875595,11,D4,151,16
1,1,0.0060895574279129505,11,D4,201,16
1,1,0.005180736538022757,11,D4,251,16
1,1,0.0040926868095994,11,D4,301,16
1,1,0.0029164107982069254,11,D4,351,16
1,1,0.002093769609928131,11,D4,400,16
2,1,12.509700775146484,11,D4,1,16
2,1,0.9227385520935059,11,D4,51,16
2,1,0.1810908317565918,11,D4,101,16
2,1,0.018045375123620033,11,D4,151,16
2,1,0.005774098448455334,11,D4,201,16
2,1,0.005177448503673077,11,D4,251,16
2,1,0.0036055734381079674,11,D4,301,16
2,1,0.0035398253239691257,11,D4,351,16
2,1,0.002110052388161421,11,D4,400,16
1,1,21.223674774169922,11,D4,1,32
