loss,step
26.279287338256836,1
0.40962734818458557,50
0.4164479076862335,100
0.6315104961395264,150
0.25403672456741333,200
0.2836006283760071,250
0.17031250894069672,300
0.014345163479447365,350
0.0006501841126009822,400
0.00022355219698511064,450
0.00010250858031213284,500
9.456633415538818e-05,550
0.00010248513717669994,600
5.7268200180260465e-05,650
5.389791476773098e-05,700
3.573697176761925e-05,750
2.872430377465207e-05,800
4.006017843494192e-05,850
4.096714474144392e-05,900
2.4077431589830667e-05,950
2.440549542370718e-05,1000
2.66210590780247e-05,1050
2.185690391343087e-05,1100
2.0147608665865846e-05,1150
1.917724330269266e-05,1200
2.6884246835834347e-05,1250
1.975632221729029e-05,1300
4.244276351528242e-05,1350
1.6690768461558037e-05,1400
1.6430050891358405e-05,1450
1.914008316816762e-05,1500
2.9472470487235114e-05,1550
1.1918475138372742e-05,1600
