accuracy,boundary,gate_passed,margin_signal,margin_snr,margin_variance,model_seed,predictive_order,stage
0.0,0,True,-34.98129045963287,-4.088322179326204,73.21185773942314,11,1,s1
0.0,0,True,-35.46186939626932,-4.8366323669412745,53.7572564723028,11,2,s1
0.0,0,True,-36.46009969711304,-4.542175561492899,64.4329285617587,11,3,s1
0.01171875,1,True,-21.564583621919155,-2.807609938165678,58.9941043327477,11,1,s1
0.0625,1,True,-12.07744100317359,-1.4636223248620626,68.09132713095744,11,2,s1
0.0859375,1,True,-13.813011191785336,-1.5855734260958212,75.8934001382066,11,3,s1
0.015625,2,True,-19.74013900756836,-2.4752657026975724,63.59994858177006,11,1,s1
0.1484375,2,True,-7.426849786192179,-1.0780636871497422,47.45920341670369,11,2,s1
0.296875,2,True,-3.5870966650545597,-0.5874930751878418,37.28040798043706,11,3,s1
0.61328125,3,True,3.2419038377702236,0.4255125160072778,58.04643861433564,11,1,s1
0.86328125,3,True,8.758249551057816,1.1098123719414488,62.27812187899441,11,2,s1
0.875,3,True,5.537528693675995,1.0608029815467,27.249749585518572,11,3,s1
0.72265625,4,True,3.9229874908924103,0.5561329403057461,49.75956871106895,11,1,s1
0.88671875,4,True,9.75760930404067,1.3851594303279686,49.62349214691375,11,2,s1
0.9453125,4,True,7.0678545869886875,1.4091052404852191,25.158708970759484,11,3,s1
0.97265625,5,True,8.77469602227211,1.6488287966161435,28.321290129307762,11,1,s1
0.99609375,5,True,12.368710838258266,2.5232928919583735,24.02777431997121,11,2,s1
0.9609375,5,True,8.151987738907337,1.6601466900245323,24.112048453665842,11,3,s1
0.9765625,6,True,9.330539483577013,1.881224196701194,24.599846525808747,11,1,s1
0.9921875,6,True,12.927116747945547,2.865012814550288,20.358707569927795,11,2,s1
0.98046875,6,True,8.699418660253286,1.9357199014595392,20.197398444994665,11,3,s1
0.984375,7,True,10.535567060112953,2.3307387900424814,20.43283477177024,11,1,s1
0.99609375,7,True,13.393743984401226,3.092449757829738,18.758524784903187,11,2,s1
0.98828125,7,True,8.836612824350595,2.202426527802737,16.09788403637213,11,3,s1
0.98828125,8,True,10.616853270679712,2.4917529002523247,18.154391026028033,11,1,s1
1.0,8,True,13.369201596826315,3.166643734463845,17.82430204788315,11,2,s1
0.98828125,8,True,9.421183161437511,2.53631661663358,13.797613017511576,11,3,s1
0.9921875,9,True,10.759224485605955,2.6275234087549633,16.7675167892508,11,1,s1
1.0,9,True,12.819998368620872,3.359897328696221,14.558744572687216,11,2,s1
0.984375,9,True,9.623011540621519,2.565000339105617,14.074959673848348,11,3,s1
0.9921875,10,True,10.714670356363058,2.696619607652221,15.787677710392654,11,1,s1
0.99609375,10,True,12.53789971396327,3.4732033965421003,13.031342189556321,11,2,s1
0.984375,10,True,9.798126693814993,2.6871776408268047,13.295153221191086,11,3,s1
0.9921875,11,True,10.65246007218957,2.7596285965754674,14.900421590953865,11,1,s1
0.99609375,11,True,12.185362335294485,3.5255534598788443,11.945993821588878,11,2,s1
0.98828125,11,True,9.86306669190526,2.7787468560871083,12.598706840617563,11,3,s1
0.9921875,12,True,10.388303257524967,2.8361719568775015,13.416033093971706,11,1,s1
0.9921875,12,True,11.718668926507235,3.5125203012063073,11.130607880133912,11,2,s1
0.98828125,12,True,9.796953309327364,2.6459211339697117,13.709710554614167,11,3,s1
0.0,0,True,-33.6172601133585,-3.869931466069953,75.4602224156928,23,1,s1
0.0,0,True,-35.72117404639721,-4.217228437639015,71.74591785248144,23,2,s1
0.0,0,True,-40.380772300064564,-3.796934701935714,113.1053074730302,23,3,s1
0.23046875,1,True,-10.224233649671078,-0.8084464915453575,159.94069173724552,23,1,s1
0.2109375,1,True,-11.575307868421078,-0.8770752440225104,174.17723644394803,23,2,s1
0.27734375,1,True,-8.646059773862362,-0.6748336466550151,164.15080288279017,23,3,s1
0.2890625,2,True,-7.371463742107153,-0.6734279036649852,119.81887906446043,23,1,s1
0.30078125,2,True,-8.311419103294611,-0.7422981443472013,125.36999673225424,23,2,s1
0.30859375,2,True,-4.365412849932909,-0.48109045081079255,82.33740428968747,23,3,s1
0.640625,3,True,3.2730617560446262,0.3888827208531606,70.83878535564575,23,1,s1
0.6875,3,True,3.216233938932419,0.41524276269171506,59.99169286958386,23,2,s1
0.8828125,3,True,7.35180489346385,1.0813802843689482,46.220118144481944,23,3,s1
0.671875,4,True,3.465709261596203,0.43110301715455385,64.62821023917778,23,1,s1
0.7421875,4,True,4.130928091704845,0.5651087924490308,53.43565549660782,23,2,s1
0.890625,4,True,7.217584379017353,1.148101725552065,39.5205518400413,23,3,s1
0.921875,5,True,8.342711959034204,1.4173325930133185,34.64742393868622,23,1,s1
0.90625,5,True,7.762148946523666,1.42313508884497,29.748953339800266,23,2,s1
0.98828125,5,True,8.71518138796091,2.003981376265065,18.913221046799023,23,3,s1
0.92578125,6,True,8.397431425750256,1.5229903182702054,30.401754446079796,23,1,s1
0.9375,6,True,8.573526438325644,1.7390656211440674,24.304519701756114,23,2,s1
0.9921875,6,True,9.62920194864273,2.3898705747187017,16.234234903852403,23,3,s1
0.9375,7,True,9.378752797842026,1.7559085125120206,28.528990825444442,23,1,s1
0.9765625,7,True,9.260431226342916,2.1059217131132413,19.33650485307229,23,2,s1
1.0,7,True,9.868677653372288,2.6844912878200633,13.514311627467183,23,3,s1
0.94140625,8,True,9.228069871664047,1.7480590304684707,27.86824112987436,23,1,s1
1.0,8,True,10.156935039907694,2.5012640579345193,16.489453579460378,23,2,s1
1.0,8,True,10.38694392889738,2.897006568398597,12.855134186027243,23,3,s1
0.94140625,9,True,8.958817634731531,1.781888940203011,25.277849726354,23,1,s1
