between_centroid_variance,boundary,effective_rank,hierarchy_rsa,interpretation_status,model_seed,nearest_class_recovery,predictive_order,residual_covariance_trace,stage,within_between_ratio,within_dispersion
37.339869905152256,0,19.5986929499783,0.38747868330383234,eligible,11,0.80859375,1,56.31925549031361,s1,1.6500558535305485,22.62945815364813
20.193547549839902,0,19.678118234336523,0.3737827514628592,eligible,11,0.8125,2,55.81586632913845,s1,0.5198991503981916,38.84127821554361
17.348273410705815,0,19.80297047584759,0.48696536862663053,eligible,11,0.7734375,3,55.9331061555911,s1,0.3762997192702717,46.10227570880188
93.19011257831866,1,8.671684721074877,0.7930692198154096,eligible,11,0.9609375,1,122.56610797717413,s1,2.8444599132806805,32.76197077511017
68.17657013016142,1,9.548336882533157,0.735637723510029,eligible,11,0.9375,2,130.68522904367126,s1,1.0000677892963392,68.17194879172209
54.65380690041895,1,14.617430789950781,0.6767027561533459,eligible,11,0.87890625,3,107.21639918677579,s1,0.7030377825205415,77.73950170564508
130.1960658783421,2,6.206802727777645,0.7595803773653464,eligible,11,0.94921875,1,165.42375537067886,s1,3.292094001999824,39.54810092492253
90.90786173826862,2,7.493589138746442,0.7426414728112192,eligible,11,0.890625,2,182.48044832792982,s1,0.9911649193026748,91.71819942166071
79.5773759758914,2,12.761954559233647,0.6095865855997735,eligible,11,0.890625,3,137.7571086792812,s1,0.817874885277369,97.2977375882196
425.5898928217745,3,10.494844960181744,0.9278995227820066,eligible,11,1.0,1,501.91850524278004,s1,5.624788858548525,75.6632654963959
423.923740468531,3,8.83786383033542,0.9218314989567267,eligible,11,1.0,2,595.5653763108235,s1,2.4460128013392484,173.31215119232525
286.2607760092592,3,9.973166669265106,0.8792840730800519,eligible,11,0.99609375,3,347.03081414124733,s1,1.7339911062968139,165.08779944279536
480.2099114274206,4,10.025577336328167,0.9309357454469848,eligible,11,1.0,1,565.3273116736008,s1,5.869668045707173,81.81210719742987
486.2840927109497,4,8.81741662007016,0.9231382643581153,eligible,11,1.0,2,678.0483476845695,s1,2.4870379356943144,195.52741263286032
309.01794230522916,4,9.482264507734744,0.8826560886410928,eligible,11,0.984375,3,373.4079192091417,s1,1.7759029042842491,174.0061022153771
702.566678587211,5,10.164401718781816,0.9394272597631842,eligible,11,1.0,1,825.6073304087323,s1,6.570322058440751,106.93032583066999
665.3823083067545,5,8.946798220011697,0.9244909035868812,eligible,11,1.0,2,875.2541582939881,s1,2.8606242945855627,232.60038360771404
414.4512599282243,5,8.632874400689484,0.8987995192903369,eligible,11,1.0,3,480.63479604634864,s1,2.010520465179131,206.1412788808359
767.3504763041896,6,9.786947534739337,0.9430956638497969,eligible,11,1.0,1,901.7200408362033,s1,6.704985909372734,114.4447559784547
744.7183049982237,6,8.648476480063515,0.9251990113899061,eligible,11,1.0,2,971.9322228175432,s1,2.95267007977091,252.21859701524048
438.47600951707904,6,8.379896452494627,0.9048933610630827,eligible,11,1.0,3,504.18996922753934,s1,2.0732628613564126,211.49079437494848
955.8454966054911,7,9.656575456456338,0.9412829660398604,eligible,11,1.0,1,1134.735372454677,s1,7.030099037665761,135.96472701365587
898.4730294128728,7,8.373603516277733,0.9135057695846636,eligible,11,1.0,2,1137.0991750273056,s1,3.313402858128981,271.1632324380532
501.2468517392925,7,8.096309479498574,0.9040404057023358,eligible,11,1.0,3,577.8098891709925,s1,2.0636825959579737,242.8895086387904
1006.6333442800399,8,9.478508132690294,0.9404680086683354,eligible,11,1.0,1,1193.4564854863768,s1,7.114172674070557,141.496895046958
941.870699092103,8,8.391996682943274,0.9127648583420476,eligible,11,1.0,2,1188.262548919912,s1,3.33783511085995,282.180116086101
543.0596360578548,8,7.546284246442252,0.9064252845342845,eligible,11,1.0,3,619.6083739619536,s1,2.170583553747303,250.19061583628468
