accuracy,gate_passed,label_mode,mean_margin,model_seed,n,ontology_family,position_mode,predictive_order,query_level,stage
1.0,True,natural,12.094386219978333,23,128,b2-d2-i16,randomized,,root,s1
1.0,True,arbitrary,10.208095893263817,23,128,b2-d2-i16,aligned,,parent,s1
0.9375,True,arbitrary,7.893475964665413,23,128,b2-d2-i16,randomized,,parent,s1
1.0,True,arbitrary,13.510829292237759,23,128,b2-d2-i16,aligned,,ancestor,s1
1.0,True,arbitrary,12.68842027336359,23,128,b2-d2-i16,randomized,,ancestor,s1
1.0,True,arbitrary,12.829466357827187,23,128,b2-d2-i16,aligned,,root,s1
1.0,True,arbitrary,11.870413362979889,23,128,b2-d2-i16,randomized,,root,s1
0.9765625,True,natural,9.426715947687626,23,128,b2-d3-i8,aligned,,parent,s1
1.0,True,natural,9.156613945960999,23,128,b2-d3-i8,randomized,,parent,s1
1.0,True,natural,11.591808959841728,23,128,b2-d3-i8,aligned,,ancestor,s1
1.0,True,natural,10.906738139688969,23,128,b2-d3-i8,randomized,,ancestor,s1
1.0,True,natural,12.255904361605644,23,128,b2-d3-i8,aligned,,root,s1
0.984375,True,natural,11.526305302977562,23,128,b2-d3-i8,randomized,,root,s1
1.0,True,arbitrary,12.287882201373577,23,128,b2-d3-i8,aligned,,parent,s1
1.0,True,arbitrary,11.848530001938343,23,128,b2-d3-i8,randomized,,parent,s1
1.0,True,arbitrary,12.401165589690208,23,128,b2-d3-i8,aligned,,ancestor,s1
1.0,True,arbitrary,11.014127902686596,23,128,b2-d3-i8,randomized,,ancestor,s1
1.0,True,arbitrary,11.555076256394386,23,128,b2-d3-i8,aligned,,root,s1
1.0,True,arbitrary,11.650247156620026,23,128,b2-d3-i8,randomized,,root,s1
0.9765625,True,natural,9.426715947687626,23,128,b2-d3-i16,aligned,,parent,s1
1.0,True,natural,9.185704544186592,23,128,b2-d3-i16,randomized,,parent,s1
1.0,True,natural,11.591808959841728,23,128,b2-d3-i16,aligned,,ancestor,s1
1.0,True,natural,10.248980604112148,23,128,b2-d3-i16,randomized,,ancestor,s1
1.0,True,natural,12.255904361605644,23,128,b2-d3-i16,aligned,,root,s1
0.9921875,True,natural,11.818640097975731,23,128,b2-d3-i16,randomized,,root,s1
1.0,True,arbitrary,12.287882201373577,23,128,b2-d3-i16,aligned,,parent,s1
1.0,True,arbitrary,11.457198664546013,23,128,b2-d3-i16,randomized,,parent,s1
1.0,True,arbitrary,12.401165589690208,23,128,b2-d3-i16,aligned,,ancestor,s1
1.0,True,arbitrary,10.901177920401096,23,128,b2-d3-i16,randomized,,ancestor,s1
1.0,True,arbitrary,11.555076256394386,23,128,b2-d3-i16,aligned,,root,s1
1.0,True,arbitrary,11.303355798125267,23,128,b2-d3-i16,randomized,,root,s1
0.9921875,True,natural,9.891045942902565,23,128,b4-d2-i8,aligned,,parent,s1
0.953125,True,natural,8.255084820091724,23,128,b4-d2-i8,randomized,,parent,s1
1.0,True,natural,10.220671780407429,23,128,b4-d2-i8,aligned,,ancestor,s1
1.0,True,natural,9.372870825231075,23,128,b4-d2-i8,randomized,,ancestor,s1
1.0,True,natural,11.223774425685406,23,128,b4-d2-i8,aligned,,root,s1
0.984375,True,natural,10.243239648640156,23,128,b4-d2-i8,randomized,,root,s1
0.9765625,True,arbitrary,9.361942745745182,23,128,b4-d2-i8,aligned,,parent,s1
0.8515625,True,arbitrary,5.953470937907696,23,128,b4-d2-i8,randomized,,parent,s1
1.0,True,arbitrary,10.56899918615818,23,128,b4-d2-i8,aligned,,ancestor,s1
0.953125,True,arbitrary,9.075176261365414,23,128,b4-d2-i8,randomized,,ancestor,s1
1.0,True,arbitrary,10.239145040512085,23,128,b4-d2-i8,aligned,,root,s1
1.0,True,arbitrary,10.164170399308205,23,128,b4-d2-i8,randomized,,root,s1
0.9921875,True,natural,9.891045942902565,23,128,b4-d2-i16,aligned,,parent,s1
0.8984375,True,natural,7.366388157010078,23,128,b4-d2-i16,randomized,,parent,s1
1.0,True,natural,10.220671780407429,23,128,b4-d2-i16,aligned,,ancestor,s1
1.0,True,natural,9.378801837563515,23,128,b4-d2-i16,randomized,,ancestor,s1
1.0,True,natural,11.223774425685406,23,128,b4-d2-i16,aligned,,root,s1
1.0,True,natural,10.672707341611385,23,128,b4-d2-i16,randomized,,root,s1
0.9765625,True,arbitrary,9.361942745745182,23,128,b4-d2-i16,aligned,,parent,s1
0.8515625,True,arbitrary,5.63557880371809,23,128,b4-d2-i16,randomized,,parent,s1
1.0,True,arbitrary,10.56899918615818,23,128,b4-d2-i16,aligned,,ancestor,s1
0.9453125,True,arbitrary,8.774044699966908,23,128,b4-d2-i16,randomized,,ancestor,s1
1.0,True,arbitrary,10.239145040512085,23,128,b4-d2-i16,aligned,,root,s1
0.96875,True,arbitrary,10.051376983523369,23,128,b4-d2-i16,randomized,,root,s1
0.96875,True,natural,5.9685778096318245,23,128,b4-d3-i8,aligned,,parent,s1
0.953125,True,natural,5.530345790088177,23,128,b4-d3-i8,randomized,,parent,s1
0.96875,True,natural,7.477655932307243,23,128,b4-d3-i8,aligned,,ancestor,s1
0.9140625,True,natural,6.285363607108593,23,128,b4-d3-i8,randomized,,ancestor,s1
1.0,True,natural,10.986848622560501,23,128,b4-d3-i8,aligned,,root,s1
1.0,True,natural,10.323332220315933,23,128,b4-d3-i8,randomized,,root,s1
0.9375,True,arbitrary,6.6316699385643005,23,128,b4-d3-i8,aligned,,parent,s1
0.9140625,True,arbitrary,6.204862378537655,23,128,b4-d3-i8,randomized,,parent,s1
0.953125,True,arbitrary,7.338151961565018,23,128,b4-d3-i8,aligned,,ancestor,s1
0.8671875,True,arbitrary,6.2604188323020935,23,128,b4-d3-i8,randomized,,ancestor,s1
0.984375,True,arbitrary,9.15326988697052,23,128,b4-d3-i8,aligned,,root,s1
0.9765625,True,arbitrary,8.716214537620544,23,128,b4-d3-i8,randomized,,root,s1
0.96875,True,natural,5.9685778096318245,23,128,b4-d3-i16,aligned,,parent,s1
0.96875,True,natural,5.514885671436787,23,128,b4-d3-i16,randomized,,parent,s1
0.96875,True,natural,7.477655932307243,23,128,b4-d3-i16,aligned,,ancestor,s1
0.890625,True,natural,6.287158757448196,23,128,b4-d3-i16,randomized,,ancestor,s1
1.0,True,natural,10.986848622560501,23,128,b4-d3-i16,aligned,,root,s1
0.96875,True,natural,9.990745179355145,23,128,b4-d3-i16,randomized,,root,s1
0.9375,True,arbitrary,6.6316699385643005,23,128,b4-d3-i16,aligned,,parent,s1
0.953125,True,arbitrary,6.266050830483437,23,128,b4-d3-i16,randomized,,parent,s1
0.953125,True,arbitrary,7.338151961565018,23,128,b4-d3-i16,aligned,,ancestor,s1
0.921875,True,arbitrary,5.993778496980667,23,128,b4-d3-i16,randomized,,ancestor,s1
0.984375,True,arbitrary,9.15326988697052,23,128,b4-d3-i16,aligned,,root,s1
0.9921875,True,arbitrary,9.436699405312538,23,128,b4-d3-i16,randomized,,root,s1
0.0546875,False,natural,-22.92529347538948,11,128,,aligned,4,,s2
0.0546875,False,natural,-22.90256328880787,11,128,,randomized,4,,s2
0.0546875,False,arbitrary,-22.0096298456192,11,128,,aligned,4,,s2
0.0546875,False,arbitrary,-21.529091835021973,11,128,,randomized,4,,s2
0.046875,False,natural,-15.386878624558449,23,128,,aligned,4,,s2
0.078125,False,natural,-15.611746996641159,23,128,,randomized,4,,s2
0.046875,False,arbitrary,-18.10890866816044,23,128,,aligned,4,,s2
0.0625,False,arbitrary,-18.516354620456696,23,128,,randomized,4,,s2
1.0,True,arbitrary,14.135914370417595,11,128,,aligned,1,,s3
1.0,True,arbitrary,14.56722941994667,11,128,,randomized,1,,s3
1.0,True,arbitrary,13.670808896422386,11,128,,aligned,2,,s3
0.9921875,True,arbitrary,13.110239893198013,11,128,,randomized,2,,s3
1.0,True,arbitrary,10.09412507712841,11,128,,aligned,3,,s3
1.0,True,arbitrary,9.779750674962997,11,128,,randomized,3,,s3
1.0,True,arbitrary,19.307844936847687,23,128,,aligned,1,,s3
1.0,True,arbitrary,19.167394146323204,23,128,,randomized,1,,s3
1.0,True,arbitrary,12.243012547492981,23,128,,aligned,2,,s3
1.0,True,arbitrary,11.973830237984657,23,128,,randomized,2,,s3
1.0,True,arbitrary,12.578186631202698,23,128,,aligned,3,,s3
1.0,True,arbitrary,12.093698039650917,23,128,,randomized,3,,s3
