condition,depth,example_id,final_correct,generated_steps,seed,termination_correct,trajectory_exact,transition_accuracy
O0,4,29,0,1,11,1,0,0
O0,4,30,0,1,11,1,0,0
O0,4,31,0,1,11,1,0,0
O0,4,32,0,1,11,1,0,0
O0,4,33,0,1,11,1,0,0
O0,4,34,0,1,11,1,0,0
O0,4,35,0,1,11,1,0,0
O0,4,36,0,1,11,1,0,0
O0,4,37,0,1,11,1,0,0
O0,4,38,0,1,11,1,0,0
O0,4,39,0,1,11,1,0,0
O0,4,40,0,1,11,1,0,0
O0,4,41,0,1,11,1,0,0
O0,4,42,0,1,11,1,0,0
O0,4,43,0,1,11,1,0,0
O0,4,44,0,1,11,1,0,0
O0,4,45,0,1,11,1,0,0
O0,4,46,0,1,11,1,0,0
O0,4,47,0,1,11,1,0,0
O0,4,48,0,1,11,1,0,0
O0,4,49,0,1,11,1,0,0
O0,4,50,0,1,11,1,0,0
O0,4,51,0,1,11,1,0,0
O0,4,52,0,1,11,1,0,0
O0,4,53,0,1,11,1,0,0
O0,4,54,0,1,11,1,0,0
O0,4,55,0,1,11,1,0,0
O0,4,56,0,1,11,1,0,0
O0,4,57,0,1,11,1,0,0
O0,4,58,0,1,11,1,0,0
O0,4,59,0,1,11,1,0,0
O0,4,60,0,1,11,1,0,0
O0,4,61,0,1,11,1,0,0
O0,4,62,0,1,11,1,0,0
O0,4,63,0,1,11,1,0,0
O0,6,0,0,1,11,1,0,0
O0,6,1,0,1,11,1,0,0
O0,6,2,0,1,11,1,0,0
O0,6,3,0,1,11,1,0,0
O0,6,4,0,1,11,1,0,0
O0,6,5,0,1,11,1,0,0
O0,6,6,0,1,11,1,0,0
O0,6,7,0,1,11,1,0,0
O0,6,8,0,1,11,1,0,0
O0,6,9,0,1,11,1,0,0
O0,6,10,0,1,11,1,0,0
O0,6,11,0,1,11,1,0,0
O0,6,12,0,1,11,1,0,0
O0,6,13,0,1,11,1,0,0
O0,6,14,0,1,11,1,0,0
O0,6,15,0,1,11,1,0,0
O0,6,16,0,1,11,1,0,0
O0,6,17,0,1,11,1,0,0
O0,6,18,0,1,11,1,0,0
O0,6,19,0,1,11,1,0,0
O0,6,20,0,1,11,1,0,0
O0,6,21,0,1,11,1,0,0
O0,6,22,0,1,11,1,0,0
O0,6,23,0,1,11,1,0,0
O0,6,24,0,1,11,1,0,0
O0,6,25,0,1,11,1,0,0
O0,6,26,0,1,11,1,0,0
O0,6,27,0,1,11,1,0,0
O0,6,28,0,1,11,1,0,0
O0,6,29,0,1,11,1,0,0
O0,6,30,0,1,11,1,0,0
O0,6,31,0,1,11,1,0,0
O0,6,32,0,1,11,1,0,0
O0,6,33,0,1,11,1,0,0
O0,6,34,0,1,11,1,0,0
O0,6,35,0,1,11,1,0,0
O0,6,36,0,1,11,1,0,0
O0,6,37,0,1,11,1,0,0
O0,6,38,0,1,11,1,0,0
O0,6,39,0,1,11,1,0,0
O0,6,40,0,1,11,1,0,0
O0,6,41,0,1,11,1,0,0
O0,6,42,0,1,11,1,0,0
O0,6,43,0,1,11,1,0,0
O0,6,44,0,1,11,1,0,0
O0,6,45,0,1,11,1,0,0
O0,6,46,0,1,11,1,0,0
O0,6,47,0,1,11,1,0,0
O0,6,48,0,1,11,1,0,0
O0,6,49,0,1,11,1,0,0
O0,6,50,0,1,11,1,0,0
O0,6,51,0,1,11,1,0,0
O0,6,52,0,1,11,1,0,0
O0,6,53,0,1,11,1,0,0
O0,6,54,0,1,11,1,0,0
O0,6,55,0,1,11,1,0,0
O0,6,56,0,1,11,1,0,0
O0,6,57,0,1,11,1,0,0
O0,6,58,0,1,11,1,0,0
O0,6,59,0,1,11,1,0,0
O0,6,60,0,1,11,1,0,0
O0,6,61,0,1,11,1,0,0
O0,6,62,0,1,11,1,0,0
O0,6,63,0,1,11,1,0,0
O0,8,0,0,1,11,1,0,0
O0,8,1,0,1,11,1,0,0
O0,8,2,0,1,11,1,0,0
O0,8,3,0,1,11,1,0,0
O0,8,4,0,1,11,1,0,0
