condition,loss,seed,step
O0,2.5501662094029598e-05,37,850
O0,0.00256395828910172,37,900
O0,0.04761949181556702,37,950
O0,0.00944527331739664,37,1000
O1,42.48704147338867,11,1
O1,4.085042476654053,11,50
O1,2.9256465435028076,11,100
O1,2.6475419998168945,11,150
O1,2.35178279876709,11,200
O1,1.2170392274856567,11,250
O1,0.07364203035831451,11,300
O1,0.021456278860569,11,350
O1,0.01919311098754406,11,400
O1,0.007215423043817282,11,450
O1,0.08330241590738297,11,500
O1,0.0093766450881958,11,550
O1,0.015062187798321247,11,600
O1,0.06257844716310501,11,650
O1,0.026279278099536896,11,700
O1,0.04153506085276604,11,750
O1,0.0008842599345371127,11,800
O1,0.08181383460760117,11,850
O1,0.023343505337834358,11,900
O1,0.015088134445250034,11,950
O1,0.018345074728131294,11,1000
O1,42.170719146728516,23,1
O1,4.634699821472168,23,50
O1,2.346024513244629,23,100
O1,0.31332090497016907,23,150
O1,0.08575808256864548,23,200
O1,0.014990354888141155,23,250
O1,0.007770357187837362,23,300
O1,0.05561615526676178,23,350
O1,0.02196306549012661,23,400
O1,0.060182731598615646,23,450
O1,0.12285304069519043,23,500
O1,0.00046619970817118883,23,550
O1,0.08992987871170044,23,600
O1,0.02388235181570053,23,650
O1,0.04533536732196808,23,700
O1,0.07784274220466614,23,750
O1,0.00022631014871876687,23,800
O1,0.07096005976200104,23,850
O1,0.02855033054947853,23,900
O1,0.026689698919653893,23,950
O1,0.02499929815530777,23,1000
O1,42.0914306640625,37,1
O1,4.288492202758789,37,50
O1,2.6505868434906006,37,100
O1,1.0069022178649902,37,150
O1,0.071892648935318,37,200
O1,0.011312133632600307,37,250
O1,0.01986020803451538,37,300
O1,0.02231808938086033,37,350
O1,0.0420050173997879,37,400
O1,0.0043300967663526535,37,450
O1,0.019752871245145798,37,500
O1,0.02178667113184929,37,550
O1,0.04822157695889473,37,600
O1,0.0009569618850946426,37,650
O1,0.013106214813888073,37,700
O1,0.001659897854551673,37,750
O1,0.0043860506266355515,37,800
O1,0.029749874025583267,37,850
O1,0.02094533108174801,37,900
O1,0.003169435076415539,37,950
O1,0.014529334381222725,37,1000
O2,42.99543762207031,11,1
O2,1.955189824104309,11,50
O2,0.7913086414337158,11,100
O2,0.5631833672523499,11,150
O2,0.0412803515791893,11,200
O2,0.017505241557955742,11,250
O2,0.03428582847118378,11,300
O2,0.040405526757240295,11,350
O2,0.0409509614109993,11,400
O2,0.02544243261218071,11,450
O2,0.016287365928292274,11,500
O2,0.015268830582499504,11,550
O2,0.00839986838400364,11,600
O2,0.022079871967434883,11,650
O2,0.015236049890518188,11,700
O2,0.021184133365750313,11,750
O2,0.03647604212164879,11,800
O2,0.03622906282544136,11,850
O2,0.02537843957543373,11,900
O2,0.013904990628361702,11,950
O2,0.01638909988105297,11,1000
O2,44.25572204589844,23,1
O2,1.5546116828918457,23,50
O2,0.7980832457542419,23,100
O2,0.7058274745941162,23,150
O2,0.452839732170105,23,200
O2,0.06252904236316681,23,250
O2,0.018404357135295868,23,300
O2,0.03543335571885109,23,350
O2,0.01852542906999588,23,400
O2,0.01942722126841545,23,450
O2,0.06905766576528549,23,500
O2,0.02391117624938488,23,550
O2,0.015547020360827446,23,600
O2,0.0315561406314373,23,650
O2,0.012563984841108322,23,700
O2,0.038651928305625916,23,750
O2,0.016966361552476883,23,800
O2,0.014162804000079632,23,850
O2,0.025519873946905136,23,900
O2,0.016499904915690422,23,950
O2,0.021589286625385284,23,1000
O2,41.29813766479492,37,1
O2,1.7621797323226929,37,50
O2,0.8512013554573059,37,100
O2,0.3717925250530243,37,150
O2,0.019753001630306244,37,200
O2,0.011987429112195969,37,250
O2,0.01345159113407135,37,300
O2,0.017171449959278107,37,350
O2,0.03923019766807556,37,400
O2,0.02643493004143238,37,450
O2,0.015127303078770638,37,500
O2,0.019593628123402596,37,550
O2,0.01535607036203146,37,600
O2,0.01078580692410469,37,650
O2,0.0248189065605402,37,700
O2,0.007451546844094992,37,750
O2,0.007893522270023823,37,800
O2,0.025990575551986694,37,850
O2,0.015902653336524963,37,900
O2,0.017691250890493393,37,950
O2,0.042674046009778976,37,1000
O3,41.69092559814453,11,1
O3,3.580162286758423,11,50
O3,1.9948800802230835,11,100
O3,1.5103888511657715,11,150
O3,0.02535831183195114,11,200
O3,0.026082582771778107,11,250
O3,0.029475031420588493,11,300
O3,0.02236839570105076,11,350
O3,0.021762045100331306,11,400
O3,0.024951867759227753,11,450
O3,0.017804838716983795,11,500
O3,0.019483307376503944,11,550
O3,0.02564246580004692,11,600
O3,0.007175389211624861,11,650
O3,0.004206574521958828,11,700
O3,0.0003348137834109366,11,750
O3,0.03123152256011963,11,800
O3,0.01626555062830448,11,850
O3,0.004792968276888132,11,900
O3,0.0050496491603553295,11,950
O3,0.02715916372835636,11,1000
O3,41.808197021484375,23,1
O3,3.119816541671753,23,50
O3,1.90399169921875,23,100
O3,0.672584593296051,23,150
O3,0.017980901524424553,23,200
O3,0.019094625487923622,23,250
O3,0.017888030037283897,23,300
O3,0.014287875965237617,23,350
O3,0.00960997212678194,23,400
O3,0.005502630490809679,23,450
O3,0.01734999008476734,23,500
O3,0.04593966156244278,23,550
O3,0.017824755981564522,23,600
O3,0.019600704312324524,23,650
O3,0.030787141993641853,23,700
O3,0.007084953598678112,23,750
O3,0.023804374039173126,23,800
O3,0.008250736631453037,23,850
O3,0.007094788830727339,23,900
O3,0.0007784600602462888,23,950
O3,0.02174917235970497,23,1000
O3,42.798980712890625,37,1
O3,3.029047727584839,37,50
O3,1.9222906827926636,37,100
O3,1.5558217763900757,37,150
O3,0.059825509786605835,37,200
O3,0.019408538937568665,37,250
O3,0.013429177924990654,37,300
O3,0.015639977529644966,37,350
O3,0.018693232908844948,37,400
O3,0.04458243399858475,37,450
O3,0.01714865118265152,37,500
O3,0.04365532472729683,37,550
O3,0.003643561387434602,37,600
O3,0.010883791372179985,37,650
O3,0.005006321705877781,37,700
O3,0.018371829763054848,37,750
O3,0.00859923381358385,37,800
O3,0.010419758036732674,37,850
O3,0.00486771808937192,37,900
O3,0.01889192871749401,37,950
O3,0.00024191317788790911,37,1000
