R,between_js_bits,covariance_effective_rank,covariance_trace,generator_family,layer,mean_entropy_bits,mean_target_margin,mean_target_probability,model_seed,n_realizations,nuisance_count,predictive_family_id,top1_accuracy,within_js_bits
754075870555.0891,0.7540758705550891,0.0,0.0,binary_functor,0,0.3726368844509125,-3.1791954040527344,0.03924466669559479,11,12,0,binary_functor:r0,0.0,0.0
774253773649.9999,0.7742537736499998,0.0,0.0,binary_functor,1,0.29097747802734375,-3.6000025272369385,0.02623065374791622,11,12,0,binary_functor:r0,0.0,0.0
757308340509.1996,0.7573083405091996,0.0,0.0,binary_functor,2,0.7600662708282471,-1.3400880098342896,0.2071039080619812,11,12,0,binary_functor:r0,0.0,0.0
747727046528.7238,0.7477270465287238,0.0,0.0,binary_functor,3,0.001344449003227055,9.372659683227539,0.9999117851257324,11,12,0,binary_functor:r0,1.0,0.0
32.61919020727101,0.7549328864573243,3.2129163003996335,3.0983650042786426,binary_functor,0,0.7363884995381037,-2.580777327219645,0.10038439510390162,11,12,4,binary_functor:r0,0.0,0.023143826736969245
23.74755231432201,0.6029126313417732,2.676045764352246,4.062520571800038,binary_functor,1,0.39822037393848103,-3.2857438772916794,0.08002521369295816,11,12,4,binary_functor:r0,0.0,0.025388411544972577
7.012777661076753,0.6045314999918516,2.6057984953903586,5.540997169637762,binary_functor,2,0.7115617439461251,0.8928510298331579,0.5818225865562757,11,12,4,binary_functor:r0,0.5833333333333334,0.08620428726083851
79243.54280216835,0.749115064223406,1.3671505705674305,17.06374173220361,binary_functor,3,0.0029607500279477486,8.601964791615805,0.9997881303230921,11,12,4,binary_functor:r0,1.0,9.453326261466795e-06
35.33370300505629,0.7567289668977543,5.112526283411842,2.6839736354247696,binary_functor,0,1.0210635761419933,-1.89738625784715,0.14490720257163048,11,12,8,binary_functor:r0,0.0,0.021416633484168515
51.7838195210786,0.5339661754230932,4.659053706710132,3.210080438999068,binary_functor,1,0.4003628045320511,-3.0760331948598227,0.0651611202241232,11,12,8,binary_functor:r0,0.0,0.010311448254714821
9.039813960587235,0.5143789137248103,3.9634666019385185,4.399892306099939,binary_functor,2,0.8406312540173531,0.15517601370811462,0.512368510166804,11,12,8,binary_functor:r0,0.5,0.05690149332358557
