depth_index,fraction_top1,generator_family,margin_snr,mean_output_entropy,mean_target_margin,mean_target_probability,model_seed,nuisance_count,predictive_family_id,within_family_JS
0,0.0,binary_functor,-323170.5093383789,2.1125440525793238e-06,-32.31705093383789,9.223230801335986e-15,11,0,binary_functor:r0,0.0
1,0.0,binary_functor,-234881.57272338867,0.0009319241507910192,-23.488157272338867,6.297919130648921e-11,11,0,binary_functor:r0,0.0
2,0.0,binary_functor,-31791.954040527344,0.3726368844509125,-3.1791954040527344,0.03924466669559479,11,0,binary_functor:r0,0.0
3,0.0,binary_functor,-35953.636169433594,0.36964744329452515,-3.5953636169433594,0.02599972113966942,11,0,binary_functor:r0,0.0
4,0.0,binary_functor,-36000.022888183594,0.29097744822502136,-3.6000022888183594,0.02623065374791622,11,0,binary_functor:r0,0.0
5,0.0,binary_functor,-31897.06802368164,0.3084339499473572,-3.189706802368164,0.039278607815504074,11,0,binary_functor:r0,0.0
6,0.0,binary_functor,-13400.87890625,0.7600662708282471,-1.340087890625,0.2071039080619812,11,0,binary_functor:r0,0.0
7,1.0,binary_functor,116944.13185119629,0.00019938261539209634,11.694413185119629,0.9999896287918091,11,0,binary_functor:r0,0.0
8,1.0,binary_functor,93726.59683227539,0.0013444487703964114,9.372659683227539,0.9999117851257324,11,0,binary_functor:r0,0.0
0,0.0,binary_functor,-323170.5093383789,2.1125440525793238e-06,-32.31705093383789,9.223230801335986e-15,11,4,binary_functor:r0,0.0
1,0.0,binary_functor,-25.351410637974176,0.001201908351504244,-23.077212969462078,1.382917744439475e-10,11,4,binary_functor:r0,1.1710179771325235e-05
2,0.0,binary_functor,-2.310075424407459,0.7363885069886843,-2.580777327219645,0.10038439510390162,11,4,binary_functor:r0,0.023143826736969245
3,0.0,binary_functor,-3.4642124802305956,0.3840028929213683,-3.351830244064331,0.047438200718412794,11,4,binary_functor:r0,0.0070614010273376505
4,0.0,binary_functor,-2.2799764418335706,0.3982203888396422,-3.2857438723246255,0.08002521369295816,11,4,binary_functor:r0,0.025388411544972577
5,0.16666666666666666,binary_functor,-1.21556152394096,0.5575938311715921,-2.0044496854146323,0.1960442418543001,11,4,binary_functor:r0,0.06345608665108074
6,0.5833333333333334,binary_functor,0.3722971272063596,0.7115617344776789,0.8928510348002116,0.5818225865562757,11,4,binary_functor:r0,0.08620428726083851
7,1.0,binary_functor,8.277879883710563,0.0005085215395107904,11.221616824467977,0.9999702274799347,11,4,binary_functor:r0,5.127165628453516e-06
8,1.0,binary_functor,21.444654022778067,0.002960750057051579,8.601964712142944,0.9997881303230921,11,4,binary_functor:r0,9.453326261466795e-06
0,0.0,binary_functor,-323170.5093383789,2.1125440525793238e-06,-32.31705093383789,9.223230801335986e-15,11,8,binary_functor:r0,0.0
1,0.0,binary_functor,-12.35118362968332,0.002339818347536493,-21.76630099614461,2.12420163461328e-09,11,8,binary_functor:r0,3.769748100699538e-05
2,0.0,binary_functor,-2.000865650081096,1.0210635960102081,-1.8973862330118816,0.14490720257163048,11,8,binary_functor:r0,0.021416633484168515
3,0.0,binary_functor,-2.7654054270393837,0.43249298880497616,-2.9727986653645835,0.07457672618329525,11,8,binary_functor:r0,0.01322943001914583
4,0.0,binary_functor,-2.9879329342212926,0.40036280701557797,-3.0760331948598227,0.0651611202241232,11,8,binary_functor:r0,0.010311448254714821
5,0.0,binary_functor,-1.873158611547598,0.5443141423165798,-2.2383182843526206,0.14351218830173215,11,8,binary_functor:r0,0.02911112515808594
6,0.5,binary_functor,0.10699351695097556,0.8406312664349874,0.15517600377400717,0.512368510166804,11,8,binary_functor:r0,0.05690149332358557
7,1.0,binary_functor,11.057923311280675,0.0009001983429091828,10.272683382034302,0.9999436239401499,11,8,binary_functor:r0,7.030064313139961e-06
8,1.0,binary_functor,12.74876819890546,0.003648348084728544,8.399900515874227,0.9997241944074631,11,8,binary_functor:r0,1.8128967377218014e-05
0,0.0,binary_functor,-241401.53884887695,0.00041774078272283077,-24.140153884887695,3.281359906015524e-11,11,0,binary_functor:r1,0.0
1,0.0,binary_functor,-220332.81326293945,0.00034144194796681404,-22.033281326293945,2.698107570697772e-10,11,0,binary_functor:r1,0.0
2,0.0,binary_functor,-82791.97692871094,0.012050092220306396,-8.279197692871094,0.0002535000385250896,11,0,binary_functor:r1,0.0
3,0.0,binary_functor,-642.3568725585938,1.5023527145385742,-0.06423568725585938,0.4338172376155853,11,0,binary_functor:r1,0.0
4,1.0,binary_functor,15134.963989257812,1.3618829250335693,1.5134963989257812,0.6956635117530823,11,0,binary_functor:r1,0.0
5,1.0,binary_functor,22945.34683227539,0.6615398526191711,2.294534683227539,0.8820717930793762,11,0,binary_functor:r1,0.0
6,1.0,binary_functor,37284.92736816406,0.34095609188079834,3.7284927368164062,0.9538438320159912,11,0,binary_functor:r1,0.0
7,1.0,binary_functor,105886.51657104492,0.0010505220852792263,10.588651657104492,0.9999392032623291,11,0,binary_functor:r1,0.0
8,1.0,binary_functor,120397.93014526367,0.0002961165155284107,12.039793014526367,0.999984860420227,11,0,binary_functor:r1,0.0
0,0.0,binary_functor,-241401.53884887695,0.00041774078272283077,-24.140153884887695,3.281359906015524e-11,11,4,binary_functor:r1,0.0
1,0.0,binary_functor,-10.655647410612067,0.000509586437450101,-20.70232089360555,7.759780992535234e-09,11,4,binary_functor:r1,1.796432319025142e-06
2,0.0,binary_functor,-6.858462320113915,0.052640545492370926,-7.237984259923299,0.0011988210450605645,11,4,binary_functor:r1,0.00040089328995798545
3,0.5833333333333334,binary_functor,-0.08400961142753019,1.4929154415925343,-0.0651557445526123,0.4339225838581721,11,4,binary_functor:r1,0.03594315057609428
4,0.9166666666666666,binary_functor,1.449568647309744,1.504970024029414,1.1841517289479573,0.6275084291895231,11,4,binary_functor:r1,0.0323832900039205
5,0.9166666666666666,binary_functor,1.8544178636932351,1.114941934744517,1.653076966603597,0.7302826022108396,11,4,binary_functor:r1,0.02878482594124129
6,1.0,binary_functor,2.507642953672836,0.7431792741020521,2.58248504002889,0.8534111231565475,11,4,binary_functor:r1,0.017880175288471908
7,1.0,binary_functor,15.842753433942015,0.0018830273766070604,9.951846679051718,0.9998836765686671,11,4,binary_functor:r1,1.0035810487971793e-05
8,1.0,binary_functor,16.842078249591747,0.0005659779053530656,11.459195057551065,0.9999692340691885,11,4,binary_functor:r1,3.812664336739153e-06
0,0.0,binary_functor,-241401.53884887695,0.00041774078272283077,-24.140153884887695,3.281359906015524e-11,11,8,binary_functor:r1,0.0
1,0.0,binary_functor,-12.219900335065315,0.001799049372493755,-19.91166353225708,7.260313278819226e-09,11,8,binary_functor:r1,1.4504334130737417e-05
2,0.0,binary_functor,-8.416755570729507,0.07616417948156595,-7.332492828369141,0.0009579889471448647,11,8,binary_functor:r1,0.0008033725210144972
3,0.3333333333333333,binary_functor,-0.33759036155268285,1.9838729600111644,-0.2420039176940918,0.312776609013478,11,8,binary_functor:r1,0.049060548249880494
4,0.75,binary_functor,0.2307935560594193,1.9458431998888652,0.22980848948160806,0.404404782379667,11,8,binary_functor:r1,0.04800581653940372
5,0.6666666666666666,binary_functor,0.2150496363499966,1.624203125635783,0.24341201782226562,0.45736330064634484,11,8,binary_functor:r1,0.052081536522579984
6,0.8333333333333334,binary_functor,0.6134986262213697,1.398912861943245,0.7234665552775065,0.5801900910834471,11,8,binary_functor:r1,0.04658111221246795
7,1.0,binary_functor,6.1014711357858715,0.014066480410595735,7.736504316329956,0.9988236973683039,11,8,binary_functor:r1,0.00023720847909568113
8,1.0,binary_functor,7.098426989869953,0.005127619852525338,9.09771211942037,0.9996351500352224,11,8,binary_functor:r1,8.829578914393879e-05
0,0.0,binary_functor,-347796.4782714844,6.107893568696454e-07,-34.77964782714844,7.859426546972745e-16,11,0,binary_functor:r2,0.0
1,0.0,binary_functor,-283298.4733581543,3.187732545484323e-06,-28.32984733581543,4.971684956084355e-13,11,0,binary_functor:r2,0.0
2,0.0,binary_functor,-40416.85104370117,0.14532305300235748,-4.041685104370117,0.017236752435564995,11,0,binary_functor:r2,0.0
3,0.0,binary_functor,-23566.341400146484,0.6211076378822327,-2.3566341400146484,0.08383359760046005,11,0,binary_functor:r2,0.0
4,1.0,binary_functor,17099.323272705078,0.7993575930595398,1.7099323272705078,0.8218992352485657,11,0,binary_functor:r2,0.0
5,1.0,binary_functor,9638.729095458984,0.9381741285324097,0.9638729095458984,0.7155047655105591,11,0,binary_functor:r2,0.0
6,1.0,binary_functor,6336.36474609375,0.9516333341598511,0.633636474609375,0.6522377133369446,11,0,binary_functor:r2,0.0
7,1.0,binary_functor,75600.04234313965,0.008804267272353172,7.560004234313965,0.9993292093276978,11,0,binary_functor:r2,0.0
8,1.0,binary_functor,103524.47509765625,0.0013442040653899312,10.352447509765625,0.9999232292175293,11,0,binary_functor:r2,0.0
0,0.0,binary_functor,-347796.4782714844,6.107893568696454e-07,-34.77964782714844,7.859426546972745e-16,11,4,binary_functor:r2,0.0
1,0.0,binary_functor,-14.372573262470164,1.2177321157954188e-05,-28.60423692067464,4.0462860113280735e-12,11,4,binary_functor:r2,2.2248212321042124e-07
2,0.0,binary_functor,-2.879663167245545,0.5709330489238104,-2.1912872791290283,0.11918047660340865,11,4,binary_functor:r2,0.01154174775688259
