cumulative_fluctuation_variance,cumulative_signal,layer_i,layer_j,model_seed,nuisance_count,predictive_family_id,update_covariance
0.0,34.33525848388672,1,5,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,1,6,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,1,7,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,2,0,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,2,1,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,2,2,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,2,3,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,2,4,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,2,5,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,2,6,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,2,7,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,3,0,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,3,1,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,3,2,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,3,3,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,3,4,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,3,5,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,3,6,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,3,7,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,4,0,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,4,1,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,4,2,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,4,3,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,4,4,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,4,5,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,4,6,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,4,7,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,5,0,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,5,1,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,5,2,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,5,3,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,5,4,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,5,5,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,5,6,11,0,contiguous_ngram:r1,0.0
