fraction_positive_margin_update,from_depth,margin_update_snr,mean_margin_update,model_seed,nuisance_count,predictive_family_id,to_depth,var_margin_update
1.0,0,882889366.1499023,8.828893661499023,11,0,binary_functor:r0,1,0.0
1.0,1,2030896186.8286133,20.308961868286133,11,0,binary_functor:r0,2,0.0
0.0,2,-41616821.2890625,-0.416168212890625,11,0,binary_functor:r0,3,0.0
0.0,3,-463867.1875,-0.004638671875,11,0,binary_functor:r0,4,0.0
1.0,4,41029548.64501953,0.4102954864501953,11,0,binary_functor:r0,5,0.0
1.0,5,184961891.1743164,1.849618911743164,11,0,binary_functor:r0,6,0.0
1.0,6,1303450107.574463,13.034501075744629,11,0,binary_functor:r0,7,0.0
0.0,7,-232175350.18920898,-2.32175350189209,11,0,binary_functor:r0,8,0.0
1.0,0,10.15039925372992,9.239837964375814,11,4,binary_functor:r0,1,0.8286334310448157
1.0,1,13.851599560866347,20.49643564224243,11,4,binary_functor:r0,2,2.189559869653501
0.08333333333333333,2,-1.0899093359505359,-0.7710529168446859,11,4,binary_functor:r0,3,0.5004810188867617
0.3333333333333333,3,0.10986781765635466,0.0660863717397054,11,4,binary_functor:r0,4,0.36181186725537273
1.0,4,3.3765567541372614,1.2812941869099934,11,4,binary_functor:r0,5,0.1439957191000069
1.0,5,3.605118198923054,2.8973007202148438,11,4,binary_functor:r0,6,0.6458744748498165
1.0,6,9.125939755919392,10.328765789667765,11,4,binary_functor:r0,7,1.2809779575971432
0.0,7,-2.5208073922546985,-2.6196521123250327,11,4,binary_functor:r0,8,1.0799605877404468
1.0,0,5.986972678763458,10.550749937693277,11,8,binary_functor:r0,1,3.105647085231519
1.0,1,15.283520819924526,19.868914763132732,11,8,binary_functor:r0,2,1.6900574228212102
0.0,2,-2.5394251201385543,-1.075412432352702,11,8,binary_functor:r0,3,0.17934086598479276
0.4166666666666667,3,-0.4122028501028738,-0.10323452949523926,11,8,binary_functor:r0,4,0.06272316291855615
1.0,4,1.5064413198719353,0.8377149105072021,11,8,binary_functor:r0,5,0.30923456862334125
1.0,5,4.943565328922081,2.3934942881266275,11,8,binary_functor:r0,6,0.23441436261540122
1.0,6,9.715853158368406,10.117507378260294,11,8,binary_functor:r0,7,1.08438915704796
0.0,7,-5.769890104501327,-1.872782866160075,11,8,binary_functor:r0,8,0.10535126264880311
1.0,0,210687255.859375,2.10687255859375,11,0,binary_functor:r1,1,0.0
1.0,1,1375408363.3422852,13.754083633422852,11,0,binary_functor:r1,2,0.0
1.0,2,821496200.5615234,8.214962005615234,11,0,binary_functor:r1,3,0.0
1.0,3,157773208.61816406,1.5777320861816406,11,0,binary_functor:r1,4,0.0
1.0,4,78103828.43017578,0.7810382843017578,11,0,binary_functor:r1,5,0.0
1.0,5,143395805.35888672,1.4339580535888672,11,0,binary_functor:r1,6,0.0
1.0,6,686015892.0288086,6.860158920288086,11,0,binary_functor:r1,7,0.0
1.0,7,145114135.7421875,1.451141357421875,11,0,binary_functor:r1,8,0.0
1.0,0,1.7694796762116474,3.437832991282145,11,4,binary_functor:r1,1,3.774664771239397
1.0,1,13.340309712549713,13.464336633682251,11,4,binary_functor:r1,2,1.0186807259952853
1.0,2,9.335907513594961,7.1728285153706866,11,4,binary_functor:r1,3,0.590293231354377
0.9166666666666666,3,2.497347757782073,1.2493074735005696,11,4,binary_functor:r1,4,0.25025376136294875
1.0,4,1.691289471492575,0.46892523765563965,11,4,binary_functor:r1,5,0.07687255084041764
1.0,5,2.2804153203901554,0.929408073425293,11,4,binary_functor:r1,6,0.16610586228390192
1.0,6,8.7003063158367,7.369361639022827,11,4,binary_functor:r1,7,0.7174483510673739
1.0,7,6.8655127144238,1.5073483784993489,11,4,binary_functor:r1,8,0.04820380102440444
1.0,0,2.5950483932905515,4.228490352630615,11,8,binary_functor:r1,1,2.6550931397327573
1.0,1,9.50605847984194,12.57917070388794,11,8,binary_functor:r1,2,1.7510681608950605
1.0,2,11.33263280464412,7.090488910675049,11,8,binary_functor:r1,3,0.39146299643181753
0.75,3,0.6739188584630484,0.4718124071756999,11,8,binary_functor:r1,4,0.49014376570958673
0.5,4,0.03288025755054424,0.013603528340657553,11,8,binary_functor:r1,5,0.1711719858132269
1.0,5,2.2667058202952983,0.4800545374552409,11,8,binary_functor:r1,6,0.044852927828260086
1.0,6,5.830964791084968,7.013037761052449,11,8,binary_functor:r1,7,1.4465435372753264
1.0,7,3.2412761530519205,1.3612078030904133,11,8,binary_functor:r1,8,0.17636677408813048
1.0,0,644980049.1333008,6.449800491333008,11,0,binary_functor:r2,1,0.0
1.0,1,2428816223.1445312,24.288162231445312,11,0,binary_functor:r2,2,0.0
1.0,2,168505096.43554688,1.6850509643554688,11,0,binary_functor:r2,3,0.0
