ci_high,ci_low,generator_family,last_minus_first,metric,n_family_seed_units
-0.014262007321701612,-0.07380685880793064,binary_functor,-0.04019486452729633,within_js_bits,9
86261.5463088085,23941.147182872217,binary_functor,52445.110925141285,R,9
27.056920448424318,6.230844327139537,binary_functor,14.866382111481565,covariance_trace,9
0.8403236411587015,0.4202666069485497,binary_functor,0.6446953299964661,mean_target_probability,9
-0.009833050883764636,-0.04137018370837843,contiguous_ngram,-0.024374365002345195,within_js_bits,9
199850.90333254918,27976.839813658105,contiguous_ngram,103325.87579662468,R,9
22.363705425448664,11.53229129543853,contiguous_ngram,16.66844282394665,covariance_trace,9
0.7940091756957068,0.2774316943873635,contiguous_ngram,0.5428653967914956,mean_target_probability,9
-0.01285182573096989,-0.07914080846834504,skip_gram,-0.04148636851857244,within_js_bits,9
1930679.8899868303,18575.6868883231,skip_gram,663398.8597200703,R,9
24.194956205327223,7.75660849910394,skip_gram,14.761833257307549,covariance_trace,9
0.8736028974819655,0.42056285731769766,skip_gram,0.6583180983457336,mean_target_probability,9
