layer,mean_entropy_bits,mean_js_dispersion_bits,mean_target_probability_variance,n_cells
0,1.3255285595649695,0.06503568844350861,0.03465134240834039,24
1,2.0938861081604263,0.030733042119155184,0.010598573594657233,24
2,2.2767859541070443,0.010600865806638911,0.010845933031736992,12
