elapsed_seconds,loss,model_depth,model_seed,step
1.026163101196289,46.29102325439453,6,11,1
96.16294622421265,6.100730895996094,6,11,100
187.0809679031372,0.9547280073165894,6,11,200
276.6392891407013,3.522275447845459,6,11,300
360.8516962528229,3.3688371181488037,6,11,400
456.85118317604065,2.5477962493896484,6,11,500
0.8112342357635498,47.916656494140625,2,11,1
31.39029026031494,1.9347069263458252,2,11,100
62.3492751121521,4.718730926513672,2,11,200
91.93082809448242,3.347719192504883,2,11,300
120.23508310317993,2.4897842407226562,2,11,400
148.98950719833374,4.134136199951172,2,11,500
0.08362007141113281,52.039859771728516,2,23,1
28.99126100540161,5.6796345710754395,2,23,100
59.057713985443115,5.131512641906738,2,23,200
89.52785015106201,4.536916255950928,2,23,300
116.4634120464325,0.7349975109100342,2,23,400
147.631334066391,2.667532205581665,2,23,500
0.495013952255249,51.26629638671875,2,37,1
31.264652013778687,7.3769121170043945,2,37,100
59.76809287071228,0.7611178159713745,2,37,200
88.68695187568665,3.2919931411743164,2,37,300
119.68226194381714,2.327632427215576,2,37,400
148.5123040676117,0.43048524856567383,2,37,500
0.7242710590362549,51.6873893737793,4,11,1
54.90061807632446,2.4973084926605225,4,11,100
108.69555306434631,5.043417930603027,4,11,200
162.8449821472168,4.487126350402832,4,11,300
222.93290495872498,0.6782140731811523,4,11,400
274.1536798477173,1.1165119409561157,4,11,500
0.1421658992767334,51.101932525634766,4,23,1
63.193984031677246,5.59183931350708,4,23,100
123.5895528793335,4.927273750305176,4,23,200
176.46590900421143,3.72379732131958,4,23,300
235.2155818939209,4.253120422363281,4,23,400
291.97418785095215,3.03283953666687,4,23,500
1.288896083831787,44.02900314331055,4,37,1
55.42744183540344,5.7170515060424805,4,37,100
117.46819710731506,3.788583755493164,4,37,200
174.8422908782959,4.090865612030029,4,37,300
235.7158441543579,2.295944929122925,4,37,400
294.7443759441376,3.123500108718872,4,37,500
0.306488037109375,44.82257843017578,6,23,1
86.56848788261414,5.468067169189453,6,23,100
172.21460509300232,5.011385917663574,6,23,200
257.1732301712036,2.9962210655212402,6,23,300
343.02527379989624,3.496860980987549,6,23,400
428.650532245636,3.815577268600464,6,23,500
0.9812211990356445,41.834632873535156,6,37,1
89.01316499710083,6.005276203155518,6,37,100
173.38923001289368,4.593658447265625,6,37,200
253.66412997245789,5.415276527404785,6,37,300
337.54669427871704,2.8589072227478027,6,37,400
420.4100270271301,4.238140106201172,6,37,500
0.38810300827026367,42.701045989990234,8,11,1
107.51860809326172,1.5129504203796387,8,11,100
224.4363181591034,4.307051658630371,8,11,200
343.55536699295044,0.21963950991630554,8,11,300
445.94329714775085,2.456284523010254,8,11,400
561.3896472454071,1.5013988018035889,8,11,500
0.3369772434234619,46.15127182006836,8,23,1
114.5715262889862,5.145077705383301,8,23,100
236.1458511352539,0.7616779804229736,8,23,200
348.914617061615,4.216550827026367,8,23,300
458.9934301376343,2.4212121963500977,8,23,400
575.1296319961548,2.7611961364746094,8,23,500
0.6463522911071777,39.42542266845703,8,37,1
97.77900815010071,5.875289440155029,8,37,100
215.6718921661377,0.9754161238670349,8,37,200
338.68684697151184,1.8898530006408691,8,37,300
458.4650492668152,4.548313140869141,8,37,400
561.4355762004852,3.159949779510498,8,37,500
1.5798261165618896,38.428955078125,12,11,1
177.83514595031738,1.5264924764633179,12,11,100
348.6876060962677,0.87250816822052,12,11,200
521.6479341983795,4.1214985847473145,12,11,300
692.2927742004395,1.8426870107650757,12,11,400
867.6014680862427,2.9920265674591064,12,11,500
1.9677200317382812,39.373374938964844,12,23,1
169.89214897155762,3.759028911590576,12,23,100
332.7912452220917,2.40934157371521,12,23,200
504.81121301651,0.9290754199028015,12,23,300
686.6599960327148,5.187289237976074,12,23,400
853.5118570327759,2.415627956390381,12,23,500
1.929448127746582,31.83202362060547,12,37,1
175.2827970981598,5.3208465576171875,12,37,100
327.63955307006836,5.008859634399414,12,37,200
497.81534719467163,0.7039142847061157,12,37,300
678.7913153171539,2.518644094467163,12,37,400
845.2635960578918,0.7430863380432129,12,37,500
